,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B4-e003Coalescence-Inoculumn-mBHI,0.852,0.853
B4-e003Coalescence-mBHI-p3,1.0,1.0
B4-e003Coalescence-mBHI-p5,1.0,1.0
B4-e003Coalescence-mGAM-p5,1.0,1.0
C3-e003Coalescence-mBHI-inoculumn-redo,0.857,0.857
C3-e003Coalescence-mBHI-p5,1.0,1.0
C3-e003Coalescence-mBHI-p7,1.0,1.0
C3-e003Coalescence-mGAM-p3,1.0,1.0
C3-e003Coalescence-mGAM-p5,1.0,1.0
C3-e003Coalescence-mGAM-p7,1.0,1.0
F4-e003Coalescence-mBHI-p3_S23,1.0,1.0
F4-e003Coalescence-mBHI-p5_S15,1.0,1.0
F4-e003Coalescence-mBHI-p7_S111,0.741,0.739
F4-e003Coalescence-mGAM-p3_S71,1.0,1.0
F4-e003Coalescence-mGAM-p5_S63,1.0,1.0
F4-e003Coalescence-mGAM-p7_S159,1.0,1.0
G3-e003Coalescence-mBHI-p3_S34,1.0,1.0
G3-e003Coalescence-mBHI-p5_S26,0.75,0.745
G3-e003Coalescence-mBHI-p7_S122,0.519,0.52
G3-e003Coalescence-mGAM-p3_S82,1.0,1.0
G3-e003Coalescence-mGAM-p5_S74,1.0,1.0
