,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,0.22492217898832687,0.45899212150747243
C9-e003Coalescence-mGAM-p3,0.045101410505836576,0.8829577647823262
D2-e004Assembly-mGAM-p7,0.1510708495460441,0.15933983105912933
B5-e004Assembly-mBHI-p3,0.26093831063553824,0.2628106725146198
C11-e003Coalescence-mBHI-p3,0.2257505674448768,0.4599844054580897
D11-e003Coalescence-mBHI-p5,0.2965312905317769,0.3015068226120858
C9-e003Coalescence-mGAM-p7,0.07084103437094683,0.8225230669265756
C8-e003Coalescence-mGAM-p7,0.07407352464332037,0.9179398148148148
D10-e003Coalescence-mBHI-p3,0.27357190337224385,0.3547310753736192
F3-e004Assembly-epsilon-p3,0.19605479896238653,0.23527119883040937
B2-e003Coalescence-mBHI-p3,0.5347803988326848,0.43002794022092267
A8-e003Coalescence-mBHI-p3,0.9873009889753567,0.0012158057179987006
A4-e003Coalescence-mBHI-p7,0.0005158884565499352,0.9929353476283301
B4-e003Coalescence-mBHI-p5,0.0005599870298313878,0.3705188434048083
A3-e003Coalescence-mBHI-p7,0.0003615434500648508,0.9995996588693957
B9-e003Coalescence-mGAM-p5,0.29732563229571984,0.30030994152046786
A4-e003Coalescence-mBHI-inoculumn-redo,0.1570724708171206,0.8090905620532814
B3-e003Coalescence-mBHI-p3,0.0010983300907911804,0.9981158219623132
D4-e003Coalescence-mBHI-p5,0.29296433203631644,0.3004075698505523
C2-e003Coalescence-mBHI-p5,0.000763780804150454,0.9939238141650422
B3-e004Assembly-mBHI-p7,0.24201207846952014,0.2650765107212476
B5-e004Assembly-mBHI-p7,0.26262240596627756,0.2646842917478882
D4-e003Coalescence-mBHI-p3,0.2724271238651102,0.3388350389863548
C4-e003GlycerolRevival-mBHI-p2,0.000576686121919585,0.9938119720597791
G5-e004Assembly-epsilon-p3,0.29544366083009077,0.27804142300194934
C5-e004Assembly-mBHI-p3,0.2531992542153048,0.25657504873294346
D10-e003Assembly-mGAM-p5,0.0001579928664072633,0.6673056367771281
B2-e003Assembly-mBHI-p5,0.9661583171206226,0.0019343729694606888
C3-e004Assembly-mBHI-p5,0.24503169584954607,0.2702394411955816
B2-e003Coalescence-mBHI-p5,0.2925005674448768,0.6892214912280703
B8-e003Assembly-mGAM-p5,0.582184257457847,0.002640107212475633
C4-e003Coalescence-mGAM-p7,0.0005585278858625161,0.9886376705653022
B12-e003Coalescence-mBHI-p3,0.2925754701686122,0.2966641487979207
D3-e004Assembly-mGAM-p7,0.244992055771725,0.27224691358024694
C8-e003Assembly-mGAM-p3,0.8668796206225681,0.0011518031189083821
C3-e003Coalescence-mGAM-p3,0.0003994811932555124,0.9980428037686809
B4-e003Assembly-mBHI-p5,0.08952059014267186,0.7810041423001949
D4-e004Assembly-mGAM-p5,0.22295865758754865,0.24803053931124106
D3-e003Coalescence-Inoculumn-mBHI,0.13551953631647212,0.6680713125406108
C3-e003Coalescence-mBHI-p7,0.0003820525291828794,0.9983490903183885
D11-e003Coalescence-mGAM-p5,0.29695736057068745,0.3004901721897336
A11-e003Coalescence-mGAM-p7,0.32294811932555123,0.28403687459389215
B8-e003Coalescence-mBHI-p5,0.30339129377431906,0.2930994152046784
B10-e003Assembly-mGAM-p5,0.0006853112840466926,0.8117579597141
C2-e003Coalescence-mGAM-p7,0.000372973411154345,0.9986425438596491
D3-e003Coalescence-mBHI-p5,0.2934831387808042,0.30212719298245616
B11-e003Coalescence-mGAM-p3,0.297380593385214,0.301183154645874
C4-e003Coalescence-mBHI-inoculumn-redo,0.020802204928664077,0.9454891975308642
B5-e003Assembly-mBHI-p5,0.29269066147859923,0.2971375893437297
D2-e003Coalescence-mBHI-p5,0.28402269779507133,0.28917543859649125
D8-e003Assembly-mGAM-p5,0.8147407587548638,0.0009973196881091619
D5-e003Coalescence-mGAM-p5,0.29469447146562905,0.29728330084470433
B5-e003Coalescence-mBHI-p5,0.2939613326848249,0.2996640675763483
D5-e003Coalescence-mBHI-p7,0.2949794098573281,0.2990753736192333
C9-e003Coalescence-mBHI-p5,0.29708657587548637,0.3013473846653671
A10-e003Coalescence-mBHI-p3,0.31756387808041503,0.6311440870695256
A5-e003Coalescence-mGAM-p3,0.294024724383917,0.29761947693307345
A2-e003Coalescence-Inoculumn-mGAM,0.9678608138780803,0.001049301494476933
E5-e004Assembly-mGAM-p5,0.27662127107652396,0.2716054256010397
D8-e003Coalescence-mGAM-p5,0.3625058365758755,0.27132391163092917
A12-e003Coalescence-mGAM-p3,0.30222754539559016,0.29280490578297597
C2-e003Coalescence-mBHI-p3,0.002460684176394294,0.9954254385964912
C4-e004Assembly-mBHI-p5,0.24983706225680932,0.2836122482131254
D9-e003Coalescence-mGAM-p7,0.29524027237354084,0.3004446068875894
D4-e003Coalescence-mBHI-p7,0.29431509403372247,0.29908999350227417
D8-e003Assembly-mGAM-p3,0.6010804961089494,0.0008646036387264457
E3-e004Assembly-mGAM-p3,0.2405420719844358,0.2624240578297596
B10-e003Coalescence-mGAM-p3,0.07045671206225682,0.8184952891487978
A9-e003Coalescence-mGAM-p7,0.28958592736705574,0.29377623456790125
B5-e003Coalescence-Inoculumn-mGAM,0.29369066147859924,0.2966867283950617
D10-e003Coalescence-mBHI-p5,0.29488934824902724,0.3053670402858999
D5-e003Coalescence-mBHI-p3,0.29590102140077823,0.2997788336582196
C5-e003Coalescence-mBHI-p3,0.2739812743190661,0.30715976283300844
D9-e003Coalescence-mGAM-p5,0.29609800583657586,0.30250601039636127
C9-e003Coalescence-mBHI-p3,0.29158876459143973,0.31252428525016246
D10-e003Coalescence-mGAM-p5,0.000938959143968872,0.9964311241065628
C8-e003Coalescence-mBHI-p7,0.35357101167315175,0.6265994964262508
B11-e003Assembly-mGAM-p5,0.2852200875486381,0.2903005198180637
G3-e004Assembly-epsilon-p7,0.23327837224383918,0.27167324561403505
B4-e003Coalescence-mGAM-p5,0.00509216926070039,0.9856227257959713
D4-e003Coalescence-mGAM-p5,0.2843739461738003,0.3260908057179987
C3-e004Assembly-mBHI-p7,0.24230220492866408,0.26514814814814813
B5-e003Coalescence-mGAM-p5,0.2673093385214008,0.3613923814165042
B5-e003Coalescence-Inoculumn-mBHI,0.13824967574578467,0.6584788011695907
G3-e004Assembly-epsilon-p3,0.19555982490272372,0.234088693957115
C2-e003Coalescence-mGAM-p3,0.0007012808041504539,0.992410575048733
B5-e003Coalescence-mGAM-p7,0.24841601815823605,0.37844517543859646
D8-e003Coalescence-mBHI-p5,0.2969778696498055,0.30066609811565953
F5-e004Assembly-epsilon-p5,0.2843937256809339,0.26724959389213776
E5-e004Assembly-mGAM-p7,0.2817268158236057,0.2728252111760883
C10-e003Assembly-mGAM-p3,0.0005884403372243839,0.31906814489928526
B10-e003Coalescence-mBHI-p5,0.29703696498054477,0.30114741715399607
D5-e003Coalescence-Inoculumn-mGAM,0.290201037613489,0.2913897011046134
F2-e004Assembly-epsilon-p3,0.2566251621271077,0.2586575698505523
B3-e004Assembly-mBHI-p5,0.2397418936446174,0.26992332683560755
B5-e003Coalescence-mBHI-p3,0.29261340791180285,0.3072192170240416
G4-e004Assembly-epsilon-p5,0.16097470817120624,0.1784056205328135
C4-e003Coalescence-mGAM-p5,0.0006733138780804152,0.9918468973359323
C5-e003Coalescence-mGAM-p7,0.24128826199740597,0.41521336907082523
C5-e003Coalescence-mBHI-inoculumn-redo,0.10340612840466926,0.7451708089668616
A2-e003Coalescence-mBHI-p7,0.951092331387808,0.0010748862897985705
A10-e003Coalescence-mBHI-p5,0.4668290369649805,0.505507228719948
A4-e003Coalescence-mGAM-p5,0.2962343547341115,0.30018575373619233
D5-e003Coalescence-mBHI-p5,0.0009216115434500651,0.9973165204678363
D3-e003Assembly-mBHI-p3,0.2224375,0.27609007472384667
D4-e003Coalescence-mGAM-p7,0.29045079442282745,0.31054483430799223
A8-e003Coalescence-mBHI-p7,0.9857569714656289,0.0012130441845354127
E3-e004Assembly-mGAM-p7,0.23772114137483788,0.2590898310591293
B9-e003GlycerolRevival-mGAM-p2,0.2610299124513619,0.262992771280052
C4-e003Coalescence-mGAM-p3,0.0030076199740596624,0.9896608999350227
B2-e003Coalescence-Inoculumn-mGAM,0.588487840466926,0.16372587719298246
D5-e003Coalescence-mGAM-p7,0.23178583009079118,0.2340585607537362
C5-e003Coalescence-mBHI-p5,0.2935932230869001,0.3091523716699155
C5-e003Coalescence-mGAM-p3,0.26411308365758757,0.37260997400909684
A3-e003Coalescence-mBHI-inoculumn-redo,0.18308292801556417,0.753050032488629
D9-e003Assembly-mGAM-p5,0.15846141374837872,0.16996036387264454
B12-e003Coalescence-mGAM-p3,0.29320055123216604,0.2977530864197531
A11-e003Coalescence-mBHI-p7,0.2946992542153048,0.29818234243014946
A3-e003Coalescence-Inoculumn-mGAM,0.5633042315175096,0.1550017868745939
D10-e003Assembly-mGAM-p3,0.0001583171206225681,0.5872565789473684
C3-e003Coalescence-mGAM-p5,0.0004090466926070039,0.997022579597141
B4-e004Assembly-mBHI-p5,0.249653453307393,0.2844420077972709
C10-e003GlycerolRevival-mGAM-p2,0.008574416342412452,0.9511692657569851
D3-e003Assembly-mBHI-p5,0.23941196498054473,0.28443526640675765
A10-e003Coalescence-mGAM-p3,0.08158398184176395,0.9100683885640025
A9-e003Coalescence-mBHI-p3,0.2979578469520104,0.30021215074723845
A2-e003Coalescence-Inoculumn-mBHI,0.9998366569390402,0.0013243989603638727
D3-e003Coalescence-mBHI-p7,0.2967439202334631,0.30076510721247557
C3-e003Coalescence-mBHI-p5,0.0004002918287937744,0.9970893437296947
D11-e003Assembly-mGAM-p3,0.26244625486381323,0.2727794834307992
D2-e003Assembly-mBHI-p3,0.9048090953307393,0.02680027615334633
B3-e003Assembly-mBHI-p5,0.0003369811932555123,0.9933071799870044
A9-e003Coalescence-mBHI-p5,0.3048818093385214,0.2950171377517869
D5-e003Coalescence-Inoculumn-mBHI,0.29699643320363167,0.30059551656920075
B2-e003Coalescence-mGAM-p3,0.0042425421530479885,0.9851731643924626
B4-e003Assembly-mBHI-p3,0.025861624513618675,0.915743502274204
C11-e003Coalescence-mGAM-p5,0.062223086900129704,0.8438401559454192
B3-e003Coalescence-Inoculumn-mBHI,0.0003677853437094682,0.999661306042885
A8-e003Coalescence-mBHI-p5,0.9850114299610894,0.0014867608836907082
D5-e004Assembly-mGAM-p7,0.280022373540856,0.27280701754385966
C2-e003Assembly-mBHI-p5,0.6306120298313879,0.029642706302794024
D9-e003Coalescence-mBHI-p3,0.28405188067444875,0.29023115659519166
D5-e003Assembly-mBHI-p5,0.2881862029831388,0.2932859811565952
A5-e003Coalescence-mBHI-p7,0.263683284695201,0.2557170240415854
G2-e004Assembly-epsilon-p3,0.25386121919584953,0.25642413905133205
D2-e003Coalescence-mGAM-p5,0.2968249027237354,0.29981448992852505
B9-e003Assembly-mGAM-p5,0.1311525616083009,0.13457854126055882
D3-e003Coalescence-mGAM-p3,0.17974464980544747,0.5515762670565302
D9-e003Coalescence-mGAM-p3,0.2951840142671855,0.298924139051332
E2-e004Assembly-mGAM-p7,0.20099675745784695,0.20133040935672517
D3-e003Coalescence-mGAM-p5,0.19996238651102463,0.5190219298245614
C10-e003Coalescence-mGAM-p3,0.0004044260700389105,0.9961285737491877
A5-e003Coalescence-mBHI-inoculumn-redo,0.48381233787289235,0.211691114359974
B11-e003Assembly-mGAM-p3,0.28287670233463036,0.2869114684860299
D2-e003Assembly-mBHI-p5,0.7124184500648508,0.08841423001949318
B9-e003Coalescence-mGAM-p7,0.2950671206225681,0.298392706302794
B11-e003Coalescence-mGAM-p7,0.29174991893644614,0.2969000162443145
C3-e003Coalescence-Inoculumn-mGAM,0.16845071335927367,0.5832602339181286
B5-e003Coalescence-mBHI-p7,0.2963537613488975,0.3001803931124106
A3-e003Coalescence-mGAM-p7,0.003963359273670559,0.993337069525666
D4-e003Coalescence-Inoculumn-mBHI,0.09351621271076524,0.7691704028589993
A4-e003Coalescence-mBHI-p5,0.0005312094682230869,0.9955030051981806
B3-e003Coalescence-mBHI-p7,0.0003836738002594034,0.9980251786874595
C2-e004Assembly-mBHI-p7,0.2692052529182879,0.267006497725796
D10-e003Coalescence-mGAM-p7,0.0005205901426718549,0.9978750812215724
C12-e003Coalescence-mGAM-p3,0.05252642671854734,0.8669507797270956
C11-e003Coalescence-mGAM-p3,0.05303801880674449,0.8693347953216374
D5-e004Assembly-mGAM-p3,0.10669171530479896,0.1065461338531514
A10-e003Coalescence-mBHI-p7,0.614448686770428,0.36387118258609485
C10-e003Coalescence-mBHI-p7,0.000370541504539559,0.9986241065627032
B9-e003Coalescence-mBHI-p5,0.2974421206225681,0.3005852014294997
B10-e003Coalescence-mBHI-p3,0.29449148832684824,0.30165196556205326
C11-e003Coalescence-mBHI-p5,0.27975729571984437,0.34021166341780384
A2-e003Coalescence-mGAM-p7,0.9749256647211414,0.001226364522417154
C5-e003Assembly-mBHI-p3,0.13350997081712063,0.1346801494476933
F5-e004Assembly-epsilon-p3,0.2934138294422827,0.27693810916179334
E3-e004Assembly-mGAM-p5,0.2421591277561608,0.2638888076673164
E2-e004Assembly-mGAM-p5,0.18873702983138782,0.1937922352176738
C3-e003GlycerolRevival-mBHI-p2,0.2226637483787289,0.28118104288499024
D10-e003Coalescence-mGAM-p3,0.011496190012970172,0.9707654320987654
B10-e003Coalescence-mGAM-p7,0.17991228923476008,0.3859410331384015
C4-e004Assembly-mBHI-p3,0.25109914072632944,0.28570930799220273
A9-e003Coalescence-mBHI-p7,0.29759533073929967,0.30110477582846007
C2-e003Coalescence-Inoculumn-mGAM,0.3913086089494163,0.5682520305393113
B3-e003Coalescence-Inoculumn-mGAM,0.2943345492866407,0.2978081546458739
D11-e003Coalescence-mGAM-p7,0.29461875810635535,0.2984391650422352
D5-e003Coalescence-mGAM-p3,0.2947437581063554,0.29841455490578295
E5-e004Assembly-mGAM-p3,0.2706423476005188,0.2592634827810267
D2-e003Coalescence-Inoculumn-mBHI,0.4339730869001297,0.22934998375568552
B4-e003Coalescence-Inoculumn-mGAM,0.1671424286640726,0.5905073911630928
F2-e004Assembly-epsilon-p7,0.22853526264591442,0.2318131903833658
A10-e003Coalescence-mGAM-p7,0.09281914721141375,0.8888438109161794
B2-e003Assembly-mBHI-p3,0.9544940823605708,0.003674463937621832
D9-e003Coalescence-mBHI-p5,0.29645906290531776,0.2998192820012996
C4-e003Coalescence-Inoculumn-mGAM,0.0008858625162127107,0.9866249187784276
D4-e003Coalescence-mGAM-p3,0.2832889105058366,0.326887102014295
B9-e003Coalescence-mBHI-p7,0.29545136186770427,0.2997153996101365
A2-e003Coalescence-mGAM-p5,0.9826853923476004,0.0013620857699805067
D11-e003Assembly-mGAM-p5,0.2769989461738002,0.27915911306042884
C3-e003Coalescence-mGAM-p7,0.0003767023346303502,0.9992506497725796
B11-e003GlycerolRevival-mGAM-p2,0.2770269130998703,0.28057342430149446
C5-e004Assembly-mBHI-p7,0.23972657263294422,0.24178053931124105
B3-e003Coalescence-mGAM-p5,0.00038237678339818424,0.9979339668615984
D9-e003Coalescence-mBHI-p7,0.2959392833981842,0.3005305393112411
G5-e004Assembly-epsilon-p5,0.2926345654993515,0.2732307504873295
B10-e003Assembly-mGAM-p3,0.0001561284046692607,0.629836338531514
D3-e004Assembly-mGAM-p5,0.24135376134889755,0.27332171864847304
C5-e003Coalescence-mBHI-p7,0.29663051232166016,0.30155864197530863
D12-e003Coalescence-mBHI-p3,0.293361948767834,0.29632781026640675
D4-e004Assembly-mGAM-p7,0.23022187094682228,0.25504061078622475
C11-e003Coalescence-mGAM-p7,0.054060635538262,0.8636189083820663
C11-e003Assembly-mGAM-p3,0.2826132457846952,0.285837069525666
D10-e003Coalescence-mBHI-p7,0.29262119001297016,0.30841536712150747
C9-e003Coalescence-mBHI-p7,0.2954105869001297,0.30069103313840156
A2-e003Coalescence-mBHI-p3,0.9670285343709467,0.002647579597141001
B8-e003Coalescence-mGAM-p5,0.2964810311284047,0.29906059129304746
C3-e004Assembly-mBHI-p3,0.2348295233463035,0.2758397498375568
C11-e003Assembly-mGAM-p5,0.2635230220492867,0.26822880116959064
B10-e003GlycerolRevival-mGAM-p2,0.0005436932555123217,0.7301570825211176
B3-e003Coalescence-mBHI-p5,0.001918612191958496,0.9962435834957765
C2-e003Coalescence-mBHI-inoculumn-redo,0.14868304150453956,0.814217673814165
A8-e003Coalescence-mGAM-p7,0.981293369001297,0.0011653671215074723
C11-e003GlycerolRevival-mGAM-p2,0.2796759889753567,0.282199967511371
B2-e003Coalescence-Inoculumn-mBHI,0.21986916342412452,0.7513790610786224
A11-e003Coalescence-mBHI-p5,0.2967090629053178,0.30129605263157894
C10-e003Coalescence-mGAM-p5,0.0004075875486381323,0.9984870857699805
C4-e003Assembly-mBHI-p5,0.002417720492866407,0.9853417803768681
C9-e003Assembly-mGAM-p5,0.2611342412451362,0.2683275666016894
A5-e003Coalescence-Inoculumn-mGAM,0.5690234273670557,0.17304938271604936
A3-e003Coalescence-mBHI-p3,0.5330602302204929,0.43720305393112413
AG-Fecal,0.24857749675745783,0.2642050032488629
D4-e003Coalescence-Inoculumn-mGAM,0.11472211413748379,0.49616439246263805
A2-e003Coalescence-mBHI-p5,0.9753870784695201,0.0014614197530864199
B5-e004Assembly-mBHI-p5,0.2609579280155642,0.26343104288499025
G2-e004Assembly-epsilon-p5,0.2523870784695201,0.2551916016894087
C5-e003Assembly-mBHI-p5,0.16294666018158238,0.16764774204028587
C10-e003Coalescence-mBHI-p5,0.0010585278858625169,0.9964446068875893
B9-e003Coalescence-mBHI-p3,0.29597665369649806,0.2997985705003249
C3-e003Coalescence-mBHI-inoculumn-redo,0.01498662451361868,0.9609122807017544
B5-e003Coalescence-mGAM-p3,0.2089131809338521,0.47597920727745285
C3-e003Assembly-mBHI-p5,0.2240696335927367,0.2804820500324886
F2-e004Assembly-epsilon-p5,0.24626013294422824,0.25375503573749186
A5-e003Coalescence-mBHI-p3,0.16585595006485088,0.14792665692007798
C4-e004Assembly-mBHI-p7,0.24228728923476003,0.2746695094217024
A4-e003Coalescence-mBHI-p3,0.002561770428015564,0.9801973684210527
C9-e003GlycerolRevival-mGAM-p2,0.2637578631647211,0.2782405782975958
B2-e004Assembly-mBHI-p7,0.26288278210116733,0.2606742202729045
