,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,0.07648695044275283,0.8157924838842407
C9-e003Coalescence-mGAM-p3,0.27707612241727514,0.36361130160471816
D2-e004Assembly-mGAM-p7,0.16287789342861583,0.12470360718694282
B5-e004Assembly-mBHI-p3,0.2710400807829734,0.24025572623782743
C11-e003Coalescence-mBHI-p3,0.07599036818393662,0.8186281717185571
D11-e003Coalescence-mBHI-p5,0.0007466210967842164,0.9978821149362228
C9-e003Coalescence-mGAM-p7,0.2488450365076899,0.42966108901385264
C8-e003Coalescence-mGAM-p7,0.38070444306353896,0.23126025236593062
D10-e003Coalescence-mBHI-p3,0.025565247786235826,0.9379013852695103
F3-e004Assembly-epsilon-p3,0.21762280565480818,0.19064387601152105
B2-e003Coalescence-mBHI-p3,0.6744641913935064,0.12597764367027844
A8-e003Coalescence-mBHI-p3,0.987437082491844,0.0007783568783431626
A4-e003Coalescence-mBHI-p7,0.32963298120242346,0.250137429707859
B4-e003Coalescence-mBHI-p5,0.12058342395525867,0.09712049101632149
A3-e003Coalescence-mBHI-p7,0.33246116203200254,0.2516420244136607
B9-e003Coalescence-mGAM-p5,0.0005044275283517167,0.9982519544644082
A4-e003Coalescence-mBHI-inoculumn-redo,0.4248450365076899,0.21363118913729257
B3-e003Coalescence-mBHI-p3,0.332922712443685,0.25121471677410506
D4-e003Coalescence-mBHI-p5,0.0011386515457511262,0.9910541763818406
C2-e003Coalescence-mBHI-p5,0.33180340220599663,0.24993299958853382
B3-e004Assembly-mBHI-p7,0.2647901196209414,0.22905335344945824
B5-e004Assembly-mBHI-p7,0.27214129252757496,0.24203058565354546
D4-e003Coalescence-mBHI-p3,0.020849308684169645,0.9330964888218352
C4-e003GlycerolRevival-mBHI-p2,0.3308813888457356,0.25057701275545197
G5-e004Assembly-epsilon-p3,0.3184747553208016,0.22589946509395145
C5-e004Assembly-mBHI-p3,0.26307985086220287,0.2243989850500617
D10-e003Assembly-mGAM-p5,0.22591945005437317,0.1733123028391167
B2-e003Assembly-mBHI-p5,0.9654742892651856,0.0015953915786586202
C3-e004Assembly-mBHI-p5,0.26645906478173065,0.23036291318063365
B2-e003Coalescence-mBHI-p5,0.5252508932732639,0.1737970785900425
B8-e003Assembly-mGAM-p5,0.5863245300605873,0.0020515704292963927
C4-e003Coalescence-mGAM-p7,0.3297603697374553,0.2486612947469483
B12-e003Coalescence-mBHI-p3,0.0004964269069442287,0.9876893430256481
D3-e004Assembly-mGAM-p7,0.26683711356221845,0.23213811548484437
C8-e003Assembly-mGAM-p3,0.8671169799596085,0.0007769167466739817
C3-e003Coalescence-mGAM-p3,0.33206905390709957,0.25172082018927444
B4-e003Assembly-mBHI-p5,0.3279498990212832,0.24257495542449595
D4-e004Assembly-mGAM-p5,0.23914269069442287,0.21401632149225072
D3-e003Coalescence-Inoculumn-mBHI,0.175000155351872,0.5909377314497326
C3-e003Coalescence-mBHI-p7,0.33208769613173833,0.2512234261418187
D11-e003Coalescence-mGAM-p5,0.0007156283983221998,0.9964364284734605
A11-e003Coalescence-mGAM-p7,0.04334752213764175,0.944591825538335
B8-e003Coalescence-mBHI-p5,0.013465356532546218,0.9719759978055136
B10-e003Assembly-mGAM-p5,0.27581715084666764,0.20467068989164722
C2-e003Coalescence-mGAM-p7,0.3315864533167624,0.2512786997668358
D3-e003Coalescence-mBHI-p5,0.0019402672052198228,0.991549855986833
B11-e003Coalescence-mGAM-p3,0.0004904458598726114,0.9990443697709506
C4-e003Coalescence-mBHI-inoculumn-redo,0.33103852726425353,0.24993334247702648
B5-e003Assembly-mBHI-p5,0.0005213608823986329,0.985138595528734
D2-e003Coalescence-mBHI-p5,0.007870669566568279,0.9351957207516116
D8-e003Assembly-mGAM-p5,0.8133470560820257,0.000569949252503086
D5-e003Coalescence-mGAM-p5,0.0003896224949510641,0.9899723631874914
B5-e003Coalescence-mBHI-p5,0.0018585521205530526,0.9882697846660267
D5-e003Coalescence-mBHI-p7,0.000516467298430946,0.9940675490330545
C9-e003Coalescence-mBHI-p5,0.000691704210035731,0.9984518584556302
A10-e003Coalescence-mBHI-p3,0.5319807363678731,0.15729166095185848
A5-e003Coalescence-mGAM-p3,0.00121578375019419,0.9884761349609108
A2-e003Coalescence-Inoculumn-mGAM,0.9686559732794779,0.0008228638046907145
E5-e004Assembly-mGAM-p5,0.2926601677800218,0.23674914277876832
D8-e003Coalescence-mGAM-p5,0.09482383097716326,0.8968692909065973
A12-e003Coalescence-mGAM-p3,0.01071547304645021,0.975285283225895
C2-e003Coalescence-mBHI-p3,0.3331544974366941,0.25110046632835004
C4-e004Assembly-mBHI-p5,0.27486181450986485,0.23496228226580718
D9-e003Coalescence-mGAM-p7,0.00047840608979338205,0.9975173501577286
D4-e003Coalescence-mBHI-p7,0.0007366785769768527,0.9929413660677547
D8-e003Assembly-mGAM-p3,0.5960174770855988,0.00056274859415718
E3-e004Assembly-mGAM-p3,0.26189707938480655,0.22606994925250307
B10-e003Coalescence-mGAM-p3,0.24766770234581328,0.4270043889727061
A9-e003Coalescence-mGAM-p7,0.0005156905390709958,0.9771734329995886
B5-e003Coalescence-Inoculumn-mGAM,0.000556625757340376,0.9881413386366754
D10-e003Coalescence-mBHI-p5,0.0026965977940034184,0.9924629680427924
D5-e003Coalescence-mBHI-p3,0.0005921236600901041,0.994125840076807
C5-e003Coalescence-mBHI-p3,0.00911464968152866,0.9311794678370593
