,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.6698158145442997,0.0
C9-e003Coalescence-mGAM-p3,0.6633852016513179,0.053946541977807246
D2-e004Assembly-mGAM-p7,0.3826611622737377,0.4314327587410147
B5-e004Assembly-mBHI-p3,0.6902191171800571,0.7209156256542676
C11-e003Coalescence-mBHI-p3,0.6648142267386472,0.0
D11-e003Coalescence-mBHI-p5,0.9806287710384249,0.0
C9-e003Coalescence-mGAM-p7,0.6633852016513179,6.978854072161351e-05
C8-e003Coalescence-mGAM-p7,0.03286757700857415,0.7463186544769349
D10-e003Coalescence-mBHI-p3,0.6689425214353764,0.0
F3-e004Assembly-epsilon-p3,0.5851063829787234,0.6145578895945286
B2-e003Coalescence-mBHI-p3,0.0007939028262940616,0.6027636262125758
A8-e003Coalescence-mBHI-p3,0.0,0.9956033219345384
A4-e003Coalescence-mBHI-p7,0.6605271514766593,0.7454811919882756
B4-e003Coalescence-mBHI-p5,0.2757224515719276,0.28278316700397793
A3-e003Coalescence-mBHI-p7,0.6622737376945061,0.7461790773954916
B9-e003Coalescence-mGAM-p5,0.9965862178469356,0.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.0013496348046999047,0.6405192267429688
B3-e003Coalescence-mBHI-p3,0.5558113686884726,0.7231488589573593
D4-e003Coalescence-mBHI-p5,0.9863448713877422,0.0
C2-e003Coalescence-mBHI-p5,0.6602095903461417,0.7462488659362133
B3-e004Assembly-mBHI-p7,0.6226579866624325,0.6627817712331635
B5-e004Assembly-mBHI-p7,0.6139250555731979,0.6559424942424454
D4-e003Coalescence-mBHI-p3,0.8662273737694506,0.0
C4-e003GlycerolRevival-mBHI-p2,0.6623531279771356,0.7446437294996162
G5-e004Assembly-epsilon-p3,0.5662908859955541,0.6586642473305884
C5-e004Assembly-mBHI-p3,0.5352492854874563,0.6020657408053598
D10-e003Assembly-mGAM-p5,0.46975230231819626,0.5183194919394235
B2-e003Assembly-mBHI-p5,0.0,0.9808081513015563
C3-e004Assembly-mBHI-p5,0.6000317561130518,0.6416358433945146
B2-e003Coalescence-mBHI-p5,0.00952683391552874,0.7467373857212646
B8-e003Assembly-mGAM-p5,0.00031756113051762465,0.6426128829646172
C4-e003Coalescence-mGAM-p7,0.6608447126071769,0.7431083816037407
