,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,0.43983431952662716,0.4383333333333333
C9-e003Coalescence-mGAM-p3,0.859112426035503,0.6516666666666667
D2-e004Assembly-mGAM-p7,0.03599408284023669,0.148
B5-e004Assembly-mBHI-p3,0.16488757396449705,0.0
C11-e003Coalescence-mBHI-p3,0.4361420118343195,0.4343333333333333
D11-e003Coalescence-mBHI-p5,0.3049704142011834,0.3333333333333333
C9-e003Coalescence-mGAM-p7,0.7941834319526626,0.6936666666666668
C8-e003Coalescence-mGAM-p7,0.9207396449704143,0.656
D10-e003Coalescence-mBHI-p3,0.3564852071005917,0.38866666666666666
F3-e004Assembly-epsilon-p3,0.12810650887573963,0.0
B2-e003Coalescence-mBHI-p3,0.5419763313609468,0.47800000000000004
A8-e003Coalescence-mBHI-p3,0.26027810650887573,0.023666666666666666
A4-e003Coalescence-mBHI-p7,0.9364260355029586,0.7633333333333333
B4-e003Coalescence-mBHI-p5,0.26331360946745563,0.0
A3-e003Coalescence-mBHI-p7,0.9943017751479288,0.7553333333333333
B9-e003Coalescence-mGAM-p5,0.29808284023668635,0.3333333333333333
A4-e003Coalescence-mBHI-inoculumn-redo,0.8048934911242602,0.6673333333333332
B3-e003Coalescence-mBHI-p3,0.9908639053254439,0.71
D4-e003Coalescence-mBHI-p5,0.2874497041420118,0.3333333333333333
C2-e003Coalescence-mBHI-p5,0.9593609467455622,0.682
B3-e004Assembly-mBHI-p7,0.21223668639053256,0.2763333333333333
B5-e004Assembly-mBHI-p7,0.16602958579881655,0.038000000000000006
D4-e003Coalescence-mBHI-p3,0.29617751479289944,0.37666666666666665
C4-e003GlycerolRevival-mBHI-p2,0.9295798816568047,0.6923333333333334
G5-e004Assembly-epsilon-p3,0.1745147928994083,0.13599999999999998
C5-e004Assembly-mBHI-p3,0.16259171597633137,0.0
D10-e003Assembly-mGAM-p5,0.5591715976331361,0.6666666666666666
B2-e003Assembly-mBHI-p5,0.23668639053254437,0.029333333333333333
C3-e004Assembly-mBHI-p5,0.21410059171597634,0.18233333333333335
B2-e003Coalescence-mBHI-p5,0.7325029585798817,0.4283333333333334
B8-e003Assembly-mGAM-p5,0.15384615384615385,0.0
C4-e003Coalescence-mGAM-p7,0.959792899408284,0.6963333333333334
B12-e003Coalescence-mBHI-p3,0.2889940828402367,0.3333333333333333
D3-e004Assembly-mGAM-p7,0.21854437869822485,0.238
C8-e003Assembly-mGAM-p3,0.22707100591715976,0.0
C3-e003Coalescence-mGAM-p3,0.9826508875739643,0.6566666666666666
B4-e003Assembly-mBHI-p5,0.6585798816568047,0.5476666666666666
D4-e004Assembly-mGAM-p5,0.15976331360946747,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.6569349112426035,0.5243333333333333
C3-e003Coalescence-mBHI-p7,0.9862781065088756,0.7563333333333334
D11-e003Coalescence-mGAM-p5,0.2897751479289941,0.3333333333333333
A11-e003Coalescence-mGAM-p7,0.28066863905325445,0.3333333333333333
B8-e003Coalescence-mBHI-p5,0.29215384615384615,0.3333333333333333
B10-e003Assembly-mGAM-p5,0.7810650887573964,0.4583333333333333
C2-e003Coalescence-mGAM-p7,0.9870414201183432,0.7406666666666668
D3-e003Coalescence-mBHI-p5,0.30958579881656806,0.3333333333333333
B11-e003Coalescence-mGAM-p3,0.3046331360946746,0.3333333333333333
C4-e003Coalescence-mBHI-inoculumn-redo,0.7664378698224853,0.8163333333333332
B5-e003Assembly-mBHI-p5,0.29283431952662725,0.3333333333333333
D2-e003Coalescence-mBHI-p5,0.2803431952662722,0.3333333333333333
D8-e003Assembly-mGAM-p5,0.17159763313609466,0.0
D5-e003Coalescence-mGAM-p5,0.2894319526627219,0.3333333333333333
B5-e003Coalescence-mBHI-p5,0.30841420118343194,0.3333333333333333
D5-e003Coalescence-mBHI-p7,0.3059349112426036,0.3333333333333333
C9-e003Coalescence-mBHI-p5,0.2988698224852071,0.3333333333333333
A10-e003Coalescence-mBHI-p3,0.669284023668639,0.27699999999999997
A5-e003Coalescence-mGAM-p3,0.28998816568047336,0.3333333333333333
A2-e003Coalescence-Inoculumn-mGAM,0.26627218934911245,0.0
E5-e004Assembly-mGAM-p5,0.16523076923076924,0.044333333333333315
D8-e003Coalescence-mGAM-p5,0.2972958579881657,0.2976666666666667
A12-e003Coalescence-mGAM-p3,0.30042011834319526,0.3333333333333333
C2-e003Coalescence-mBHI-p3,0.9857100591715975,0.7006666666666667
C4-e004Assembly-mBHI-p5,0.19386982248520712,0.0
D9-e003Coalescence-mGAM-p7,0.2926686390532544,0.3333333333333333
D4-e003Coalescence-mBHI-p7,0.28857988165680476,0.3333333333333333
D8-e003Assembly-mGAM-p3,0.10650887573964497,0.0
E3-e004Assembly-mGAM-p3,0.21133136094674554,0.18066666666666667
B10-e003Coalescence-mGAM-p3,0.7716568047337278,0.6123333333333333
A9-e003Coalescence-mGAM-p7,0.2781065088757396,0.3333333333333333
B5-e003Coalescence-Inoculumn-mGAM,0.2911242603550296,0.3333333333333333
D10-e003Coalescence-mBHI-p5,0.2804497041420118,0.35200000000000004
D5-e003Coalescence-mBHI-p3,0.3058343195266272,0.3333333333333333
C5-e003Coalescence-mBHI-p3,0.2869585798816568,0.3333333333333333
D9-e003Coalescence-mGAM-p5,0.28890532544378694,0.3333333333333333
C9-e003Coalescence-mBHI-p3,0.30896449704142015,0.35200000000000004
D10-e003Coalescence-mGAM-p5,0.9791597633136095,0.751
C8-e003Coalescence-mBHI-p7,0.694396449704142,0.5146666666666667
B11-e003Assembly-mGAM-p5,0.2767396449704142,0.0
G3-e004Assembly-epsilon-p7,0.17472189349112424,0.148
B4-e003Coalescence-mGAM-p5,0.9549053254437869,0.7006666666666667
D4-e003Coalescence-mGAM-p5,0.3227455621301775,0.37233333333333335
C3-e004Assembly-mBHI-p7,0.2174378698224852,0.2733333333333333
B5-e003Coalescence-mGAM-p5,0.3580236686390532,0.4403333333333333
B5-e003Coalescence-Inoculumn-mBHI,0.6414201183431953,0.5396666666666666
G3-e004Assembly-epsilon-p3,0.1360473372781065,0.0
C2-e003Coalescence-mGAM-p3,0.959207100591716,0.7153333333333333
B5-e003Coalescence-mGAM-p7,0.3420355029585799,0.4306666666666667
D8-e003Coalescence-mBHI-p5,0.29257396449704137,0.3333333333333333
F5-e004Assembly-epsilon-p5,0.17455621301775148,0.11099999999999999
E5-e004Assembly-mGAM-p7,0.17228994082840238,0.024999999999999984
C10-e003Assembly-mGAM-p3,0.23372781065088757,0.0
B10-e003Coalescence-mBHI-p5,0.2992248520710059,0.3333333333333333
D5-e003Coalescence-Inoculumn-mGAM,0.2875207100591716,0.3333333333333333
F2-e004Assembly-epsilon-p3,0.13563905325443787,0.0
B3-e004Assembly-mBHI-p5,0.19653254437869822,0.0
B5-e003Coalescence-mBHI-p3,0.30027810650887576,0.3333333333333333
G4-e004Assembly-epsilon-p5,0.08284023668639054,0.0
C4-e003Coalescence-mGAM-p5,0.9729585798816568,0.832
C5-e003Coalescence-mGAM-p7,0.401094674556213,0.49733333333333335
C5-e003Coalescence-mBHI-inoculumn-redo,0.7064852071005917,0.5503333333333333
A2-e003Coalescence-mBHI-p7,0.23076923076923078,0.0
A10-e003Coalescence-mBHI-p5,0.6156568047337277,0.4136666666666667
A4-e003Coalescence-mGAM-p5,0.2990473372781065,0.3333333333333333
D5-e003Coalescence-mBHI-p5,0.958301775147929,0.7843333333333332
D3-e003Assembly-mBHI-p3,0.19399408284023667,0.0
D4-e003Coalescence-mGAM-p7,0.30956213017751477,0.353
A8-e003Coalescence-mBHI-p7,0.2601715976331361,0.034999999999999996
E3-e004Assembly-mGAM-p7,0.20690532544378698,0.24366666666666667
B9-e003GlycerolRevival-mGAM-p2,0.2527455621301775,0.3333333333333333
C4-e003Coalescence-mGAM-p3,0.9687928994082841,0.738
B2-e003Coalescence-Inoculumn-mGAM,0.2811301775147929,0.154
D5-e003Coalescence-mGAM-p7,0.23076923076923078,0.3333333333333333
C5-e003Coalescence-mBHI-p5,0.3057100591715976,0.3333333333333333
C5-e003Coalescence-mGAM-p3,0.3677337278106509,0.3793333333333333
A3-e003Coalescence-mBHI-inoculumn-redo,0.7698047337278107,0.611
D9-e003Assembly-mGAM-p5,0.1136508875739645,0.0
B12-e003Coalescence-mGAM-p3,0.2944378698224852,0.3333333333333333
A11-e003Coalescence-mBHI-p7,0.3052899408284024,0.3333333333333333
A3-e003Coalescence-Inoculumn-mGAM,0.25457396449704145,0.212
D10-e003Assembly-mGAM-p3,0.5029585798816568,0.4443333333333333
C3-e003Coalescence-mGAM-p5,0.9813786982248521,0.6549999999999999
B4-e004Assembly-mBHI-p5,0.1992130177514793,0.0
C10-e003GlycerolRevival-mGAM-p2,0.9217928994082841,0.4126666666666667
D3-e003Assembly-mBHI-p5,0.19262130177514797,0.019
A10-e003Coalescence-mGAM-p3,0.9010828402366865,0.6456666666666666
A9-e003Coalescence-mBHI-p3,0.302905325443787,0.3333333333333333
A2-e003Coalescence-Inoculumn-mBHI,0.2538284023668639,0.0
D3-e003Coalescence-mBHI-p7,0.2994260355029586,0.3333333333333333
C3-e003Coalescence-mBHI-p5,0.9683727810650887,0.7336666666666667
D11-e003Assembly-mGAM-p3,0.26542603550295857,0.3333333333333333
D2-e003Assembly-mBHI-p3,0.23631360946745564,0.0
B3-e003Assembly-mBHI-p5,0.9611479289940829,0.6846666666666666
A9-e003Coalescence-mBHI-p5,0.29684615384615387,0.3333333333333333
D5-e003Coalescence-Inoculumn-mBHI,0.2982485207100592,0.3333333333333333
B2-e003Coalescence-mGAM-p3,0.9381420118343194,0.6603333333333333
B4-e003Assembly-mBHI-p3,0.8208343195266272,0.318
C11-e003Coalescence-mGAM-p5,0.8171775147928995,0.672
B3-e003Coalescence-Inoculumn-mBHI,0.9939585798816567,0.6316666666666667
A8-e003Coalescence-mBHI-p5,0.266,0.03
D5-e004Assembly-mGAM-p7,0.1623431952662722,0.06333333333333331
C2-e003Assembly-mBHI-p5,0.1271360946745562,0.0
D9-e003Coalescence-mBHI-p3,0.28994082840236685,0.3333333333333333
D5-e003Assembly-mBHI-p5,0.28402366863905326,0.3333333333333333
A5-e003Coalescence-mBHI-p7,0.2346094674556213,0.0
G2-e004Assembly-epsilon-p3,0.1554319526627219,0.0
D2-e003Coalescence-mGAM-p5,0.29916568047337283,0.3333333333333333
B9-e003Assembly-mGAM-p5,0.11766272189349111,0.12266666666666666
D3-e003Coalescence-mGAM-p3,0.5316923076923077,0.6486666666666666
D9-e003Coalescence-mGAM-p3,0.2994733727810651,0.3333333333333333
E2-e004Assembly-mGAM-p7,0.0650887573964497,0.08333333333333333
D3-e003Coalescence-mGAM-p5,0.4967751479289941,0.4606666666666667
C10-e003Coalescence-mGAM-p3,0.9837810650887575,0.7176666666666667
A5-e003Coalescence-mBHI-inoculumn-redo,0.27033136094674554,0.287
B11-e003Assembly-mGAM-p3,0.24260355029585798,0.3333333333333333
D2-e003Assembly-mBHI-p5,0.2083076923076923,0.0
