,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,13472,15094
C9-e003Coalescence-mGAM-p3,13385,15080
D2-e004Assembly-mGAM-p7,7400,8305
B5-e004Assembly-mBHI-p3,13026,14646
C11-e003Coalescence-mBHI-p3,13486,15118
D11-e003Coalescence-mBHI-p5,13492,15110
C9-e003Coalescence-mGAM-p7,13476,15127
C8-e003Coalescence-mGAM-p7,13420,15109
D10-e003Coalescence-mBHI-p3,13490,15126
F3-e004Assembly-epsilon-p3,10769,12136
B2-e003Coalescence-mBHI-p3,13357,15042
A8-e003Coalescence-mBHI-p3,13214,14873
A4-e003Coalescence-mBHI-p7,13337,15061
B4-e003Coalescence-mBHI-p5,4874,5719
A3-e003Coalescence-mBHI-p7,13460,15134
B9-e003Coalescence-mGAM-p5,13488,15091
A4-e003Coalescence-mBHI-inoculumn-redo,13482,15132
B3-e003Coalescence-mBHI-p3,13472,15131
D4-e003Coalescence-mBHI-p5,13408,14983
C2-e003Coalescence-mBHI-p5,13384,15082
B3-e004Assembly-mBHI-p7,13158,14785
B5-e004Assembly-mBHI-p7,13102,14728
D4-e003Coalescence-mBHI-p3,13319,14875
C4-e003GlycerolRevival-mBHI-p2,13372,15088
G5-e004Assembly-epsilon-p3,13108,14739
C5-e004Assembly-mBHI-p3,12652,14209
D10-e003Assembly-mGAM-p5,8867,10479
B2-e003Assembly-mBHI-p5,13035,14729
C3-e004Assembly-mBHI-p5,13182,14827
B2-e003Coalescence-mBHI-p5,13400,15092
B8-e003Assembly-mGAM-p5,8308,9461
C4-e003Coalescence-mGAM-p7,13313,15050
B12-e003Coalescence-mBHI-p3,13368,14882
D3-e004Assembly-mGAM-p7,13205,14876
C8-e003Assembly-mGAM-p3,11752,13292
C3-e003Coalescence-mGAM-p3,13442,15116
B4-e003Assembly-mBHI-p5,13450,15115
D4-e004Assembly-mGAM-p5,11910,13383
D3-e003Coalescence-Inoculumn-mBHI,13494,15136
C3-e003Coalescence-mBHI-p7,13422,15119
D11-e003Coalescence-mGAM-p5,13468,15078
A11-e003Coalescence-mGAM-p7,13392,14948
