,0.025,0.025
C12-e003Coalescence-mBHI-p3,0.071,0.558
C9-e003Coalescence-mGAM-p3,0.652,0.0
D2-e004Assembly-mGAM-p7,0.0,0.0
B5-e004Assembly-mBHI-p3,0.0,0.0
C11-e003Coalescence-mBHI-p3,0.091,0.588925
D11-e003Coalescence-mBHI-p5,0.0,0.98
C9-e003Coalescence-mGAM-p7,0.592,0.118
C8-e003Coalescence-mGAM-p7,0.842,0.0
D10-e003Coalescence-mBHI-p3,0.021,0.836
F3-e004Assembly-epsilon-p3,0.0,0.0
B2-e003Coalescence-mBHI-p3,0.222,0.0
A8-e003Coalescence-mBHI-p3,0.0,0.0
A4-e003Coalescence-mBHI-p7,1.0,0.0
B4-e003Coalescence-mBHI-p5,1.0,0.0
A3-e003Coalescence-mBHI-p7,1.0,0.0
B9-e003Coalescence-mGAM-p5,0.0,1.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.69,0.0
B3-e003Coalescence-mBHI-p3,0.991,0.0
D4-e003Coalescence-mBHI-p5,0.0,1.0
C2-e003Coalescence-mBHI-p5,1.0,0.0
B3-e004Assembly-mBHI-p7,0.0,0.0
B5-e004Assembly-mBHI-p7,0.0,0.0
D4-e003Coalescence-mBHI-p3,0.0,0.7
C4-e003GlycerolRevival-mBHI-p2,1.0,0.0
G5-e004Assembly-epsilon-p3,0.0,0.0
C5-e004Assembly-mBHI-p3,0.0,0.0
D10-e003Assembly-mGAM-p5,1.0,0.0
B2-e003Assembly-mBHI-p5,0.0,0.0
C3-e004Assembly-mBHI-p5,0.0,0.0
B2-e003Coalescence-mBHI-p5,0.481,0.0
B8-e003Assembly-mGAM-p5,0.0,0.0
C4-e003Coalescence-mGAM-p7,1.0,0.0
B12-e003Coalescence-mBHI-p3,0.0,1.0
D3-e004Assembly-mGAM-p7,0.0,0.0
C8-e003Assembly-mGAM-p3,0.0,0.0
C3-e003Coalescence-mGAM-p3,1.0,0.0
B4-e003Assembly-mBHI-p5,0.527225,0.0
D4-e004Assembly-mGAM-p5,0.0,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.375,0.314
C3-e003Coalescence-mBHI-p7,1.0,0.0
D11-e003Coalescence-mGAM-p5,0.0,1.0
A11-e003Coalescence-mGAM-p7,0.0,0.795675
B8-e003Coalescence-mBHI-p5,0.0,0.912
B10-e003Assembly-mGAM-p5,1.0,0.0
C2-e003Coalescence-mGAM-p7,1.0,0.0
D3-e003Coalescence-mBHI-p5,0.0,0.906
B11-e003Coalescence-mGAM-p3,0.0,1.0
C4-e003Coalescence-mBHI-inoculumn-redo,0.825,0.0
B5-e003Assembly-mBHI-p5,0.0,1.0
D2-e003Coalescence-mBHI-p5,0.0,0.706
D8-e003Assembly-mGAM-p5,0.0,0.0
D5-e003Coalescence-mGAM-p5,0.0,1.0
B5-e003Coalescence-mBHI-p5,0.0,0.921
D5-e003Coalescence-mBHI-p7,0.0,1.0
C9-e003Coalescence-mBHI-p5,0.0,0.975
A10-e003Coalescence-mBHI-p3,0.391,0.0
A5-e003Coalescence-mGAM-p3,0.0,1.0
A2-e003Coalescence-Inoculumn-mGAM,0.0,0.0
E5-e004Assembly-mGAM-p5,0.0,0.0
D8-e003Coalescence-mGAM-p5,0.0,0.761
A12-e003Coalescence-mGAM-p3,0.0,0.862675
C2-e003Coalescence-mBHI-p3,0.97,0.0
C4-e004Assembly-mBHI-p5,0.0,0.0
D9-e003Coalescence-mGAM-p7,0.0,1.0
D4-e003Coalescence-mBHI-p7,0.0,1.0
D8-e003Assembly-mGAM-p3,0.0,0.0
E3-e004Assembly-mGAM-p3,0.0,0.0
B10-e003Coalescence-mGAM-p3,0.52,0.0
A9-e003Coalescence-mGAM-p7,0.0,1.0
B5-e003Coalescence-Inoculumn-mGAM,0.0,1.0
D10-e003Coalescence-mBHI-p5,0.0,0.941
D5-e003Coalescence-mBHI-p3,0.0,0.941
C5-e003Coalescence-mBHI-p3,0.0,0.7
D9-e003Coalescence-mGAM-p5,0.0,0.964
C9-e003Coalescence-mBHI-p3,0.0,0.92
D10-e003Coalescence-mGAM-p5,0.968,0.0
C8-e003Coalescence-mBHI-p7,0.472,0.0
B11-e003Assembly-mGAM-p5,0.0,1.0
G3-e004Assembly-epsilon-p7,0.0,0.0
B4-e003Coalescence-mGAM-p5,0.923,0.0
D4-e003Coalescence-mGAM-p5,0.0,0.857
C3-e004Assembly-mBHI-p7,0.0,0.0
B5-e003Coalescence-mGAM-p5,0.0,0.724
B5-e003Coalescence-Inoculumn-mBHI,0.316,0.276
G3-e004Assembly-epsilon-p3,0.0,0.0
C2-e003Coalescence-mGAM-p3,1.0,0.0
B5-e003Coalescence-mGAM-p7,0.0,0.571
D8-e003Coalescence-mBHI-p5,0.0,1.0
