,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.774,0.667
C9-e003Coalescence-mGAM-p3,0.01762097561296452,0.096
D2-e004Assembly-mGAM-p7,0.8691013240179779,0.20670271184804648
B5-e004Assembly-mBHI-p3,0.014595017821885449,0.8305
C11-e003Coalescence-mBHI-p3,0.719,0.708
D11-e003Coalescence-mBHI-p5,0.856,0.984
C9-e003Coalescence-mGAM-p7,0.177,0.2325
C8-e003Coalescence-mGAM-p7,0.003959888556325509,0.00270005189355206
D10-e003Coalescence-mBHI-p3,0.739,0.894
F3-e004Assembly-epsilon-p3,0.17882643471490003,0.3865
B2-e003Coalescence-mBHI-p3,0.097,0.009673734916841011
A8-e003Coalescence-mBHI-p3,-0.0,0.002043746813417115
A4-e003Coalescence-mBHI-p7,0.015479564356545173,0.010554748311158052
B4-e003Coalescence-mBHI-p5,0.08513760396099845,0.1478838658334838
A3-e003Coalescence-mBHI-p7,0.0010576099870931485,0.0007211318721909227
B9-e003Coalescence-mGAM-p5,0.831,0.9938847233969231
A4-e003Coalescence-mBHI-inoculumn-redo,0.0038407941636540654,0.019
B3-e003Coalescence-mBHI-p3,0.0005818059496195794,0.0003967046631756443
D4-e003Coalescence-mBHI-p5,0.826,0.9834178671543071
C2-e003Coalescence-mBHI-p5,0.012770640594149767,0.008707667356705393
B3-e004Assembly-mBHI-p7,0.989818991868065,0.0048368674584205055
B5-e004Assembly-mBHI-p7,0.003192660148537442,0.7
D4-e003Coalescence-mBHI-p3,0.885,0.9787748699575132
C4-e003GlycerolRevival-mBHI-p2,0.008961853048526152,0.006110643759091504
G5-e004Assembly-epsilon-p3,0.008807338340792944,0.612
C5-e004Assembly-mBHI-p3,0.04581453659370775,0.3875
D10-e003Assembly-mGAM-p5,0.06385320297074884,0.13018173435352012
B2-e003Assembly-mBHI-p5,0.00769460521773137,0.015010967974408465
C3-e004Assembly-mBHI-p5,0.020372631802963295,0.075
B2-e003Coalescence-mBHI-p5,0.01160967326740888,0.007916061233368538
B8-e003Assembly-mGAM-p5,0.031877650187744244,0.12675759928584326
C4-e003Coalescence-mGAM-p7,0.012162514851571207,0.008293016530195612
B12-e003Coalescence-mBHI-p3,0.964758048774071,0.9832569972593136
D3-e004Assembly-mGAM-p7,0.789,0.081
C8-e003Assembly-mGAM-p3,0.022314355131420972,0.04353180712578455
C3-e003Coalescence-mGAM-p3,0.005159854785515058,0.0035182494370526837
B4-e003Assembly-mBHI-p5,0.007403269909652039,0.225
D4-e004Assembly-mGAM-p5,0.13411982603617503,0.9260580670832581
D3-e003Coalescence-Inoculumn-mBHI,0.528,0.504
C3-e003Coalescence-mBHI-p7,0.0035229353363171773,0.0024021151328842464
D11-e003Coalescence-mGAM-p5,0.889,0.9899049402107937
A11-e003Coalescence-mGAM-p7,0.8160000000000001,0.853
B8-e003Coalescence-mBHI-p5,0.785,0.8785000000000001
B10-e003Assembly-mGAM-p5,0.05675840264066564,0.07066541852444407
C2-e003Coalescence-mGAM-p7,0.0024325029703142417,0.0016586033060391225
D3-e003Coalescence-mBHI-p5,0.821,0.982333645368889
B11-e003Coalescence-mGAM-p3,0.868,0.9961687423691566
C4-e003Coalescence-mBHI-inoculumn-redo,0.008239122963967593,0.091
B5-e003Assembly-mBHI-p5,0.9910742579474316,0.9787748699575132
D2-e003Coalescence-mBHI-p5,0.9295160975481419,0.9665139945186273
D8-e003Assembly-mGAM-p5,0.02479372792380108,0.058958694562463373
D5-e003Coalescence-mGAM-p5,0.9923053947822686,0.9780693528717243
B5-e003Coalescence-mBHI-p5,0.9942783704791228,0.923
D5-e003Coalescence-mBHI-p7,0.88,0.9856586959172386
C9-e003Coalescence-mBHI-p5,0.89,0.9937648160125491
A10-e003Coalescence-mBHI-p3,0.021284400990249613,0.01451277892784232
A5-e003Coalescence-mGAM-p3,0.833,0.980727613129697
A2-e003Coalescence-Inoculumn-mGAM,-0.0,0.02411946595737138
E5-e004Assembly-mGAM-p5,0.006811008316879876,0.658
D8-e003Coalescence-mGAM-p5,0.727,0.882
A12-e003Coalescence-mGAM-p3,0.906,0.9854893976247385
C2-e003Coalescence-mBHI-p3,0.0027316878276256186,0.0018626026431455384
C4-e004Assembly-mBHI-p5,0.8485,0.7155
D9-e003Coalescence-mGAM-p7,0.868,0.9927311198484634
D4-e003Coalescence-mBHI-p7,0.709,0.990326265083159
D8-e003Assembly-mGAM-p3,-0.0,0.24780015076972944
E3-e004Assembly-mGAM-p3,0.061901458170542316,0.024461106412307563
B10-e003Coalescence-mGAM-p3,0.273,0.238
A9-e003Coalescence-mGAM-p7,0.9876031360380995,0.9705206527187683
B5-e003Coalescence-Inoculumn-mGAM,0.789,0.979484233331613
D10-e003Coalescence-mBHI-p5,0.876,0.9936401123328
D5-e003Coalescence-mBHI-p3,0.886,0.9920851259771301
C5-e003Coalescence-mBHI-p3,0.667,0.9602507020800002
D9-e003Coalescence-mGAM-p5,0.914,0.961
C9-e003Coalescence-mBHI-p3,0.867,0.974
D10-e003Coalescence-mGAM-p5,0.003756070762985226,0.0135
C8-e003Coalescence-mBHI-p7,0.0055524524322390295,0.0037859423290023445
B11-e003Assembly-mGAM-p5,0.986053528042862,0.9921773035653746
G3-e004Assembly-epsilon-p7,0.7,0.19
B4-e003Coalescence-mGAM-p5,0.011104904864478059,0.007571884658004689
