,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,13051,14652
C9-e003Coalescence-mGAM-p3,12971,14647
D2-e004Assembly-mGAM-p7,7201,8106
B5-e004Assembly-mBHI-p3,12634,14223
C11-e003Coalescence-mBHI-p3,13063,14682
D11-e003Coalescence-mBHI-p5,13065,14669
C9-e003Coalescence-mGAM-p7,13047,14684
C8-e003Coalescence-mGAM-p7,13007,14664
D10-e003Coalescence-mBHI-p3,13062,14675
F3-e004Assembly-epsilon-p3,10454,11799
B2-e003Coalescence-mBHI-p3,12941,14607
A8-e003Coalescence-mBHI-p3,12806,14443
A4-e003Coalescence-mBHI-p7,12917,14629
B4-e003Coalescence-mBHI-p5,4769,5593
A3-e003Coalescence-mBHI-p7,13020,14690
B9-e003Coalescence-mGAM-p5,13060,14653
A4-e003Coalescence-mBHI-inoculumn-redo,13052,14691
B3-e003Coalescence-mBHI-p3,13033,14689
D4-e003Coalescence-mBHI-p5,12990,14539
C2-e003Coalescence-mBHI-p5,12949,14645
B3-e004Assembly-mBHI-p7,12743,14370
B5-e004Assembly-mBHI-p7,12712,14322
D4-e003Coalescence-mBHI-p3,12915,14448
C4-e003GlycerolRevival-mBHI-p2,12951,14646
G5-e004Assembly-epsilon-p3,12698,14331
C5-e004Assembly-mBHI-p3,12263,13806
D10-e003Assembly-mGAM-p5,8618,10203
B2-e003Assembly-mBHI-p5,12632,14302
C3-e004Assembly-mBHI-p5,12771,14405
B2-e003Coalescence-mBHI-p5,12981,14654
B8-e003Assembly-mGAM-p5,8101,9218
C4-e003Coalescence-mGAM-p7,12873,14611
B12-e003Coalescence-mBHI-p3,12987,14510
D3-e004Assembly-mGAM-p7,12789,14441
C8-e003Assembly-mGAM-p3,11437,12963
C3-e003Coalescence-mGAM-p3,13022,14672
B4-e003Assembly-mBHI-p5,13016,14676
D4-e004Assembly-mGAM-p5,11560,13041
D3-e003Coalescence-Inoculumn-mBHI,13063,14693
C3-e003Coalescence-mBHI-p7,12979,14679
D11-e003Coalescence-mGAM-p5,13045,14623
A11-e003Coalescence-mGAM-p7,12976,14501
B8-e003Coalescence-mBHI-p5,13061,14653
B10-e003Assembly-mGAM-p5,10627,12420
C2-e003Coalescence-mGAM-p7,13004,14677
D3-e003Coalescence-mBHI-p5,13038,14584
B11-e003Coalescence-mGAM-p3,13063,14674
C4-e003Coalescence-mBHI-inoculumn-redo,12999,14680
B5-e003Assembly-mBHI-p5,12977,14459
D2-e003Coalescence-mBHI-p5,12549,13936
D8-e003Assembly-mGAM-p5,10703,12158
D5-e003Coalescence-mGAM-p5,12967,14511
B5-e003Coalescence-mBHI-p5,12993,14534
D5-e003Coalescence-mBHI-p7,13016,14596
C9-e003Coalescence-mBHI-p5,13058,14672
A10-e003Coalescence-mBHI-p3,12590,14346
A5-e003Coalescence-mGAM-p3,12994,14508
A2-e003Coalescence-Inoculumn-mGAM,12595,14243
E5-e004Assembly-mGAM-p5,12819,14448
D8-e003Coalescence-mGAM-p5,13048,14640
A12-e003Coalescence-mGAM-p3,12991,14470
C2-e003Coalescence-mBHI-p3,12997,14683
C4-e004Assembly-mBHI-p5,12692,14277
D9-e003Coalescence-mGAM-p7,13042,14615
D4-e003Coalescence-mBHI-p7,13006,14567
D8-e003Assembly-mGAM-p3,8168,9316
E3-e004Assembly-mGAM-p3,12657,14310
B10-e003Coalescence-mGAM-p3,12924,14625
A9-e003Coalescence-mGAM-p7,12818,14302
B5-e003Coalescence-Inoculumn-mGAM,12973,14509
D10-e003Coalescence-mBHI-p5,13057,14658
D5-e003Coalescence-mBHI-p3,13039,14603
C5-e003Coalescence-mBHI-p3,12538,13926
D9-e003Coalescence-mGAM-p5,13058,14654
C9-e003Coalescence-mBHI-p3,13054,14657
D10-e003Coalescence-mGAM-p5,12990,14684
C8-e003Coalescence-mBHI-p7,13041,14688
B11-e003Assembly-mGAM-p5,12717,14066
G3-e004Assembly-epsilon-p7,12123,13728
B4-e003Coalescence-mGAM-p5,12910,14647
D4-e003Coalescence-mGAM-p5,13050,14635
C3-e004Assembly-mBHI-p7,12746,14376
B5-e003Coalescence-mGAM-p5,13005,14570
B5-e003Coalescence-Inoculumn-mBHI,13048,14681
G3-e004Assembly-epsilon-p3,10478,11816
C2-e003Coalescence-mGAM-p3,12912,14627
B5-e003Coalescence-mGAM-p7,12675,14186
D8-e003Coalescence-mBHI-p5,13048,14633
F5-e004Assembly-epsilon-p5,12212,13747
E5-e004Assembly-mGAM-p7,12824,14457
C10-e003Assembly-mGAM-p3,4164,5143
B10-e003Coalescence-mBHI-p5,13050,14651
D5-e003Coalescence-Inoculumn-mGAM,13067,14694
F2-e004Assembly-epsilon-p3,12568,14159
B3-e004Assembly-mBHI-p5,12641,14281
B5-e003Coalescence-mBHI-p3,13050,14606
G4-e004Assembly-epsilon-p5,8492,9682
C4-e003Coalescence-mGAM-p5,12928,14642
C5-e003Coalescence-mGAM-p7,12955,14528
C5-e003Coalescence-mBHI-inoculumn-redo,13064,14694
A2-e003Coalescence-mBHI-p7,12387,13981
A10-e003Coalescence-mBHI-p5,13006,14659
A4-e003Coalescence-mGAM-p5,13050,14631
D5-e003Coalescence-mBHI-p5,12998,14682
D3-e003Assembly-mBHI-p3,12059,13618
D4-e003Coalescence-mGAM-p7,13021,14589
A8-e003Coalescence-mBHI-p7,12786,14419
E3-e004Assembly-mGAM-p7,12549,14211
B9-e003GlycerolRevival-mGAM-p2,11735,12867
C4-e003Coalescence-mGAM-p3,12972,14660
B2-e003Coalescence-Inoculumn-mGAM,12904,14534
D5-e003Coalescence-mGAM-p7,10328,11473
C5-e003Coalescence-mBHI-p5,13058,14657
C5-e003Coalescence-mGAM-p3,13052,14663
A3-e003Coalescence-mBHI-inoculumn-redo,12464,14250
D9-e003Assembly-mGAM-p5,8220,9109
B12-e003Coalescence-mGAM-p3,12999,14511
A11-e003Coalescence-mBHI-p7,13010,14534
A3-e003Coalescence-Inoculumn-mGAM,12503,13884
D10-e003Assembly-mGAM-p3,7564,8995
C3-e003Coalescence-mGAM-p5,12971,14679
B4-e004Assembly-mBHI-p5,12690,14285
C10-e003GlycerolRevival-mGAM-p2,12765,14491
D3-e003Assembly-mBHI-p5,12372,13977
A10-e003Coalescence-mGAM-p3,12998,14667
A9-e003Coalescence-mBHI-p3,13061,14655
A2-e003Coalescence-Inoculumn-mBHI,12690,14355
D3-e003Coalescence-mBHI-p7,13051,14642
C3-e003Coalescence-mBHI-p5,12965,14673
D11-e003Assembly-mGAM-p3,12327,13443
D2-e003Assembly-mBHI-p3,12777,14432
B3-e003Assembly-mBHI-p5,12926,14653
A9-e003Coalescence-mBHI-p5,13036,14590
D5-e003Coalescence-Inoculumn-mBHI,13059,14657
B2-e003Coalescence-mGAM-p3,12829,14638
B4-e003Assembly-mBHI-p3,12815,14577
C11-e003Coalescence-mGAM-p5,13056,14693
B3-e003Coalescence-Inoculumn-mBHI,12955,14668
A8-e003Coalescence-mBHI-p5,12803,14433
D5-e004Assembly-mGAM-p7,12841,14467
C2-e003Assembly-mBHI-p5,9937,11323
D9-e003Coalescence-mBHI-p3,12571,14058
D5-e003Assembly-mBHI-p5,12865,14314
A5-e003Coalescence-mBHI-p7,12696,13995
G2-e004Assembly-epsilon-p3,12449,13994
D2-e003Coalescence-mGAM-p5,13041,14613
B9-e003Assembly-mGAM-p5,12414,13090
D3-e003Coalescence-mGAM-p3,12920,14513
D9-e003Coalescence-mGAM-p3,13020,14574
E2-e004Assembly-mGAM-p7,9119,10322
D3-e003Coalescence-mGAM-p5,13065,14690
C10-e003Coalescence-mGAM-p3,12996,14665
A5-e003Coalescence-mBHI-inoculumn-redo,12999,14559
B11-e003Assembly-mGAM-p3,12557,13986
D2-e003Assembly-mBHI-p5,12709,14343
B9-e003Coalescence-mGAM-p7,13022,14588
B11-e003Coalescence-mGAM-p7,12920,14442
C3-e003Coalescence-Inoculumn-mGAM,12996,14629
