,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C9-e003Coalescence-mGAM-p3,0.671164309031556,0.7162921348314607
C9-e003Coalescence-mGAM-p7,0.22295973884657236,0.2508549096238398
B2-e003Coalescence-mBHI-p3,0.0002176278563656148,0.6319003419638496
A8-e003Coalescence-mBHI-p3,0.6967355821545158,0.7055446995603322
A4-e003Coalescence-mBHI-p7,0.6934711643090316,0.6963849535906205
B4-e003Coalescence-mBHI-p5,0.05103373231773667,0.2729604298974109
A3-e003Coalescence-mBHI-p7,0.0,0.7161700048851979
B9-e003Coalescence-mGAM-p5,0.6754080522306856,0.7200781631656082
A4-e003Coalescence-mBHI-inoculumn-redo,0.338411316648531,0.3429408891060088
B3-e003Coalescence-mBHI-p3,0.0,0.5687591597459697
D4-e003Coalescence-mBHI-p5,0.9390642002176278,0.0
C2-e003Coalescence-mBHI-p5,0.6862894450489663,0.6940644846116267
B3-e004Assembly-mBHI-p7,0.6608269858541893,0.6850268685881779
D4-e003Coalescence-mBHI-p3,0.9508161044613711,0.0
C4-e003GlycerolRevival-mBHI-p2,0.6492927094668117,0.6593795798729849
C3-e004Assembly-mBHI-p5,0.6593035908596301,0.6845383488031265
B2-e003Coalescence-mBHI-p5,0.009249183895538629,0.6996824621397166
B8-e003Assembly-mGAM-p5,0.6331882480957562,0.6493649242794333
B12-e003Coalescence-mBHI-p3,0.6726877040261153,0.7177576941866145
C8-e003Assembly-mGAM-p3,0.6193688792165397,0.6310454323400098
C3-e003Coalescence-mGAM-p3,0.0,0.9954811919882756
D3-e003Coalescence-Inoculumn-mBHI,0.0,0.0
C3-e003Coalescence-mBHI-p7,0.61240478781284,0.00134342940889106
B8-e003Coalescence-mBHI-p5,0.514689880304679,0.07388861748900831
C2-e003Coalescence-mGAM-p7,0.6821545157780196,0.6858817782120176
D3-e003Coalescence-mBHI-p5,0.1585418933623504,0.0
B11-e003Coalescence-mGAM-p3,0.676822633297062,0.720933072789448
B5-e003Assembly-mBHI-p5,0.7391730141458107,0.0
D2-e003Coalescence-mBHI-p5,0.538411316648531,0.0003663898387884709
D5-e003Coalescence-mGAM-p5,0.73449401523395,0.0
B5-e003Coalescence-mBHI-p5,0.1470076169749728,0.0
D5-e003Coalescence-mBHI-p7,0.6916213275299238,0.0
C9-e003Coalescence-mBHI-p5,0.6752992383025027,0.7178798241328774
A10-e003Coalescence-mBHI-p3,0.6515778019586507,0.6577918905715682
A5-e003Coalescence-mGAM-p3,0.612948857453754,0.0
D8-e003Coalescence-mGAM-p5,0.5403699673558215,0.3950903761602345
A12-e003Coalescence-mGAM-p3,0.5191512513601741,0.5172203224230582
C2-e003Coalescence-mBHI-p3,0.629379760609358,0.6709819247679532
D9-e003Coalescence-mGAM-p7,0.6763873775843308,0.7187347337567171
D4-e003Coalescence-mBHI-p7,0.9900979325353645,0.0
D8-e003Assembly-mGAM-p3,0.6695321001088139,0.6949193942354666
B10-e003Coalescence-mGAM-p3,0.6756256800870512,0.7228871519296531
A9-e003Coalescence-mGAM-p7,0.5346028291621328,0.5784074255007328
B5-e003Coalescence-Inoculumn-mGAM,0.6591947769314472,0.6977283829995115
D5-e003Coalescence-mBHI-p3,0.7847660500544069,0.0
C5-e003Coalescence-mBHI-p3,0.6369967355821545,0.0
D9-e003Coalescence-mGAM-p5,0.4305767138193689,0.45468978993649245
C9-e003Coalescence-mBHI-p3,0.6758433079434167,0.7186126038104543
C8-e003Coalescence-mBHI-p7,0.6981501632208923,0.7073766487542745
B4-e003Coalescence-mGAM-p5,0.0,0.9468734733756717
D4-e003Coalescence-mGAM-p5,0.7941240478781284,0.0
C3-e004Assembly-mBHI-p7,0.6561479869423286,0.6802638006839277
B5-e003Coalescence-mGAM-p5,0.4088139281828074,0.0042745481191988274
B5-e003Coalescence-Inoculumn-mBHI,0.0,0.0
C2-e003Coalescence-mGAM-p3,0.655930359085963,0.6776990718124084
B5-e003Coalescence-mGAM-p7,0.6572361262241567,0.00012212994626282364
D8-e003Coalescence-mBHI-p5,0.6974972796517954,0.7046897899364925
B10-e003Coalescence-mBHI-p5,0.6692056583242655,0.7123839765510503
B3-e004Assembly-mBHI-p5,0.6549510337323178,0.6798974108451392
B5-e003Coalescence-mBHI-p3,0.1352557127312296,0.0
C5-e003Coalescence-mBHI-inoculumn-redo,0.7016322089227421,0.0
A2-e003Coalescence-mBHI-p7,0.6894450489662677,0.6961406936980947
A10-e003Coalescence-mBHI-p5,0.6794341675734494,0.6935759648265755
B8-e003Assembly-mGAM-p3,0.6038084874863983,0.616389838788471
A4-e003Coalescence-mGAM-p5,0.022415669205658323,0.0
D5-e003Coalescence-mBHI-p5,0.6946681175190424,0.7007816316560821
D4-e003Coalescence-mGAM-p7,0.8798694232861807,0.0
A8-e003Coalescence-mBHI-p7,0.6991294885745375,0.7079872984855886
B9-e003GlycerolRevival-mGAM-p2,0.40642002176278563,0.43685881778212016
B2-e003Coalescence-Inoculumn-mGAM,0.6177366702937976,0.6604787493893503
C5-e003Coalescence-mBHI-p5,0.4866158868335147,0.0
C5-e003Coalescence-mGAM-p3,0.739499455930359,0.0
A3-e003Coalescence-mBHI-inoculumn-redo,0.0002176278563656148,0.7104298974108452
D9-e003Assembly-mGAM-p5,0.6744287268770403,0.7158036150464093
B12-e003Coalescence-mGAM-p3,0.6737758433079434,0.7183683439179287
A3-e003Coalescence-Inoculumn-mGAM,0.4997823721436344,0.5323644357596483
