,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C9-e003Coalescence-mGAM-p3,0.2991499455930359,0.25686358085002436
C9-e003Coalescence-mGAM-p7,0.09774787812840044,0.08439179286761114
B2-e003Coalescence-mBHI-p3,0.3773322089227421,0.24620615534929163
A8-e003Coalescence-mBHI-p3,0.2915126224156692,0.2841619443087445
A4-e003Coalescence-mBHI-p7,0.29422045701849836,0.28730007327796775
B4-e003Coalescence-mBHI-p5,0.5306806311207835,0.2531481436248168
A3-e003Coalescence-mBHI-p7,0.9627796517954298,0.012395823155837819
B9-e003Coalescence-mGAM-p5,0.30664417845484226,0.2614573766487543
A4-e003Coalescence-mBHI-inoculumn-redo,0.1305767138193689,0.1280278456277479
B3-e003Coalescence-mBHI-p3,0.9667644178454841,0.009783707865168544
D4-e003Coalescence-mBHI-p5,0.0017745375408052234,0.9929893746946751
C2-e003Coalescence-mBHI-p5,0.2931993471164309,0.2838519785051295
B3-e004Assembly-mBHI-p7,0.28890739934711646,0.27457437713727406
D4-e003Coalescence-mBHI-p3,0.0039783460282916214,0.95047679531021
C4-e003GlycerolRevival-mBHI-p2,0.29017562568008703,0.28280166096726916
C3-e004Assembly-mBHI-p5,0.2872561479869423,0.27327002931118716
B2-e003Coalescence-mBHI-p5,0.3587735582154516,0.2555953834880313
B8-e003Assembly-mGAM-p5,0.24595984766050055,0.22952479237909135
B12-e003Coalescence-mBHI-p3,0.3017981501632209,0.25822789447972644
C8-e003Assembly-mGAM-p3,0.2719729053318825,0.25374010747435266
C3-e003Coalescence-mGAM-p3,0.9902108813928183,4.421104054714218e-05
D3-e003Coalescence-Inoculumn-mBHI,0.5882590859630032,0.35200305324865655
C3-e003Coalescence-mBHI-p7,0.011271926006528836,0.6000091597459697
B8-e003Coalescence-mBHI-p5,0.2890429815016322,0.2873186370297997
C2-e003Coalescence-mGAM-p7,0.29327138193688795,0.2865019540791402
D3-e003Coalescence-mBHI-p5,0.04066169749727966,0.9309510258915487
B11-e003Coalescence-mGAM-p3,0.306970837867247,0.26160026868588176
B5-e003Assembly-mBHI-p5,0.025667247007616977,0.9255578895945287
D2-e003Coalescence-mBHI-p5,0.2582707290533188,0.35914472398632147
D5-e003Coalescence-mGAM-p5,0.025209902067464637,0.9328586956521738
B5-e003Coalescence-mBHI-p5,0.029523612622415676,0.9572962872496336
D5-e003Coalescence-mBHI-p7,0.005660174102285093,0.9897156814851
C9-e003Coalescence-mBHI-p5,0.3044542981501632,0.2603803126526624
A10-e003Coalescence-mBHI-p3,0.2669586507072905,0.2598925256472887
A5-e003Coalescence-mGAM-p3,0.11139347116430903,0.7006568148510015
D8-e003Coalescence-mGAM-p5,0.17840413492927096,0.24731460674157305
A12-e003Coalescence-mGAM-p3,0.19836779107725788,0.19822349780166099
C2-e003Coalescence-mBHI-p3,0.2930168661588683,0.28497227650219836
D9-e003Coalescence-mGAM-p7,0.30511479869423286,0.25893246213971666
D4-e003Coalescence-mBHI-p7,0.0002598476605005441,0.9862712506106497
D8-e003Assembly-mGAM-p3,0.27347845484221983,0.2521422813873962
B10-e003Coalescence-mGAM-p3,0.30532252448313385,0.26069821690278455
A9-e003Coalescence-mGAM-p7,0.29645810663764965,0.276285784074255
B5-e003Coalescence-Inoculumn-mGAM,0.29475854189336237,0.24759440644846115
D5-e003Coalescence-mBHI-p3,0.0315215451577802,0.9115962383976551
C5-e003Coalescence-mBHI-p3,0.055588574537540805,0.8504975574010747
