,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.04287353319344327,0.062013869732623045
C9-e003Coalescence-mGAM-p3,0.010613048531334547,0.879
C11-e003Coalescence-mBHI-p3,0.02633797229900373,0.167
D11-e003Coalescence-mBHI-p5,0.024686491790546453,0.049694881747520445
C9-e003Coalescence-mGAM-p7,0.008080311904582131,0.9792622917384719
C8-e003Coalescence-mGAM-p7,0.12,0.030522144318178766
D10-e003Coalescence-mBHI-p3,0.022138693825048992,0.277
A8-e003Coalescence-mBHI-p3,0.9995347346197448,0.00031526001597149224
e004-inoculumn-fecal-BD,0.2411146118351941,0.23771319753784703
B9-e003Coalescence-mGAM-p5,0.0022102847462381297,0.993956098787735
A4-e003Coalescence-mBHI-inoculumn-redo,0.8972287588514315,0.09674209981400952
B3-e003Coalescence-mBHI-p3,0.003995621198063791,0.284
B3-e004Assembly-mBHI-p7,0.0718948164576681,0.07162772895448705
B5-e004Assembly-mBHI-p7,0.05602965324501841,0.05638679322701593
D4-e003Coalescence-mBHI-p3,0.1740475587389243,0.2349468823030074
C4-e003GlycerolRevival-mBHI-p2,0.020965328930598413,0.5
C5-e004Assembly-mBHI-p3,0.04905715091743306,0.05756992094066129
C3-e004Assembly-mBHI-p5,0.07635957678292801,0.07932423397604639
B8-e003Assembly-mGAM-p5,0.8100235843223177,0.1743731959141213
B12-e003Coalescence-mBHI-p3,0.15711676332418836,0.7993378659456774
e004-inoculumn-fecal-AK,0.19871996754056134,0.1957112749853367
D3-e004Assembly-mGAM-p7,0.022855425188637212,0.023887018053249227
D4-e004Assembly-mGAM-p5,0.08960858030182615,0.09988327493046034
D3-e003Coalescence-Inoculumn-mBHI,0.011854783248741101,0.641
C3-e003Coalescence-mBHI-p7,0.04372804987091455,0.9536079360061791
D11-e003Coalescence-mGAM-p5,0.008783539567781367,0.019670029948834523
A11-e003Coalescence-mGAM-p7,0.06831445821363907,0.11516606573801402
B8-e003Coalescence-mBHI-p5,0.015867979087057445,0.835
B10-e003Assembly-mGAM-p5,0.14731780758047122,0.15214461285609326
C2-e003Coalescence-mGAM-p7,0.9999134465418844,3.017350333442542e-05
B11-e003Coalescence-mGAM-p3,0.005392360354860796,0.9319999999999999
B5-e003Assembly-mBHI-p5,0.1350112431928711,0.19310328815068598
D8-e003Assembly-mGAM-p5,0.9431081941341323,0.05146725380739832
D5-e003Coalescence-mGAM-p5,0.14450340025117867,0.1788584976560296
B5-e003Coalescence-mBHI-p5,0.2147066545203512,0.7465760188950243
D5-e003Coalescence-mBHI-p7,0.18151595274375842,0.2503866912789004
C9-e003Coalescence-mBHI-p5,0.015729626463613103,0.769
A5-e003Coalescence-mGAM-p3,0.031881823251438714,0.06183331537156584
A2-e003Coalescence-Inoculumn-mGAM,0.9999118437843934,-0.0
E5-e004Assembly-mGAM-p5,0.02666374134245856,0.027928386250990356
D8-e003Coalescence-mGAM-p5,0.019770911720728052,0.04000825076091252
A12-e003Coalescence-mGAM-p3,0.07237545423743127,0.1112813528573169
C4-e004Assembly-mBHI-p5,0.2235108444172864,0.23841201058118636
D9-e003Coalescence-mGAM-p7,0.025268734681475242,0.778
D8-e003Assembly-mGAM-p3,0.8314126997069582,0.1550343666560216
E4-e004Assembly-mGAM-p7,0.10450065743600553,0.11240723023936554
E3-e004Assembly-mGAM-p3,0.02159374780895698,0.022851145888650722
B10-e003Coalescence-mGAM-p3,0.015955351196925503,0.9577203013574387
A9-e003Coalescence-mGAM-p7,0.02563061559291991,0.9462008019693319
B5-e003Coalescence-Inoculumn-mGAM,0.014280414269318689,0.727
D10-e003Coalescence-mBHI-p5,0.033142811142202716,0.30800000000000005
D5-e003Coalescence-mBHI-p3,0.023614715305629214,0.04918034419745916
D9-e003Coalescence-mGAM-p5,0.018437242990397066,0.783
C9-e003Coalescence-mBHI-p3,0.013384432700191566,0.724
D10-e003Coalescence-mGAM-p5,0.007286984205342921,0.01552906198011942
C8-e003Coalescence-mBHI-p7,0.389,0.025420136206138463
C3-e004Assembly-mBHI-p7,0.12707269302789814,0.12893803563551276
B5-e003Coalescence-mGAM-p5,0.11733101447448288,0.444
BB-Fecal,0.013695202511186494,0.02593336740045988
B5-e003Coalescence-Inoculumn-mBHI,0.025426440013575923,0.6395
C2-e003Coalescence-mGAM-p3,0.9275234378110595,0.0678053520677138
D8-e003Coalescence-mBHI-p5,0.01695877446829572,0.035463223222681035
E5-e004Assembly-mGAM-p7,0.052731018260156616,0.05518757490727176
B10-e003Coalescence-mBHI-p5,0.014997543567481486,0.778
