,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.19110488026674752,0.42971665262566694
C9-e003Coalescence-mGAM-p3,0.23940375871476205,0.2789980342600393
C11-e003Coalescence-mBHI-p3,0.19459048196423157,0.47135411401291777
D11-e003Coalescence-mBHI-p5,0.002630797211276145,0.9344198258916036
C9-e003Coalescence-mGAM-p7,0.24023976962715973,0.282472900870542
C8-e003Coalescence-mGAM-p7,0.3141730827523492,0.2642634091547318
D10-e003Coalescence-mBHI-p3,0.16678205516823277,0.565396798652064
A8-e003Coalescence-mBHI-p3,0.9901712640193998,9.435551811288963e-05
e004-inoculumn-fecal-BD,0.10087238557138527,0.0735787700084246
B9-e003Coalescence-mGAM-p5,0.23751167020309183,0.28559084526818307
A4-e003Coalescence-mBHI-inoculumn-redo,0.4797293119127008,0.0
B3-e003Coalescence-mBHI-p3,0.25578266141254924,0.2726458859870823
B3-e004Assembly-mBHI-p7,0.23461655046983934,0.2504914349901713
B5-e004Assembly-mBHI-p7,0.22631100333434376,0.24206683515866328
D4-e003Coalescence-mBHI-p3,0.0006477720521370112,0.419359449592811
C4-e003GlycerolRevival-mBHI-p2,0.25112822067293117,0.2838775624824488
C5-e004Assembly-mBHI-p3,0.22165989693846622,0.2876397079472059
C3-e004Assembly-mBHI-p5,0.22057199151257958,0.23785453524290928
B8-e003Assembly-mGAM-p5,0.3210063655653228,0.0
B12-e003Coalescence-mBHI-p3,0.06459381630797212,0.16327688851446223
e004-inoculumn-fecal-AK,0.12488632919066384,0.11373209772535804
D3-e004Assembly-mGAM-p7,0.2722315853288875,0.29229851165402976
D4-e004Assembly-mGAM-p5,0.22097605334949985,0.19573153608536928
D3-e003Coalescence-Inoculumn-mBHI,0.142299484692331,0.5611833754563325
C3-e003Coalescence-mBHI-p7,0.16883904213398,0.19427464195450717
D11-e003Coalescence-mGAM-p5,8.032737193088815e-05,0.9940280819994384
A11-e003Coalescence-mGAM-p7,0.0015256138223704151,0.7145793316484135
B8-e003Coalescence-mBHI-p5,0.2536162473476811,0.2775664139286717
B10-e003Assembly-mGAM-p5,0.13761745983631404,0.14967705700645886
C2-e003Coalescence-mGAM-p7,0.9968572294634738,0.00014602639707947206
B11-e003Coalescence-mGAM-p3,0.2277384055774477,0.3193791069924179
B5-e003Assembly-mBHI-p5,0.02444316459533192,0.3772117382757652
D8-e003Assembly-mGAM-p5,0.671415580478933,0.00025554619488907606
D5-e003Coalescence-mGAM-p5,0.0014671112458320703,0.45309800617803986
B5-e003Coalescence-mBHI-p5,0.06400333434374053,0.07073996068520079
D5-e003Coalescence-mBHI-p7,0.0004710518338890573,0.4064495928110081
