,0.025,0.025
C12-e003Coalescence-mBHI-p3,0.0,0.0
C9-e003Coalescence-mGAM-p3,0.565,0.0
C11-e003Coalescence-mBHI-p3,0.0,0.0
D11-e003Coalescence-mBHI-p5,0.0,0.8
C9-e003Coalescence-mGAM-p7,0.646,0.0
C8-e003Coalescence-mGAM-p7,0.0,0.0
D10-e003Coalescence-mBHI-p3,0.0,0.0
A8-e003Coalescence-mBHI-p3,0.0,0.0
e004-inoculumn-fecal-BD,0.0,0.0
B9-e003Coalescence-mGAM-p5,0.818,0.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
B3-e003Coalescence-mBHI-p3,0.11592500000000001,0.0
B3-e004Assembly-mBHI-p7,0.0,0.0
B5-e004Assembly-mBHI-p7,0.0,0.0
D4-e003Coalescence-mBHI-p3,0.0,1.0
C4-e003GlycerolRevival-mBHI-p2,0.0,0.0
C5-e004Assembly-mBHI-p3,0.0,0.0
C3-e004Assembly-mBHI-p5,0.0,0.0
B8-e003Assembly-mGAM-p5,0.0,0.0
B12-e003Coalescence-mBHI-p3,0.0,0.0
e004-inoculumn-fecal-AK,0.0,0.0
D3-e004Assembly-mGAM-p7,0.0,0.0
D4-e004Assembly-mGAM-p5,0.0,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.19580000000000009,0.133
C3-e003Coalescence-mBHI-p7,1.0,0.0
D11-e003Coalescence-mGAM-p5,0.0,1.0
A11-e003Coalescence-mGAM-p7,0.0,1.0
B8-e003Coalescence-mBHI-p5,0.528,0.0
B10-e003Assembly-mGAM-p5,0.0,0.0
C2-e003Coalescence-mGAM-p7,0.0,0.0
B11-e003Coalescence-mGAM-p3,0.7835000000000001,0.0
B5-e003Assembly-mBHI-p5,0.0,0.0
D8-e003Assembly-mGAM-p5,0.0,0.0
D5-e003Coalescence-mGAM-p5,0.0,0.6
B5-e003Coalescence-mBHI-p5,0.0,0.0
D5-e003Coalescence-mBHI-p7,0.0,1.0
C9-e003Coalescence-mBHI-p5,0.4,0.0
A5-e003Coalescence-mGAM-p3,0.0,0.824
A2-e003Coalescence-Inoculumn-mGAM,0.0,0.0
E5-e004Assembly-mGAM-p5,0.0,0.0
D8-e003Coalescence-mGAM-p5,0.0,1.0
A12-e003Coalescence-mGAM-p3,0.0,1.0
C4-e004Assembly-mBHI-p5,0.0,0.0
D9-e003Coalescence-mGAM-p7,0.0,0.0
D8-e003Assembly-mGAM-p3,0.0,0.0
E4-e004Assembly-mGAM-p7,0.0,0.0
E3-e004Assembly-mGAM-p3,0.0,0.0
B10-e003Coalescence-mGAM-p3,0.474,0.0
A9-e003Coalescence-mGAM-p7,0.33850000000000013,0.0
B5-e003Coalescence-Inoculumn-mGAM,0.257,0.0
D10-e003Coalescence-mBHI-p5,0.0,0.0
D5-e003Coalescence-mBHI-p3,0.0,0.75
D9-e003Coalescence-mGAM-p5,0.39755000000000007,0.0
C9-e003Coalescence-mBHI-p3,0.419,0.0
D10-e003Coalescence-mGAM-p5,0.0,0.9046500000000001
C8-e003Coalescence-mBHI-p7,0.0,0.0
C3-e004Assembly-mBHI-p7,0.0,0.0
B5-e003Coalescence-mGAM-p5,0.0,0.0
BB-Fecal,0.0,0.0
B5-e003Coalescence-Inoculumn-mBHI,0.0,0.0
C2-e003Coalescence-mGAM-p3,0.0,0.0
D8-e003Coalescence-mBHI-p5,0.0,1.0
E5-e004Assembly-mGAM-p7,0.0,0.0
B10-e003Coalescence-mBHI-p5,0.45475000000000004,0.0
D5-e003Coalescence-Inoculumn-mGAM,0.0,1.0
B3-e004Assembly-mBHI-p5,0.0,0.0
B5-e003Coalescence-mBHI-p3,0.0,0.0
C5-e003Coalescence-mBHI-inoculumn-redo,0.0,0.273
A10-e003Coalescence-mBHI-p5,0.0,0.0
BF-Fecal,0.0,0.0
AM-Fecal,0.0,0.0
B8-e003Assembly-mGAM-p3,0.0,0.0
A4-e003Coalescence-mGAM-p5,0.0,0.562
D5-e003Coalescence-mBHI-p5,0.0,0.0
D3-e003Assembly-mBHI-p3,0.0,0.0
e003-inoculumn-fecal-inoculumn,0.0,0.0
A8-e003Coalescence-mBHI-p7,0.0,0.0
e003-inoculumn-fecal-AC,0.429,0.0
B9-e003GlycerolRevival-mGAM-p2,0.5,0.0
B2-e003Coalescence-Inoculumn-mGAM,0.4,0.0
C5-e003Coalescence-mBHI-p5,0.0,0.0
C5-e003Coalescence-mGAM-p3,0.0,0.647
A3-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
B12-e003Coalescence-mGAM-p3,0.636,0.0
A11-e003Coalescence-mBHI-p7,0.0,1.0
A3-e003Coalescence-Inoculumn-mGAM,0.0,0.0
C10-e003GlycerolRevival-mGAM-p2,0.0,0.0
D3-e003Assembly-mBHI-p5,0.0,0.0
A10-e003Coalescence-mGAM-p3,0.0,0.0
A9-e003Coalescence-mBHI-p3,0.6307,0.0
A2-e003Coalescence-Inoculumn-mBHI,0.0,0.0
C3-e003Coalescence-mBHI-p5,1.0,0.0
D2-e003Assembly-mBHI-p3,0.0,0.0
B3-e003Assembly-mBHI-p5,0.333,0.0
A9-e003Coalescence-mBHI-p5,0.5449999999999999,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.0,0.429
B2-e003Coalescence-mGAM-p3,0.385,0.0
B4-e003Assembly-mBHI-p3,0.0,0.0
C11-e003Coalescence-mGAM-p5,0.0,0.8084
G4-e004Assembly-epsilon-p3,0.0,0.0
B3-e003Coalescence-Inoculumn-mBHI,0.5722,0.0
A8-e003Coalescence-mBHI-p5,0.0,0.0
