,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.6850996082820369,0.193217354957365
C9-e003Coalescence-mGAM-p3,0.282707703786607,0.23353987627487044
C11-e003Coalescence-mBHI-p3,0.7134761238574894,0.24662915900351112
D11-e003Coalescence-mBHI-p5,0.011433967543368777,0.9255890319344592
C9-e003Coalescence-mGAM-p7,0.2164466517440776,0.2588580504932286
C8-e003Coalescence-mGAM-p7,0.8801281477336318,0.017712088279551917
D10-e003Coalescence-mBHI-p3,0.6052368028352919,0.37522253803711747
A8-e003Coalescence-mBHI-p3,0.16032456631225517,0.24513225213175055
e004-inoculumn-fecal-BD,0.055981253497481814,0.07093061360976426
B9-e003Coalescence-mGAM-p5,0.12596502518186903,0.3009969904698211
A4-e003Coalescence-mBHI-inoculumn-redo,0.07558701734750979,0.12171877612439391
B3-e003Coalescence-mBHI-p3,0.16692389479574707,0.2509560274201638
B3-e004Assembly-mBHI-p7,0.23857489274389107,0.15766594215014212
B5-e004Assembly-mBHI-p7,0.5679655847789591,0.06858903193445912
D4-e003Coalescence-mBHI-p3,0.0006760865510166014,0.4277268015382043
C4-e003GlycerolRevival-mBHI-p2,0.6404247341913822,0.10938020397926768
C5-e004Assembly-mBHI-p3,0.18242212273829508,0.24052867413476006
C3-e004Assembly-mBHI-p5,0.22505129639992538,0.1501421167028925
B8-e003Assembly-mGAM-p5,0.05269539265062488,0.0861060023407457
B12-e003Coalescence-mBHI-p3,0.034057918298824846,0.16244022738672462
e004-inoculumn-fecal-AK,0.10130264875955977,0.07388195953853871
D3-e004Assembly-mGAM-p7,0.2840542809177392,0.18125463969235914
D4-e004Assembly-mGAM-p5,0.13359690356276813,0.1821981274034442
D3-e003Coalescence-Inoculumn-mBHI,0.08578213019958962,0.5578157498746029
C3-e003Coalescence-mBHI-p7,0.08909074799477709,0.20829493395753218
D11-e003Coalescence-mGAM-p5,0.00016274948703600076,0.9922951011536532
A11-e003Coalescence-mGAM-p7,0.00025974631598582354,0.7242467814746697
B8-e003Coalescence-mBHI-p5,0.13466209662376424,0.2908137435211503
B10-e003Assembly-mGAM-p5,0.480880432755083,0.0
C2-e003Coalescence-mGAM-p7,0.16199925387054656,0.24766460458117373
B11-e003Coalescence-mGAM-p3,0.12264325685506436,0.3311041631834142
B5-e003Assembly-mBHI-p5,0.017246782316731955,0.3651345928774452
D8-e003Assembly-mGAM-p5,0.1085618354784555,0.16134425681324194
D5-e003Coalescence-mGAM-p5,0.0012300876702107816,0.4504291924427353
B5-e003Coalescence-mBHI-p5,0.03332298078716657,0.07149657247951847
D5-e003Coalescence-mBHI-p7,0.00031589255735870174,0.399518642367497
C9-e003Coalescence-mBHI-p5,0.3541715165081141,0.20445142952683498
A5-e003Coalescence-mGAM-p3,0.0018206491326245105,0.8920404614612941
A2-e003Coalescence-Inoculumn-mGAM,0.08291363551576199,0.12422671794014378
E5-e004Assembly-mGAM-p5,0.6598327737362433,0.08109011870924594
D8-e003Coalescence-mGAM-p5,0.000246968849095318,0.973812405952182
A12-e003Coalescence-mGAM-p3,0.00014614810669651184,0.7163797023909044
C4-e004Assembly-mBHI-p5,0.06435366536094013,0.09162347433539542
D9-e003Coalescence-mGAM-p7,0.08390197724305166,0.42645945494064547
D8-e003Assembly-mGAM-p3,0.056332773736243236,0.08710917906704564
E4-e004Assembly-mGAM-p7,0.12594040290990488,0.1753835479016887
E3-e004Assembly-mGAM-p3,0.286494124230554,0.1821692024745026
B10-e003Coalescence-mGAM-p3,0.27170322700988614,0.23278331382711923
A9-e003Coalescence-mGAM-p7,0.10484144749113973,0.3056356796522321
B5-e003Coalescence-Inoculumn-mGAM,0.0757289684760306,0.5479724126400267
D10-e003Coalescence-mBHI-p5,0.5006986569669838,0.4204980772446079
D5-e003Coalescence-mBHI-p3,0.003092986383137474,0.9303763584684835
D9-e003Coalescence-mGAM-p5,0.12510753590747994,0.33806754723290416
C9-e003Coalescence-mBHI-p3,0.38929770565193056,0.20115800033439224
D10-e003Coalescence-mGAM-p5,0.009708543182242119,0.9855724795184752
C8-e003Coalescence-mBHI-p7,0.7227087297146054,0.0678204313659923
C3-e004Assembly-mBHI-p7,0.17222766274948703,0.11051663601404448
B5-e003Coalescence-mGAM-p5,0.04736439097183361,0.290689015214847
BB-Fecal,0.16427289684760304,0.3535659588697542
B5-e003Coalescence-Inoculumn-mBHI,0.07186252564819996,0.5492571476341749
C2-e003Coalescence-mGAM-p3,0.09777401604178326,0.1489244273532854
D8-e003Coalescence-mBHI-p5,0.000270192128334266,0.9716729643872262
E5-e004Assembly-mGAM-p7,0.591307591867189,0.06938639023574653
B10-e003Coalescence-mBHI-p5,0.3213779145681776,0.2194037786323357
D5-e003Coalescence-Inoculumn-mGAM,0.00015892557358701737,0.9998209329543555
B3-e004Assembly-mBHI-p5,0.2609587763476963,0.1640193947500418
B5-e003Coalescence-mBHI-p3,0.0689514083193434,0.10633338906537369
C5-e003Coalescence-mBHI-inoculumn-redo,0.04281477336317851,0.7717803042969403
A10-e003Coalescence-mBHI-p5,0.5858642044394703,0.09033188430028423
BF-Fecal,0.13436942734564444,0.2718374853703394
AM-Fecal,0.1642145122178698,0.10555258318007021
B8-e003Assembly-mGAM-p3,0.046539824659578434,0.07055676308309647
A4-e003Coalescence-mGAM-p5,0.010579276254430144,0.8814064537702725
D5-e003Coalescence-mBHI-p5,0.16182251445625814,0.24692242099983278
D3-e003Assembly-mBHI-p3,0.07355969035627681,0.1215723123223541
e003-inoculumn-fecal-inoculumn,0.10162600261145309,0.15666376860056846
A8-e003Coalescence-mBHI-p7,0.16238593545980226,0.2473429192442735
e003-inoculumn-fecal-AC,0.08828250326431636,0.20822086607590706
B9-e003GlycerolRevival-mGAM-p2,0.07633874277187093,0.18418926600902857
B2-e003Coalescence-Inoculumn-mGAM,0.12650895355344152,0.2825591038287911
C5-e003Coalescence-mBHI-p5,0.012853572094758441,0.5707819762581507
C5-e003Coalescence-mGAM-p3,0.007129733258720387,0.9266744691523155
A3-e003Coalescence-mBHI-inoculumn-redo,0.042503823913448986,0.07122571476341749
B12-e003Coalescence-mGAM-p3,0.11904364857302742,0.3019834475840161
A11-e003Coalescence-mBHI-p7,0.00018569296772990115,0.7585500752382545
A3-e003Coalescence-Inoculumn-mGAM,0.09028063794068271,0.2040036783146631
C10-e003GlycerolRevival-mGAM-p2,0.27635469128893864,0.1637609095468985
D3-e003Assembly-mBHI-p5,0.16702648759559782,0.2592235412138439
A10-e003Coalescence-mGAM-p3,0.8539646521171423,0.02175606085938806
A9-e003Coalescence-mBHI-p3,0.13339050550270473,0.30407038956696203
A2-e003Coalescence-Inoculumn-mBHI,0.16183100167879128,0.24416669453268683
C3-e003Coalescence-mBHI-p5,0.10670583846297332,0.24701588363149976
D2-e003Assembly-mBHI-p3,0.12824099981346765,0.19890068550409631
B3-e003Assembly-mBHI-p5,0.08137903376235778,0.16719678983447583
A9-e003Coalescence-mBHI-p5,0.1286094012311136,0.29147283063032936
D5-e003Coalescence-Inoculumn-mBHI,0.03492911770192128,0.8257734492559773
B2-e003Coalescence-mGAM-p3,0.1263682148852826,0.27032519645544223
B4-e003Assembly-mBHI-p3,0.3358565566125723,0.00025079418157498745
C11-e003Coalescence-mGAM-p5,0.015284928185040104,0.9577640862731985
G4-e004Assembly-epsilon-p3,0.08328670024249207,0.11959538538705901
B3-e003Coalescence-Inoculumn-mBHI,0.12499710874836785,0.2808399933121552
A8-e003Coalescence-mBHI-p5,0.1591926879313561,0.2439551914395586
C2-e003Assembly-mBHI-p5,0.05857116209662377,0.09045310148804547
BG-Fecal,0.14960520425293788,0.2387772947667614
D2-e003Coalescence-mGAM-p5,0.00044273456444693154,0.5876037451931114
D3-e003Coalescence-mGAM-p3,0.04889190449542996,0.5516360140444742
D9-e003Coalescence-mGAM-p3,0.12098918112292484,0.31216886808226046
D3-e003Coalescence-mGAM-p5,0.06729164335012125,0.45335512456111016
C10-e003Coalescence-mGAM-p3,0.9196467077037868,0.0007752884133088112
A5-e003Coalescence-mBHI-inoculumn-redo,0.1028009699682895,0.48423858886473836
D2-e003Assembly-mBHI-p5,0.10865510166013803,0.16652733656579166
B9-e003Coalescence-mGAM-p7,0.09847584405894422,0.23444306972078252
B11-e003Coalescence-mGAM-p7,0.08462264502891252,0.20500702223708409
C3-e003Coalescence-Inoculumn-mGAM,0.5431520238761425,0.15280688848018725
B5-e003Coalescence-mBHI-p7,0.05926925946651744,0.12956997157665942
A3-e003Coalescence-mGAM-p7,0.12316592053721322,0.2889438221033272
D4-e003Coalescence-Inoculumn-mBHI,0.056937791456817766,0.7189279384718273
B3-e003Coalescence-mBHI-p7,0.052852079835851516,0.12815565958869754
D10-e003Coalescence-mGAM-p7,0.019114810669651185,0.9679036950342751
C12-e003Coalescence-mGAM-p3,0.012915687371759,0.9308264504263503
C11-e003Coalescence-mGAM-p3,0.0374060809550457,0.9592519645544223
A10-e003Coalescence-mBHI-p7,0.5340012124603619,0.11065156328373182
C10-e003Coalescence-mBHI-p7,0.9735733072188025,2.9426517304798528e-05
B9-e003Coalescence-mBHI-p5,0.13131412049990673,0.30247466978766097
B10-e003Coalescence-mBHI-p3,0.36122738295094203,0.14815114529342918
C11-e003Coalescence-mBHI-p5,0.6995332960268608,0.28613492726968737
A2-e003Coalescence-mGAM-p7,0.14631710501772058,0.2222601571643538
E3-e004Assembly-mGAM-p5,0.286531430703227,0.18072596555759907
C3-e003GlycerolRevival-mBHI-p2,0.13543518000373064,0.2536223039625481
D10-e003Coalescence-mGAM-p3,0.06070406640552135,0.49172897508777796
B10-e003Coalescence-mGAM-p7,0.05658337996642417,0.06709078749373014
C4-e004Assembly-mBHI-p3,0.15412236523036746,0.21439525163016218
A9-e003Coalescence-mBHI-p7,0.13433006901697445,0.29759237585688014
C2-e003Coalescence-Inoculumn-mGAM,0.919003544114904,0.016967062364153154
B3-e003Coalescence-Inoculumn-mGAM,0.12532643163588883,0.31379652232068217
D11-e003Coalescence-mGAM-p7,0.00016666666666666666,0.6934796856712925
D5-e003Coalescence-mGAM-p3,0.006246409252005222,0.9585736498913224
E4-e004Assembly-mGAM-p5,0.1416013803394889,0.186946497241264
E5-e004Assembly-mGAM-p3,0.39577243051669464,0.07997508777796355
D2-e003Coalescence-Inoculumn-mBHI,0.0839614810669651,0.4438791172044808
B4-e003Coalescence-Inoculumn-mGAM,0.5108662562954672,0.1690143788664103
A10-e003Coalescence-mGAM-p7,0.9540808617795188,0.0003435880287577328
B2-e003Assembly-mBHI-p3,0.14661443760492446,0.22571476341748872
D9-e003Coalescence-mBHI-p5,0.11905260212646894,0.31585136264838654
C4-e003Coalescence-Inoculumn-mGAM,0.9997790524155941,0.0001578331382711921
D4-e003Coalescence-mGAM-p3,0.01906183547845551,0.873317338237753
B9-e003Coalescence-mBHI-p7,0.12188817384816265,0.2896704564454105
A2-e003Coalescence-mGAM-p5,0.1518340794627868,0.22768516970406283
B11-e003GlycerolRevival-mGAM-p2,7.871665734004849e-05,0.5479852867413476
C5-e004Assembly-mBHI-p7,0.24293042342846483,0.025413810399598728
D9-e003Coalescence-mBHI-p7,0.1084578436858795,0.2602678481859221
D3-e004Assembly-mGAM-p5,0.2849198843499347,0.18218575489048655
C5-e003Coalescence-mBHI-p7,0.03947136728222347,0.5034977428523658
D4-e004Assembly-mGAM-p7,0.1783559970154822,0.24970021735495734
