,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,0.39503149055283415,0.3323013415892673
C9-e003Coalescence-mGAM-p3,0.2847270818754374,0.15170278637770898
B5-e004Assembly-mBHI-p3,0.586074177746676,0.5001984599507819
C11-e003Coalescence-mBHI-p3,0.3594296710986704,0.2314836865920457
D11-e003Coalescence-mBHI-p5,0.3554933519944017,0.6268159085496546
C9-e003Coalescence-mGAM-p7,0.4503149055283415,0.23362705406049059
C8-e003Coalescence-mGAM-p7,0.0001749475157452764,0.610621576565849
D10-e003Coalescence-mBHI-p3,0.3268019594121763,0.10351671032785584
F3-e004Assembly-epsilon-p3,0.6850069979006298,0.35754544732872906
B2-e003Coalescence-mBHI-p3,0.05475857242827152,0.29832499801540047
A8-e003Coalescence-mBHI-p3,0.0001749475157452764,0.9992061601968723
A4-e003Coalescence-mBHI-p7,0.9696466060181945,0.0
B9-e003Coalescence-mGAM-p5,0.4204863540937719,0.2998332936413432
A4-e003Coalescence-mBHI-inoculumn-redo,0.07522743177046885,0.5066285623561165
B3-e003Coalescence-mBHI-p3,0.9843421973407978,0.0
D4-e003Coalescence-mBHI-p5,0.2921623512946116,0.4713820750972454
C2-e003Coalescence-mBHI-p5,0.6371588523442967,0.0
B3-e004Assembly-mBHI-p7,0.7148355493351994,0.371913947765341
B5-e004Assembly-mBHI-p7,0.6049685094471658,0.35960943081686114
D4-e003Coalescence-mBHI-p3,0.30440867739678096,0.4637612129872192
C4-e003GlycerolRevival-mBHI-p2,0.9881035689293212,0.0
C5-e004Assembly-mBHI-p3,0.6178271518544437,0.5241724220052394
D10-e003Assembly-mGAM-p5,0.612928621413576,0.22648249583234104
C3-e004Assembly-mBHI-p5,0.7137858642407278,0.37183456378502816
B8-e003Assembly-mGAM-p5,0.0001749475157452764,0.9977772485512424
F4-e004Assembly-epsilon-p5,0.3706263121063681,0.6553941414622529
C4-e003Coalescence-mGAM-p7,0.6459062281315605,0.0
B12-e003Coalescence-mBHI-p3,0.4699965010496851,0.6734936889735651
D3-e004Assembly-mGAM-p7,0.7014520643806857,0.37016750019845995
C8-e003Assembly-mGAM-p3,0.0001749475157452764,0.989521314598714
C3-e003Coalescence-mGAM-p3,0.6294611616515046,0.0
B4-e003Assembly-mBHI-p5,0.6333100069979006,0.36707152496626183
D4-e004Assembly-mGAM-p5,0.4727956613016095,0.8445661665475906
D3-e003Coalescence-Inoculumn-mBHI,0.2710811756473058,0.0007938398031277288
C8-e003Assembly-mGAM-p5,0.0001749475157452764,0.907041359053743
C3-e003Coalescence-mBHI-p7,0.6381210636808957,0.08994204969437168
D11-e003Coalescence-mGAM-p5,0.39984254723582924,0.6936572199730094
A11-e003Coalescence-mGAM-p7,0.34447165850244926,0.653250773993808
B8-e003Coalescence-mBHI-p5,0.3766620013995801,0.5377470826387235
B10-e003Assembly-mGAM-p5,0.5739153254023793,0.00023815194093831864
C2-e003Coalescence-mGAM-p7,0.6313855843247026,0.6086369770580297
D3-e003Coalescence-mBHI-p5,0.4397305808257523,0.0005556878621894102
B11-e003Coalescence-mGAM-p3,0.3995801259622113,0.670397713741367
C4-e003Coalescence-mBHI-inoculumn-redo,0.6374212736179147,0.5817258077319997
B5-e003Assembly-mBHI-p5,0.34919524142757175,0.659919028340081
D2-e003Coalescence-mBHI-p5,0.3624037788663401,0.6047471620227038
D8-e003Assembly-mGAM-p5,0.0001749475157452764,0.9903945383821545
D5-e003Coalescence-mGAM-p5,0.3479706088173548,0.6568230531078828
B5-e003Coalescence-mBHI-p5,0.5,0.00031753592125109155
D5-e003Coalescence-mBHI-p7,0.3510321903428971,0.6611097880447726
C9-e003Coalescence-mBHI-p5,0.3446466060181945,0.17758196395967293
A10-e003Coalescence-mBHI-p3,0.0032365290412876137,0.7945542589505438
A5-e003Coalescence-mGAM-p3,0.03603918824352694,0.6576168929110106
A2-e003Coalescence-Inoculumn-mGAM,0.0001749475157452764,0.9951575772009209
E5-e004Assembly-mGAM-p5,0.6400454863540938,0.4500277843931095
D8-e003Coalescence-mGAM-p5,0.35995451364590625,0.6695244899579265
A12-e003Coalescence-mGAM-p3,0.07846396081175647,0.6859569738826705
C2-e003Coalescence-mBHI-p3,0.6104793561931421,0.14130348495673573
C4-e004Assembly-mBHI-p5,0.47288313505948215,0.8434547908232118
D9-e003Coalescence-mGAM-p7,0.3854093771868439,0.24982138604429627
D4-e003Coalescence-mBHI-p7,0.3631035689293212,0.5234579661824244
D8-e003Assembly-mGAM-p3,0.0001749475157452764,0.9749940462014766
E4-e004Assembly-mGAM-p7,0.47244576627011897,0.8441692466460269
E3-e004Assembly-mGAM-p3,0.7133484954513646,0.37223148368659204
B10-e003Coalescence-mGAM-p3,0.29163750874737576,0.1601174882908629
A9-e003Coalescence-mGAM-p7,0.3331875437368789,0.7950305628324205
D5-e004Assembly-mGAM-p5,0.45888733379986,0.4914662221163769
B5-e003Coalescence-Inoculumn-mGAM,0.4339573128061582,0.5340160355640232
D10-e003Coalescence-mBHI-p5,0.35496850944716585,0.04159720568389299
D5-e003Coalescence-mBHI-p3,0.3435969209237229,0.6368976740493768
C5-e003Coalescence-mBHI-p3,0.5066480055983205,0.4998809240295308
D9-e003Coalescence-mGAM-p5,0.3410601819454164,0.2690323092799873
C9-e003Coalescence-mBHI-p3,0.355405878236529,0.01706755576724617
D10-e003Coalescence-mGAM-p5,0.36074177746675995,0.4225609272048901
C8-e003Coalescence-mBHI-p7,0.0001749475157452764,0.6005398110661269
B11-e003Assembly-mGAM-p5,0.3894331700489853,0.6856394379614194
G3-e004Assembly-epsilon-p7,0.7116864940517844,0.3703262681590855
