,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,0.096,0.067
C9-e003Coalescence-mGAM-p3,0.236,0.554
B5-e004Assembly-mBHI-p3,0.021486526839330167,0.722
C11-e003Coalescence-mBHI-p3,0.098,0.065
D11-e003Coalescence-mBHI-p5,0.005404773918161059,0.004750124667489516
C9-e003Coalescence-mGAM-p7,0.111,0.855
C8-e003Coalescence-mGAM-p7,0.00043517930872705765,0.781
D10-e003Coalescence-mBHI-p3,0.102,0.103
F3-e004Assembly-epsilon-p3,0.9288457190735337,0.03697595181111665
B2-e003Coalescence-mBHI-p3,0.333,0.14664220891887747
A8-e003Coalescence-mBHI-p3,0.003553334783470384,0.003677523552455912
A4-e003Coalescence-mBHI-p7,0.9941271012721786,0.010921536851719945
B9-e003Coalescence-mGAM-p5,0.11299999999999999,0.0007756935163846162
A4-e003Coalescence-mBHI-inoculumn-redo,0.0045251523140857125,0.939
B3-e003Coalescence-mBHI-p3,0.9994537188918781,0.0013096157446521775
D4-e003Coalescence-mBHI-p5,0.010811449436287,0.565
C2-e003Coalescence-mBHI-p5,0.9216443802752486,0.08281115620994413
B3-e004Assembly-mBHI-p7,0.9932018390256896,0.0035127489979369405
B5-e004Assembly-mBHI-p7,0.068,0.788
D4-e003Coalescence-mBHI-p3,0.012244150263893108,0.711
C4-e003GlycerolRevival-mBHI-p2,0.999327500054502,0.0014466956998294492
C5-e004Assembly-mBHI-p3,0.01803804991007271,0.812
D10-e003Assembly-mGAM-p5,0.927,0.042
C3-e004Assembly-mBHI-p5,0.9892809252388434,0.00549895590740676
B8-e003Assembly-mGAM-p5,0.006442726521745687,0.006629961390192454
F4-e004Assembly-epsilon-p5,0.06743149074923613,0.07565355188939046
C4-e003Coalescence-mGAM-p7,0.652,0.318
B12-e003Coalescence-mBHI-p3,0.035032163470516686,0.024302187249652767
D3-e004Assembly-mGAM-p7,0.9967226813937653,0.0016412932489411468
C8-e003Assembly-mGAM-p3,0.013026704145920744,0.01333393127488788
C3-e003Coalescence-mGAM-p3,0.298,0.683
B4-e003Assembly-mBHI-p5,0.006283376206864332,0.9927883323822411
