,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,16258,5033
C9-e003Coalescence-mGAM-p3,16424,5041
B5-e004Assembly-mBHI-p3,15908,4783
C11-e003Coalescence-mBHI-p3,16332,5035
D11-e003Coalescence-mBHI-p5,16324,5039
C9-e003Coalescence-mGAM-p7,16401,5013
C8-e003Coalescence-mGAM-p7,16399,5032
D10-e003Coalescence-mBHI-p3,16384,5041
F3-e004Assembly-epsilon-p3,14374,4187
B2-e003Coalescence-mBHI-p3,6651,2048
A8-e003Coalescence-mBHI-p3,16220,4964
A4-e003Coalescence-mBHI-p7,15382,4287
B9-e003Coalescence-mGAM-p5,16383,5041
A4-e003Coalescence-mBHI-inoculumn-redo,16381,5019
B3-e003Coalescence-mBHI-p3,15957,4519
D4-e003Coalescence-mBHI-p5,16395,5035
C2-e003Coalescence-mBHI-p5,9942,2687
B3-e004Assembly-mBHI-p7,15198,4470
B5-e004Assembly-mBHI-p7,16040,4828
D4-e003Coalescence-mBHI-p3,16374,5025
C4-e003GlycerolRevival-mBHI-p2,15922,4468
C5-e004Assembly-mBHI-p3,15692,4712
D10-e003Assembly-mGAM-p5,15318,4447
C3-e004Assembly-mBHI-p5,15155,4444
B8-e003Assembly-mGAM-p5,16122,4947
F4-e004Assembly-epsilon-p5,12164,3823
C4-e003Coalescence-mGAM-p7,16257,4740
B12-e003Coalescence-mBHI-p3,15529,4903
D3-e004Assembly-mGAM-p7,15193,4480
C8-e003Assembly-mGAM-p3,15927,4911
C3-e003Coalescence-mGAM-p3,16419,5017
B4-e003Assembly-mBHI-p5,16329,4981
D4-e004Assembly-mGAM-p5,16271,4986
D3-e003Coalescence-Inoculumn-mBHI,16283,4995
C8-e003Assembly-mGAM-p5,14139,4413
C3-e003Coalescence-mBHI-p7,16368,5008
D11-e003Coalescence-mGAM-p5,16251,5027
A11-e003Coalescence-mGAM-p7,16366,5040
B8-e003Coalescence-mBHI-p5,16260,5039
B10-e003Assembly-mGAM-p5,15406,4471
C2-e003Coalescence-mGAM-p7,16353,5010
D3-e003Coalescence-mBHI-p5,16355,5025
B11-e003Coalescence-mGAM-p3,16353,5041
C4-e003Coalescence-mBHI-inoculumn-redo,16338,4995
B5-e003Assembly-mBHI-p5,16272,5029
D2-e003Coalescence-mBHI-p5,15608,4889
D8-e003Assembly-mGAM-p5,15892,4903
D5-e003Coalescence-mGAM-p5,16252,4993
B5-e003Coalescence-mBHI-p5,16302,5002
D5-e003Coalescence-mBHI-p7,16355,5038
C9-e003Coalescence-mBHI-p5,16419,5038
A10-e003Coalescence-mBHI-p3,15319,4665
A5-e003Coalescence-mGAM-p3,16286,5025
A2-e003Coalescence-Inoculumn-mGAM,16226,4963
E5-e004Assembly-mGAM-p5,15982,4824
D8-e003Coalescence-mGAM-p5,16348,5039
A12-e003Coalescence-mGAM-p3,15859,4963
C2-e003Coalescence-mBHI-p3,14886,4529
C4-e004Assembly-mBHI-p5,16202,4965
D9-e003Coalescence-mGAM-p7,15606,4624
D4-e003Coalescence-mBHI-p7,16393,5031
D8-e003Assembly-mGAM-p3,15659,4804
E4-e004Assembly-mGAM-p7,16214,4981
E3-e004Assembly-mGAM-p3,15188,4468
B10-e003Coalescence-mGAM-p3,16172,4892
A9-e003Coalescence-mGAM-p7,16343,5040
D5-e004Assembly-mGAM-p5,15871,4768
B5-e003Coalescence-Inoculumn-mGAM,16267,5033
D10-e003Coalescence-mBHI-p5,16372,5040
D5-e003Coalescence-mBHI-p3,16272,5016
C5-e003Coalescence-mBHI-p3,16312,4963
D9-e003Coalescence-mGAM-p5,16265,5023
