,0.975,0.975
C12-e003Coalescence-mBHI-p3,1.0,0.996525
C9-e003Coalescence-mGAM-p3,1.0,0.65
B5-e004Assembly-mBHI-p3,1.0,0.975
C11-e003Coalescence-mBHI-p3,1.0,0.909
D11-e003Coalescence-mBHI-p5,1.0,0.90575
C9-e003Coalescence-mGAM-p7,1.0,0.8297749999999999
C8-e003Coalescence-mGAM-p7,1.0,0.9912
D10-e003Coalescence-mBHI-p3,1.0,0.8973
F3-e004Assembly-epsilon-p3,1.0,0.0
B2-e003Coalescence-mBHI-p3,1.0,0.989275
A8-e003Coalescence-mBHI-p3,1.0,0.994525
A4-e003Coalescence-mBHI-p7,1.0,0.0
B9-e003Coalescence-mGAM-p5,1.0,0.750625
A4-e003Coalescence-mBHI-inoculumn-redo,1.0,0.984375
B3-e003Coalescence-mBHI-p3,1.0,0.0
D4-e003Coalescence-mBHI-p5,1.0,0.872875
C2-e003Coalescence-mBHI-p5,1.0,0.0
B3-e004Assembly-mBHI-p7,1.0,0.0
B5-e004Assembly-mBHI-p7,1.0,0.917275
D4-e003Coalescence-mBHI-p3,1.0,0.87575
C4-e003GlycerolRevival-mBHI-p2,1.0,0.0
C5-e004Assembly-mBHI-p3,1.0,0.975
D10-e003Assembly-mGAM-p5,1.0,0.99005
C3-e004Assembly-mBHI-p5,1.0,0.0
B8-e003Assembly-mGAM-p5,1.0,0.99435
F4-e004Assembly-epsilon-p5,1.0,1.0
C4-e003Coalescence-mGAM-p7,1.0,0.30100000000000005
B12-e003Coalescence-mBHI-p3,1.0,1.0
D3-e004Assembly-mGAM-p7,1.0,0.0
C8-e003Assembly-mGAM-p3,1.0,0.991075
C3-e003Coalescence-mGAM-p3,1.0,0.5860000000000001
B4-e003Assembly-mBHI-p5,1.0,0.9394499999999999
D4-e004Assembly-mGAM-p5,1.0,0.9934
D3-e003Coalescence-Inoculumn-mBHI,0.34687499999999993,0.6976249999999999
C8-e003Assembly-mGAM-p5,1.0,0.706
C3-e003Coalescence-mBHI-p7,1.0,0.844225
D11-e003Coalescence-mGAM-p5,1.0,0.88065
A11-e003Coalescence-mGAM-p7,0.923575,0.832375
B8-e003Coalescence-mBHI-p5,1.0,0.992375
B10-e003Assembly-mGAM-p5,1.0,0.823275
C2-e003Coalescence-mGAM-p7,1.0,0.98855
D3-e003Coalescence-mBHI-p5,1.0,0.623275
B11-e003Coalescence-mGAM-p3,1.0,0.99415
C4-e003Coalescence-mBHI-inoculumn-redo,1.0,0.9875
B5-e003Assembly-mBHI-p5,0.8300249999999999,0.703175
D2-e003Coalescence-mBHI-p5,1.0,0.99
D8-e003Assembly-mGAM-p5,1.0,0.991675
D5-e003Coalescence-mGAM-p5,0.36689999999999984,0.685275
B5-e003Coalescence-mBHI-p5,1.0,0.98785
D5-e003Coalescence-mBHI-p7,0.9543999999999998,0.782775
C9-e003Coalescence-mBHI-p5,1.0,0.876175
A10-e003Coalescence-mBHI-p3,1.0,0.9889
A5-e003Coalescence-mGAM-p3,0.7744250000000001,0.371475
A2-e003Coalescence-Inoculumn-mGAM,1.0,0.995275
E5-e004Assembly-mGAM-p5,1.0,0.866775
D8-e003Coalescence-mGAM-p5,1.0,0.9100750000000001
A12-e003Coalescence-mGAM-p3,1.0,0.9897
C2-e003Coalescence-mBHI-p3,1.0,1.0
C4-e004Assembly-mBHI-p5,1.0,0.9945
D9-e003Coalescence-mGAM-p7,1.0,0.15000000000000002
D4-e003Coalescence-mBHI-p7,0.65675,0.5554
D8-e003Assembly-mGAM-p3,1.0,0.99265
E4-e004Assembly-mGAM-p7,1.0,0.99365
E3-e004Assembly-mGAM-p3,1.0,0.0
B10-e003Coalescence-mGAM-p3,1.0,0.348
A9-e003Coalescence-mGAM-p7,1.0,0.994225
D5-e004Assembly-mGAM-p5,1.0,0.979175
B5-e003Coalescence-Inoculumn-mGAM,1.0,0.99575
D10-e003Coalescence-mBHI-p5,1.0,0.79795
D5-e003Coalescence-mBHI-p3,0.48614999999999997,0.82375
C5-e003Coalescence-mBHI-p3,1.0,0.8649249999999999
D9-e003Coalescence-mGAM-p5,1.0,0.30100000000000005
C9-e003Coalescence-mBHI-p3,1.0,0.8232
D10-e003Coalescence-mGAM-p5,1.0,0.9934
C8-e003Coalescence-mBHI-p7,1.0,0.9949
B11-e003Assembly-mGAM-p5,1.0,1.0
G3-e004Assembly-epsilon-p7,1.0,0.0
B4-e003Coalescence-mGAM-p5,1.0,0.9663499999999999
D4-e003Coalescence-mGAM-p5,1.0,0.9655
C3-e004Assembly-mBHI-p7,1.0,0.0
B5-e003Coalescence-mGAM-p5,0.538575,0.742625
B5-e003Coalescence-Inoculumn-mBHI,0.384725,0.624575
G3-e004Assembly-epsilon-p3,1.0,0.0
C2-e003Coalescence-mGAM-p3,1.0,0.98885
B5-e003Coalescence-mGAM-p7,0.728725,0.83595
D8-e003Coalescence-mBHI-p5,0.6771749999999999,0.8232499999999999
E5-e004Assembly-mGAM-p7,1.0,0.975
C10-e003Assembly-mGAM-p3,1.0,0.242
B10-e003Coalescence-mBHI-p5,1.0,0.930575
D5-e003Coalescence-Inoculumn-mGAM,0.797,0.89685
B3-e004Assembly-mBHI-p5,1.0,0.0
B5-e003Coalescence-mBHI-p3,0.7857999999999999,0.522225
G4-e004Assembly-epsilon-p5,1.0,0.991675
C4-e003Coalescence-mGAM-p5,1.0,0.850375
C5-e003Coalescence-mGAM-p7,1.0,0.992225
C5-e003Coalescence-mBHI-inoculumn-redo,0.61815,0.7349249999999999
A2-e003Coalescence-mBHI-p7,1.0,
A10-e003Coalescence-mBHI-p5,1.0,0.99545
B8-e003Assembly-mGAM-p3,1.0,1.0
A4-e003Coalescence-mGAM-p5,1.0,0.916875
D5-e003Coalescence-mBHI-p5,1.0,0.987825
D4-e003Coalescence-mGAM-p7,1.0,0.9921
E4-e004Assembly-mGAM-p3,1.0,0.994325
A8-e003Coalescence-mBHI-p7,1.0,0.993875
E3-e004Assembly-mGAM-p7,1.0,0.0
B9-e003GlycerolRevival-mGAM-p2,1.0,0.862
C4-e003Coalescence-mGAM-p3,1.0,0.489
B2-e003Coalescence-Inoculumn-mGAM,1.0,0.962125
D5-e003Coalescence-mGAM-p7,0.6172499999999996,0.0
C5-e003Coalescence-mBHI-p5,1.0,0.989275
C5-e003Coalescence-mGAM-p3,0.908875,0.773525
D9-e003Assembly-mGAM-p5,1.0,0.0
B12-e003Coalescence-mGAM-p3,1.0,0.81
A11-e003Coalescence-mBHI-p7,0.773,0.667
A3-e003Coalescence-Inoculumn-mGAM,1.0,0.945075
D10-e003Assembly-mGAM-p3,1.0,0.29100000000000004
C3-e003Coalescence-mGAM-p5,1.0,0.8880250000000001
B4-e004Assembly-mBHI-p5,1.0,0.9944
C10-e003GlycerolRevival-mGAM-p2,1.0,0.809325
D3-e003Assembly-mBHI-p5,1.0,0.0
A10-e003Coalescence-mGAM-p3,1.0,0.970725
A9-e003Coalescence-mBHI-p3,1.0,0.88895
A2-e003Coalescence-Inoculumn-mBHI,1.0,1.0
D3-e003Coalescence-mBHI-p7,1.0,0.93855
C3-e003Coalescence-mBHI-p5,1.0,1.0
D11-e003Assembly-mGAM-p3,1.0,0.839275
D2-e003Assembly-mBHI-p3,1.0,0.99465
A9-e003Coalescence-mBHI-p5,1.0,0.99625
D5-e003Coalescence-Inoculumn-mBHI,0.320575,0.7058249999999999
B2-e003Coalescence-mGAM-p3,1.0,0.0
B4-e003Assembly-mBHI-p3,1.0,0.496975
C11-e003Coalescence-mGAM-p5,1.0,0.9462499999999999
G4-e004Assembly-epsilon-p3,1.0,1.0
