,0.025,0.025
C12-e003Coalescence-mBHI-p3,0.0,0.659
C9-e003Coalescence-mGAM-p3,0.405,0.11699999999999999
B5-e004Assembly-mBHI-p3,0.0,0.0
C11-e003Coalescence-mBHI-p3,0.0,0.68
D11-e003Coalescence-mBHI-p5,0.0,0.83
C9-e003Coalescence-mGAM-p7,0.7939250000000001,0.0
C8-e003Coalescence-mGAM-p7,0.609,0.0
D10-e003Coalescence-mBHI-p3,0.055,0.667
F3-e004Assembly-epsilon-p3,0.0,0.0
B2-e003Coalescence-mBHI-p3,0.0,0.0
A8-e003Coalescence-mBHI-p3,0.0,0.0
A4-e003Coalescence-mBHI-p7,0.0,0.0
B9-e003Coalescence-mGAM-p5,0.0,0.807
A4-e003Coalescence-mBHI-inoculumn-redo,0.832275,0.0
B3-e003Coalescence-mBHI-p3,0.0,0.0
D4-e003Coalescence-mBHI-p5,0.20787499999999998,0.2
C2-e003Coalescence-mBHI-p5,0.0,0.0
B3-e004Assembly-mBHI-p7,0.0,0.0
B5-e004Assembly-mBHI-p7,0.0,0.0
D4-e003Coalescence-mBHI-p3,0.37535,0.081
C4-e003GlycerolRevival-mBHI-p2,0.0,0.0
C5-e004Assembly-mBHI-p3,0.0,0.0
D10-e003Assembly-mGAM-p5,1.0,0.0
C3-e004Assembly-mBHI-p5,0.0,0.0
B8-e003Assembly-mGAM-p5,0.0,0.0
F4-e004Assembly-epsilon-p5,0.0,0.0
C4-e003Coalescence-mGAM-p7,0.402625,0.0
B12-e003Coalescence-mBHI-p3,0.0,0.615
D3-e004Assembly-mGAM-p7,0.0,0.0
C8-e003Assembly-mGAM-p3,0.0,0.0
C3-e003Coalescence-mGAM-p3,0.742225,0.0
B4-e003Assembly-mBHI-p5,1.0,0.0
D4-e004Assembly-mGAM-p5,0.0,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.0,0.127
C8-e003Assembly-mGAM-p5,0.0,0.0
C3-e003Coalescence-mBHI-p7,0.95,0.0
D11-e003Coalescence-mGAM-p5,0.0,0.795
A11-e003Coalescence-mGAM-p7,0.0,0.771
B8-e003Coalescence-mBHI-p5,0.0,0.907
B10-e003Assembly-mGAM-p5,0.876,0.0
C2-e003Coalescence-mGAM-p7,0.996,0.0
D3-e003Coalescence-mBHI-p5,0.0,0.41900000000000004
B11-e003Coalescence-mGAM-p3,0.0,0.953
C4-e003Coalescence-mBHI-inoculumn-redo,1.0,0.0
B5-e003Assembly-mBHI-p5,0.0,0.448
D2-e003Coalescence-mBHI-p5,0.0,0.37725
D8-e003Assembly-mGAM-p5,0.0,0.0
D5-e003Coalescence-mGAM-p5,0.0,0.142
B5-e003Coalescence-mBHI-p5,0.0,0.333
D5-e003Coalescence-mBHI-p7,0.0,0.76
C9-e003Coalescence-mBHI-p5,0.18967499999999998,0.35675
A10-e003Coalescence-mBHI-p3,0.0,0.0
A5-e003Coalescence-mGAM-p3,0.0,0.3
A2-e003Coalescence-Inoculumn-mGAM,0.0,0.0
E5-e004Assembly-mGAM-p5,0.0,0.0
D8-e003Coalescence-mGAM-p5,0.0,0.8220000000000001
A12-e003Coalescence-mGAM-p3,0.0,0.389
C2-e003Coalescence-mBHI-p3,0.6324250000000001,0.0
C4-e004Assembly-mBHI-p5,0.0,0.0
D9-e003Coalescence-mGAM-p7,0.0,0.125
D4-e003Coalescence-mBHI-p7,0.304,0.0
D8-e003Assembly-mGAM-p3,0.0,0.0
E4-e004Assembly-mGAM-p7,0.0,0.0
E3-e004Assembly-mGAM-p3,0.0,0.0
B10-e003Coalescence-mGAM-p3,0.197,0.041
A9-e003Coalescence-mGAM-p7,0.0,0.957
D5-e004Assembly-mGAM-p5,0.0,0.0
B5-e003Coalescence-Inoculumn-mGAM,0.0,0.893
D10-e003Coalescence-mBHI-p5,0.045,0.636
D5-e003Coalescence-mBHI-p3,0.0,0.224
C5-e003Coalescence-mBHI-p3,0.755175,0.0
D9-e003Coalescence-mGAM-p5,0.0,0.34199999999999997
C9-e003Coalescence-mBHI-p3,0.281,0.267
D10-e003Coalescence-mGAM-p5,0.114,0.549
C8-e003Coalescence-mBHI-p7,0.05470000000000003,0.0
B11-e003Assembly-mGAM-p5,0.0,0.533
G3-e004Assembly-epsilon-p7,0.0,0.0
B4-e003Coalescence-mGAM-p5,0.963,0.0
D4-e003Coalescence-mGAM-p5,0.2475,0.32405000000000006
C3-e004Assembly-mBHI-p7,0.0,0.0
B5-e003Coalescence-mGAM-p5,0.0,0.258
B5-e003Coalescence-Inoculumn-mBHI,0.0,0.104
G3-e004Assembly-epsilon-p3,0.0,0.0
C2-e003Coalescence-mGAM-p3,0.980575,0.0
B5-e003Coalescence-mGAM-p7,0.0,0.372
D8-e003Coalescence-mBHI-p5,0.0,0.071
E5-e004Assembly-mGAM-p7,0.0,0.0
C10-e003Assembly-mGAM-p3,0.3914,0.0
B10-e003Coalescence-mBHI-p5,0.234,0.344
D5-e003Coalescence-Inoculumn-mGAM,0.0,0.839
B3-e004Assembly-mBHI-p5,0.0,0.0
B5-e003Coalescence-mBHI-p3,0.0,0.239
G4-e004Assembly-epsilon-p5,0.0,0.0
C4-e003Coalescence-mGAM-p5,0.9103500000000001,0.0
C5-e003Coalescence-mGAM-p7,0.30674999999999997,0.287
C5-e003Coalescence-mBHI-inoculumn-redo,0.23080000000000003,0.07399999999999995
A2-e003Coalescence-mBHI-p7,0.0,0.0
A10-e003Coalescence-mBHI-p5,0.0,0.0
B8-e003Assembly-mGAM-p3,0.0,0.0
A4-e003Coalescence-mGAM-p5,0.0,0.891
D5-e003Coalescence-mBHI-p5,0.994,0.0
D4-e003Coalescence-mGAM-p7,0.16240000000000007,0.44299999999999995
E4-e004Assembly-mGAM-p3,0.0,0.0
A8-e003Coalescence-mBHI-p7,0.0,0.0
E3-e004Assembly-mGAM-p7,0.0,0.0
B9-e003GlycerolRevival-mGAM-p2,0.0,0.9
C4-e003Coalescence-mGAM-p3,0.5616500000000001,0.0
B2-e003Coalescence-Inoculumn-mGAM,0.0,0.253
D5-e003Coalescence-mGAM-p7,0.0,0.0
C5-e003Coalescence-mBHI-p5,0.5623250000000001,0.125
C5-e003Coalescence-mGAM-p3,0.673,0.0
D9-e003Assembly-mGAM-p5,0.0,0.0
B12-e003Coalescence-mGAM-p3,0.0,0.925
A11-e003Coalescence-mBHI-p7,0.0,0.0
A3-e003Coalescence-Inoculumn-mGAM,0.0,0.235
D10-e003Assembly-mGAM-p3,0.42,0.0
C3-e003Coalescence-mGAM-p5,0.938,0.0
B4-e004Assembly-mBHI-p5,0.0,0.0
C10-e003GlycerolRevival-mGAM-p2,0.714,0.0
D3-e003Assembly-mBHI-p5,0.0,0.0
A10-e003Coalescence-mGAM-p3,0.906,0.0
A9-e003Coalescence-mBHI-p3,0.0,0.814
A2-e003Coalescence-Inoculumn-mBHI,0.0,0.0
D3-e003Coalescence-mBHI-p7,0.0,0.918
C3-e003Coalescence-mBHI-p5,1.0,0.0
D11-e003Assembly-mGAM-p3,0.0,0.625
D2-e003Assembly-mBHI-p3,0.0,0.0
A9-e003Coalescence-mBHI-p5,0.0,0.839
D5-e003Coalescence-Inoculumn-mBHI,0.0,0.142
B2-e003Coalescence-mGAM-p3,0.128,0.0
B4-e003Assembly-mBHI-p3,0.6,0.0
C11-e003Coalescence-mGAM-p5,0.105925,0.559
G4-e004Assembly-epsilon-p3,0.0,0.0
B3-e003Coalescence-Inoculumn-mBHI,0.0,0.0
A8-e003Coalescence-mBHI-p5,0.0,0.0
D5-e004Assembly-mGAM-p7,0.0,0.0
