,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B2-e003Coalescence-mBHI-p3,5741,5875
A8-e003Coalescence-mBHI-p3,5732,5877
A4-e003Coalescence-mBHI-p7,5735,5875
A4-e003Coalescence-mBHI-inoculumn-redo,5750,5884
B3-e003Coalescence-mBHI-p3,5748,5881
D4-e003Coalescence-mBHI-p5,4062,4029
C2-e003Coalescence-mBHI-p5,5661,5822
D4-e003Coalescence-mBHI-p3,4123,4115
B2-e003Assembly-mBHI-p5,5531,5684
B2-e003Coalescence-mBHI-p5,5728,5871
B4-e003Assembly-mBHI-p5,5434,5536
D3-e003Coalescence-Inoculumn-mBHI,2152,2116
C3-e003Coalescence-mBHI-p7,5742,5862
B8-e003Coalescence-mBHI-p5,5654,5793
C2-e003Coalescence-mGAM-p7,5515,5612
D3-e003Coalescence-mBHI-p5,2503,2426
C4-e003Coalescence-mBHI-inoculumn-redo,5750,5884
D2-e003Coalescence-mBHI-p5,5663,5815
B5-e003Coalescence-mBHI-p5,2971,2928
C2-e003Coalescence-mBHI-p3,5741,5883
D4-e003Coalescence-mBHI-p7,5570,5672
C5-e003Coalescence-mBHI-p3,3556,3491
C8-e003Coalescence-mBHI-p7,5607,5743
D8-e003Coalescence-mBHI-p5,5461,5628
B5-e003Coalescence-mBHI-p3,5508,5599
C5-e003Coalescence-mBHI-inoculumn-redo,5746,5879
A2-e003Coalescence-mBHI-p7,5653,5811
A10-e003Coalescence-mBHI-p5,5370,5547
A8-e003Coalescence-mBHI-p7,5736,5872
C5-e003Coalescence-mBHI-p5,5731,5865
A3-e003Coalescence-mBHI-inoculumn-redo,5429,5588
A11-e003Coalescence-mBHI-p7,1971,2198
A9-e003Coalescence-mBHI-p3,5744,5879
A2-e003Coalescence-Inoculumn-mBHI,5750,5884
D3-e003Coalescence-mBHI-p7,5692,5820
C3-e003Coalescence-mBHI-p5,5650,5776
D2-e003Assembly-mBHI-p3,5658,5813
B3-e003Assembly-mBHI-p5,5236,5344
A9-e003Coalescence-mBHI-p5,5097,5279
B4-e003Assembly-mBHI-p3,3913,3954
A8-e003Coalescence-mBHI-p5,5650,5805
C2-e003Assembly-mBHI-p5,5378,5499
A5-e003Coalescence-mBHI-p7,5744,5878
A5-e003Coalescence-mBHI-inoculumn-redo,5706,5851
D2-e003Assembly-mBHI-p5,5378,5564
B5-e003Coalescence-mBHI-p7,5430,5496
D4-e003Coalescence-Inoculumn-mBHI,5746,5873
A4-e003Coalescence-mBHI-p5,5743,5881
B3-e003Coalescence-mBHI-p7,5301,5401
A10-e003Coalescence-mBHI-p7,5575,5730
A9-e003Coalescence-mBHI-p7,5719,5863
D2-e003Coalescence-Inoculumn-mBHI,5697,5834
B2-e003Assembly-mBHI-p3,5437,5614
C5-e003Coalescence-mBHI-p7,5716,5856
A2-e003Coalescence-mBHI-p3,5720,5861
B3-e003Coalescence-mBHI-p5,5629,5761
C2-e003Coalescence-mBHI-inoculumn-redo,5748,5882
B2-e003Coalescence-Inoculumn-mBHI,5658,5808
A11-e003Coalescence-mBHI-p5,4016,4298
A3-e003Coalescence-mBHI-p3,5733,5874
A2-e003Coalescence-mBHI-p5,5717,5870
C3-e003Coalescence-mBHI-inoculumn-redo,5732,5854
A5-e003Coalescence-mBHI-p3,5218,5392
A4-e003Coalescence-mBHI-p3,5690,5844
A2-e003Coalescence-mBHI-inoculumn-redo,5748,5881
C8-e003Coalescence-mBHI-p5,5737,5881
B4-e003Coalescence-Inoculumn-mBHI,5744,5863
B8-e003Coalescence-mBHI-p7,2730,2818
C4-e003Coalescence-mBHI-p5,5747,5874
A11-e003Coalescence-mBHI-p3,5712,5846
B2-e003Coalescence-mBHI-p7,1904,1938
B4-e003Coalescence-mBHI-p3,5435,5499
A5-e003Coalescence-Inoculumn-mBHI,5435,5617
C2-e003Coalescence-mBHI-p7,1452,1465
D2-e003Coalescence-mBHI-p3,5722,5858
H5-e003Coalescence-mBHI-p5_S40,5527,5672
G5-e003Coalescence-mBHI-p7_S124,5687,5807
F8-e003Coalescence-mBHI-p3_S117,5436,5614
H3-e003Coalescence-mBHI-p3_S46,5421,5524
H2-e003Coalescence-mBHI-p7_S133,5722,5865
E5-e003Coalescence-mBHI-p3_S12,5699,5849
H3-e003Coalescence-mBHI-p7_S134,5645,5758
G4-e003Coalescence-mBHI-p5_S27,5740,5866
E8-e003Coalescence-mBHI-p5_S5,5727,5866
G2-e003Coalescence-mBHI-p3_S33,5729,5866
E9-e003Coalescence-mBHI-p5_S6,5311,5471
G5-e003Coalescence-mBHI-p3_S36,3695,3785
E3-e003Coalescence-mBHI-p3_S10,5662,5831
E5-e003Coalescence-mBHI-p7_S100,5685,5841
E100-e003Coalescence-mBHI-p7_S103,5421,5632
E9-e003Coalescence-mBHI-p7_S102,4607,4795
E5-e003Coalescence-mBHI-p5_S4,5716,5858
E111-e003Coalescence-mBHI-p5_S8,3998,4259
F5-e003Coalescence-mBHI-p5_S16,5200,5227
H8-e003Coalescence-mBHI-p7_S137,5658,5823
E2-e003Coalescence-mBHI-p5_S1,5706,5857
E2-e003Coalescence-mBHI-p3_S9,5711,5851
G3-e003Coalescence-mBHI-p3_S34,5631,5739
E111-e003Coalescence-mBHI-p3_S108,3472,3703
G3-e003Coalescence-mBHI-p5_S26,5741,5864
G5-e003Coalescence-mBHI-p5_S28,5733,5853
G4-e003Coalescence-mBHI-p3_S35,5735,5858
H2-e003Coalescence-mBHI-p3_S45,5718,5859
E8-e003Coalescence-mBHI-p7_S101,5718,5848
E4-e003Coalescence-mBHI-p5_S3,5737,5874
F2-e003Coalescence-mBHI-p3_S21,5667,5819
H8-e003Coalescence-mBHI-p5_S41,5646,5810
E100-e003Coalescence-mBHI-p5_S7,5668,5845
E2-e003Coalescence-mBHI-p7_S97,3457,3633
F3-e003Coalescence-mBHI-p3_S22,5606,5688
G3-e003Coalescence-mBHI-p7_S122,5731,5843
G8-e003Coalescence-mBHI-p3_S129,5724,5873
F4-e003Coalescence-mBHI-p7_S111,5727,5833
F3-e003Coalescence-mBHI-p5_S14,5588,5725
G4-e003Coalescence-mBHI-p7_S123,5735,5853
H4-e003Coalescence-mBHI-p7_S135,5697,5812
E3-e003Coalescence-mBHI-p5_S2,5723,5868
H3-e003Coalescence-mBHI-p5_S38,5428,5554
F8-e003Coalescence-mBHI-p7_S113,4682,4907
G2-e003Coalescence-mBHI-p7_S121,5024,5222
H4-e003Coalescence-mBHI-p3_S47,2283,2271
F3-e003Coalescence-mBHI-p7_S110,5523,5593
G8-e003Coalescence-mBHI-p7_S125,5636,5781
F4-e003Coalescence-mBHI-p5_S15,5698,5814
E111-e003Coalescence-mBHI-p7_S104,5233,5454
F2-e003Coalescence-mBHI-p5_S13,5743,5878
F4-e003Coalescence-mBHI-p3_S23,5412,5485
H4-e003Coalescence-mBHI-p5_S39,5714,5829
G8-e003Coalescence-mBHI-p5_S29,5712,5864
G2-e003Coalescence-mBHI-p5_S25,5737,5880
E4-e003Coalescence-mBHI-p3_S11,5717,5867
F5-e003Coalescence-mBHI-p3_S24,5143,5245
E8-e003Coalescence-mBHI-p3_S105,5614,5783
H5-e003Coalescence-mBHI-p7_S136,1989,2024
F5-e003Coalescence-mBHI-p7_S112,5636,5734
E4-e003Coalescence-mBHI-p7_S99,5655,5823
F8-e003Coalescence-mBHI-p5_S17,5606,5766
