,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B2-e003Coalescence-mBHI-p3,0.962,0.045
A8-e003Coalescence-mBHI-p3,0.9999008580485712,3.669070978056251e-05
A4-e003Coalescence-mBHI-p7,0.923,0.073
A4-e003Coalescence-mBHI-inoculumn-redo,0.634,0.352
B3-e003Coalescence-mBHI-p3,0.0029009501919486508,0.9967049950131901
D4-e003Coalescence-mBHI-p5,0.04344054895638327,0.9526601754337524
C2-e003Coalescence-mBHI-p5,0.9931239282887924,0.006916805499006348
D4-e003Coalescence-mBHI-p3,0.04157735013556201,0.955148278221119
B2-e003Assembly-mBHI-p5,0.9973630212027911,0.0023171693616137767
B2-e003Coalescence-mBHI-p5,0.9853685515018352,0.013231726593666242
B4-e003Assembly-mBHI-p5,0.00436218363383639,0.9953104165827829
D3-e003Coalescence-Inoculumn-mBHI,0.16380036875162018,0.829469668293175
C3-e003Coalescence-mBHI-p7,4.0742035809223626e-05,0.9998548657691332
B8-e003Coalescence-mBHI-p5,0.9987578857706649,0.0009681512741541459
C2-e003Coalescence-mGAM-p7,0.002793969480510268,0.9968209277863609
D3-e003Coalescence-mBHI-p5,0.1264349824793761,0.8646253057947229
C4-e003Coalescence-mBHI-inoculumn-redo,-0.0,0.9999845471542096
D2-e003Coalescence-mBHI-p5,0.9992756632503836,0.0005727267977947078
B5-e003Coalescence-mBHI-p5,0.10213547504307705,0.8927849202275658
C2-e003Coalescence-mBHI-p3,0.9975127313175954,0.0021798068640619265
D4-e003Coalescence-mBHI-p7,0.0016739368878982313,0.9980594034890895
C5-e003Coalescence-mBHI-p3,0.06865193387965728,0.9254216321976726
C8-e003Coalescence-mBHI-p7,0.998249686561229,0.0016170053904687707
D8-e003Coalescence-mBHI-p5,0.9962904119993116,0.0032154181891933774
B5-e003Coalescence-mBHI-p3,0.0030713052816321884,0.9963643001565942
