,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
D11-e003Coalescence-mBHI-p5,0.9218461538461539,0.0
C8-e003Coalescence-mGAM-p7,0.0,0.9947285187137586
D10-e003Coalescence-mBHI-p3,0.0,0.7559304164470216
A8-e003Coalescence-mBHI-p3,0.6313846153846154,0.5703742751713231
A4-e003Coalescence-mBHI-inoculumn-redo,0.0006153846153846154,0.9330521876647337
D10-e003Assembly-mGAM-p5,0.0006153846153846154,0.6483921982076963
C4-e003Coalescence-mGAM-p7,0.0,0.9662625197680548
D3-e004Assembly-mGAM-p7,0.6492307692307693,0.7269372693726938
C3-e003Coalescence-mGAM-p3,0.0,0.9884027411702688
B4-e003Assembly-mBHI-p5,0.0,0.8998418555614127
D4-e004Assembly-mGAM-p5,0.5175384615384615,0.5371639430680021
D3-e003Coalescence-Inoculumn-mBHI,0.5298461538461539,0.004744333157617291
D11-e003Coalescence-mGAM-p5,1.0,0.0
A11-e003Coalescence-mGAM-p7,0.8873846153846154,0.0010542962572482868
B10-e003Assembly-mGAM-p5,0.0,0.46178176067474963
C2-e003Coalescence-mGAM-p7,0.0,0.9989457037427517
B11-e003Coalescence-mGAM-p3,0.7378461538461538,0.0005271481286241434
C4-e003Coalescence-mBHI-inoculumn-redo,0.0,0.9989457037427517
D8-e003Assembly-mGAM-p5,0.24984615384615386,0.22983658408012653
D5-e003Coalescence-mGAM-p5,0.9938461538461538,0.0
A5-e003Coalescence-mGAM-p3,0.9852307692307692,0.0
A2-e003Coalescence-Inoculumn-mGAM,0.6984615384615385,0.6320506062203479
E5-e004Assembly-mGAM-p5,0.5938461538461538,0.7185028993147075
D8-e003Coalescence-mGAM-p5,0.8984615384615384,0.0
A12-e003Coalescence-mGAM-p3,0.9273846153846154,0.0
E4-e004Assembly-mGAM-p7,0.21846153846153846,0.24459673168160254
E3-e004Assembly-mGAM-p3,0.64,0.7179757511860833
D5-e004Assembly-mGAM-p5,0.3384615384615385,0.40274117026884554
B5-e003Coalescence-Inoculumn-mGAM,0.9624615384615385,0.0
D10-e003Coalescence-mBHI-p5,0.0,0.45387453874538747
D10-e003Coalescence-mGAM-p5,0.0,0.16974169741697417
B11-e003Assembly-mGAM-p5,0.8763076923076923,0.0
B4-e003Coalescence-mGAM-p5,0.0,0.9066947812335266
D4-e003Coalescence-mGAM-p5,0.32061538461538464,0.0
B5-e003Coalescence-mGAM-p5,0.9649230769230769,0.0
B5-e003Coalescence-Inoculumn-mBHI,0.24984615384615386,0.010015814443858724
C2-e003Coalescence-mGAM-p3,0.0,0.6436478650500791
B5-e003Coalescence-mGAM-p7,0.8916923076923077,0.0
E5-e004Assembly-mGAM-p7,0.5698461538461539,0.6605166051660517
D5-e003Coalescence-Inoculumn-mGAM,0.9895384615384616,0.0
C4-e003Coalescence-mGAM-p5,0.0,0.981549815498155
C5-e003Coalescence-mGAM-p7,0.9753846153846154,0.0
C5-e003Coalescence-mBHI-inoculumn-redo,0.0024615384615384616,0.12809699525566684
D5-e003Coalescence-mBHI-p5,0.0012307692307692308,0.9894570374275171
D4-e003Coalescence-mGAM-p7,0.9526153846153846,0.0
E3-e004Assembly-mGAM-p7,0.5704615384615385,0.6394306800210859
C4-e003Coalescence-mGAM-p3,0.0,0.9968371112282551
B2-e003Coalescence-Inoculumn-mGAM,0.6209230769230769,0.5028993147074328
D5-e003Coalescence-mGAM-p7,0.6793846153846154,0.0
C5-e003Coalescence-mGAM-p3,0.27876923076923077,0.0
A3-e003Coalescence-Inoculumn-mGAM,0.3249230769230769,0.27517132314180287
D10-e003Assembly-mGAM-p3,0.0,0.323668950975224
C3-e003Coalescence-mGAM-p5,0.0,0.8993147074327886
C10-e003GlycerolRevival-mGAM-p2,0.0,0.7527675276752768
A10-e003Coalescence-mGAM-p3,0.0,0.9968371112282551
D11-e003Assembly-mGAM-p3,0.5070769230769231,0.0
D5-e003Coalescence-Inoculumn-mBHI,1.0,0.0
B2-e003Coalescence-mGAM-p3,0.0006153846153846154,0.9704797047970479
B4-e003Assembly-mBHI-p3,0.0,0.33210332103321033
C11-e003Coalescence-mGAM-p5,0.0,0.12704269899841855
D5-e004Assembly-mGAM-p7,0.5513846153846154,0.6779124934106484
D2-e003Coalescence-mGAM-p5,0.9981538461538462,0.0
D3-e003Coalescence-mGAM-p3,0.18892307692307692,0.0063257775434897206
D3-e003Coalescence-mGAM-p5,0.3304615384615385,0.0
C10-e003Coalescence-mGAM-p3,0.0,0.9931470743278862
A5-e003Coalescence-mBHI-inoculumn-redo,0.3618461538461539,0.0
B11-e003Assembly-mGAM-p3,0.7932307692307692,0.0
C3-e003Coalescence-Inoculumn-mGAM,0.0012307692307692308,0.7590933052187665
A3-e003Coalescence-mGAM-p7,0.0,0.8924617817606747
D4-e003Coalescence-Inoculumn-mBHI,0.0,0.03110173958882446
D10-e003Coalescence-mGAM-p7,0.0,0.09330521876647338
C12-e003Coalescence-mGAM-p3,0.009846153846153846,0.4354243542435424
C11-e003Coalescence-mGAM-p3,0.0,0.0010542962572482868
D5-e004Assembly-mGAM-p3,0.6036923076923076,0.724301528729573
C10-e003Coalescence-mBHI-p7,0.0,0.8771744860305746
C11-e003Coalescence-mBHI-p5,0.0,0.8987875593041644
E3-e004Assembly-mGAM-p5,0.6541538461538462,0.731681602530311
D10-e003Coalescence-mGAM-p3,0.0024615384615384616,0.04428044280442804
C4-e004Assembly-mBHI-p3,0.2196923076923077,0.23510806536636794
C2-e003Coalescence-Inoculumn-mGAM,0.018461538461538463,0.7116499736425935
D11-e003Coalescence-mGAM-p7,0.9987692307692307,0.0
D5-e003Coalescence-mGAM-p3,0.9981538461538462,0.0
E4-e004Assembly-mGAM-p5,0.3495384615384615,0.3927253558249868
E5-e004Assembly-mGAM-p3,0.5803076923076923,0.6731681602530311
B4-e003Coalescence-Inoculumn-mGAM,0.0006153846153846154,0.7780706378492356
A10-e003Coalescence-mGAM-p7,0.0,0.9731154454401687
C4-e003Coalescence-Inoculumn-mGAM,0.0,0.9662625197680548
D4-e003Coalescence-mGAM-p3,0.005538461538461538,0.0
D11-e003Assembly-mGAM-p5,0.6326153846153846,0.0005271481286241434
C3-e003Coalescence-mGAM-p7,0.0,0.9836584080126516
B11-e003GlycerolRevival-mGAM-p2,0.8356923076923077,0.0
B3-e003Coalescence-mGAM-p5,0.0,0.9167105956773853
D3-e004Assembly-mGAM-p5,0.6430769230769231,0.7216657880864523
D4-e004Assembly-mGAM-p7,0.6486153846153846,0.7116499736425935
C11-e003Coalescence-mGAM-p7,0.0,0.15972588297311544
C11-e003Assembly-mGAM-p3,0.8873846153846154,0.0
D10-e003Coalescence-mBHI-p7,0.0006153846153846154,0.42066420664206644
C11-e003Assembly-mGAM-p5,0.9673846153846154,0.0005271481286241434
B10-e003GlycerolRevival-mGAM-p2,0.0,0.3874538745387454
C2-e003Coalescence-mBHI-inoculumn-redo,0.0,0.7691091196626252
A8-e003Coalescence-mGAM-p7,0.49353846153846154,0.4364786505007907
C11-e003GlycerolRevival-mGAM-p2,0.9304615384615385,0.0
C10-e003Coalescence-mGAM-p5,0.0,0.9957828149710068
A5-e003Coalescence-Inoculumn-mGAM,0.804923076923077,0.0010542962572482868
D4-e003Coalescence-Inoculumn-mGAM,0.16307692307692306,0.09225092250922509
C10-e003Coalescence-mBHI-p5,0.0,0.8724301528729573
C3-e003Coalescence-mBHI-inoculumn-redo,0.0,0.9836584080126516
e004-inoculumn-fecal-AR,0.5378461538461539,0.5861887190300474
B5-e003Coalescence-mGAM-p3,0.5643076923076923,0.0
C2-e003Coalescence-mGAM-p5,0.0,0.9841855561412757
B8-e003GlycerolRevival-mGAM-p2,0.3046153846153846,0.2767527675276753
C8-e003Coalescence-mBHI-p5,0.032,0.6768581971534001
B4-e003Coalescence-Inoculumn-mBHI,0.0,0.9884027411702688
D2-e003Coalescence-Inoculumn-mGAM,0.8012307692307692,0.0015814443858724301
D3-e003Coalescence-Inoculumn-mGAM,0.9932307692307693,0.0
C5-e003Coalescence-Inoculumn-mGAM,0.0006153846153846154,0.0010542962572482868
C4-e003Coalescence-mBHI-p5,0.0,0.9947285187137586
BC-Fecal,0.2443076923076923,0.19715340010542962
e004-inoculumn-fecal-BE,0.22892307692307692,0.2836056931997891
A11-e003Coalescence-mBHI-p3,0.696,0.3900896151818661
A4-e003Coalescence-Inoculumn-mGAM,0.0,0.702161307327359
C10-e003Coalescence-mGAM-p7,0.0,0.9984185556141276
A11-e003Coalescence-mGAM-p3,0.9532307692307692,0.0
C10-e003Coalescence-mBHI-p3,0.0,0.9652082235108065
H111-e003Coalescence-mGAM-p7_S188,1.0,0.0
