,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
D11-e003Coalescence-mBHI-p5,0.009058465808684581,0.9906920031071966
C8-e003Coalescence-mGAM-p7,0.9996729709811913,0.00011841338681225907
D10-e003Coalescence-mBHI-p3,0.9679865341433518,0.028596753745186936
A8-e003Coalescence-mBHI-p3,0.04971990212967315,0.05940174464601976
A4-e003Coalescence-mBHI-inoculumn-redo,0.9923206308876813,0.006975303876034908
D10-e003Assembly-mGAM-p5,0.9367998392942694,0.05953684961250128
C4-e003Coalescence-mGAM-p7,0.9974732488085236,0.002135223876556859
D3-e004Assembly-mGAM-p7,0.03217088926467254,0.022972199833664404
C3-e003Coalescence-mGAM-p3,0.9987726358105483,0.0005499505961522638
B4-e003Assembly-mBHI-p5,0.9903945703334998,0.010282455172604767
D4-e004Assembly-mGAM-p5,0.08462583013639893,0.07516918204386126
D3-e003Coalescence-Inoculumn-mBHI,0.0553571910432662,0.9427462371207797
D11-e003Coalescence-mGAM-p5,0.00015540056070345657,0.9997692040794718
A11-e003Coalescence-mGAM-p7,0.012882706060927257,0.9761770811267749
B10-e003Assembly-mGAM-p5,0.851038963034087,0.13383052575396617
C2-e003Coalescence-mGAM-p7,0.9999037771796391,-0.0
B11-e003Coalescence-mGAM-p3,0.03722574763158971,0.9580886373030773
C4-e003Coalescence-mBHI-inoculumn-redo,0.926736825342367,0.06422395637095683
D8-e003Assembly-mGAM-p5,0.23568444420046786,0.2434509107704577
D5-e003Coalescence-mGAM-p5,0.0003548937592797973,0.9995243701391391
A5-e003Coalescence-mGAM-p3,0.0011140069782295827,0.9986306960771146
A2-e003Coalescence-Inoculumn-mGAM,0.027574595347288892,0.033731620838707545
E5-e004Assembly-mGAM-p5,0.018395161605845558,0.011570892108208415
D8-e003Coalescence-mGAM-p5,0.004523478659966935,0.9816200201734088
A12-e003Coalescence-mGAM-p3,0.007779821154919192,0.9860710759122653
E4-e004Assembly-mGAM-p7,0.23825353810066566,0.23436525925585894
E3-e004Assembly-mGAM-p3,0.03869565605540172,0.027027657315471864
D5-e004Assembly-mGAM-p5,0.14975653732282487,0.1225894153646576
B5-e003Coalescence-Inoculumn-mGAM,0.0037369985406792545,0.9961468271833187
D10-e003Coalescence-mBHI-p5,0.9026297568783083,0.09491533406256523
D10-e003Coalescence-mGAM-p5,0.826,0.159
B11-e003Assembly-mGAM-p5,0.014020716272529219,0.9826968925310547
B4-e003Coalescence-mGAM-p5,0.9912100692464304,0.01015153654164285
D4-e003Coalescence-mGAM-p5,0.136,0.857
B5-e003Coalescence-mGAM-p5,0.0022010897581386103,0.9975388014866553
B5-e003Coalescence-Inoculumn-mBHI,0.2242918909230892,0.7667031204709609
C2-e003Coalescence-mGAM-p3,0.9311058858240927,0.06806948255092979
B5-e003Coalescence-mGAM-p7,0.013845046495049348,0.9854754465536705
E5-e004Assembly-mGAM-p7,0.031186704697601035,0.021743353790356967
D5-e003Coalescence-Inoculumn-mGAM,6.844723756136048e-05,0.9998489615716214
C4-e003Coalescence-mGAM-p5,0.9988122129702616,0.0005838745341317587
C5-e003Coalescence-mGAM-p7,0.0016360178872303875,0.9979961997637739
C5-e003Coalescence-mBHI-inoculumn-redo,0.667,0.316
D5-e003Coalescence-mBHI-p5,0.9991560981106324,0.0004750629562070126
D4-e003Coalescence-mGAM-p7,0.0019260418719673786,0.9980218240096405
E3-e004Assembly-mGAM-p7,0.06493833047113509,0.049199594941502764
C4-e003Coalescence-mGAM-p3,0.999766790216122,7.042850973777487e-05
B2-e003Coalescence-Inoculumn-mGAM,0.053333590096957595,0.07339846272340368
D5-e003Coalescence-mGAM-p7,0.051207248296025056,0.9464019311933364
C5-e003Coalescence-mGAM-p3,0.15200000000000002,0.833
A3-e003Coalescence-Inoculumn-mGAM,0.15457348532272455,0.18177988835301315
D10-e003Assembly-mGAM-p3,0.7966561449374936,0.18349652561306265
C3-e003Coalescence-mGAM-p5,0.984762985093151,0.009846724635709193
C10-e003GlycerolRevival-mGAM-p2,0.9638652817386555,0.03410257918773371
A10-e003Coalescence-mGAM-p3,0.9998000591660673,4.506535409281747e-05
D11-e003Assembly-mGAM-p3,0.09882192173019164,0.8974458292814583
D5-e003Coalescence-Inoculumn-mBHI,0.0027417316434510956,0.995558768217722
B2-e003Coalescence-mGAM-p3,0.9977397338289663,0.0020556403250031005
B4-e003Assembly-mBHI-p3,0.7832719433848805,0.18310204811135164
C11-e003Coalescence-mGAM-p5,0.737,0.25
D5-e004Assembly-mGAM-p7,0.01667460838547538,0.010670752518293608
D2-e003Coalescence-mGAM-p5,0.0001233199488245861,0.9998606074892972
D3-e003Coalescence-mGAM-p3,0.308,0.677
D3-e003Coalescence-mGAM-p5,0.071,0.925
C10-e003Coalescence-mGAM-p3,0.9995699888477522,0.00025296526997872445
A5-e003Coalescence-mBHI-inoculumn-redo,0.16885216323800734,0.8168979518886483
B11-e003Assembly-mGAM-p3,0.02889942580916118,0.9709069676872899
C3-e003Coalescence-Inoculumn-mGAM,0.9642860047915246,0.027645040155244834
A3-e003Coalescence-mGAM-p7,0.9891587152631202,0.010720092632584655
D4-e003Coalescence-Inoculumn-mBHI,0.65,0.333
D10-e003Coalescence-mGAM-p7,0.833,0.149
C12-e003Coalescence-mGAM-p3,0.769,0.071728102545934
C11-e003Coalescence-mGAM-p3,0.732,0.25
D5-e004Assembly-mGAM-p3,0.01369047028397706,0.008663214691681922
C10-e003Coalescence-mBHI-p7,0.9822851692831867,0.014674332544873325
C11-e003Coalescence-mBHI-p5,0.9899084652231049,0.008164471237634304
E3-e004Assembly-mGAM-p5,0.022665714627189026,0.015325401474277255
D10-e003Coalescence-mGAM-p3,0.6,0.381
C4-e004Assembly-mBHI-p3,0.2542033055583472,0.23925957505658632
C2-e003Coalescence-Inoculumn-mGAM,0.6345000000000001,0.021585805139593142
D11-e003Coalescence-mGAM-p7,7.408197902357887e-05,0.999883288487162
D5-e003Coalescence-mGAM-p3,6.873570918091684e-05,0.9999417639081252
E4-e004Assembly-mGAM-p5,0.1471283423028654,0.1359398680871022
E5-e004Assembly-mGAM-p3,0.05214192732351908,0.03632256789069359
B4-e003Coalescence-Inoculumn-mGAM,0.9780256480870224,0.016821874207450148
A10-e003Coalescence-mGAM-p7,0.9967495027160904,0.0020890937424853945
C4-e003Coalescence-Inoculumn-mGAM,1.0,-0.0
D4-e003Coalescence-mGAM-p3,0.357,0.622
D11-e003Assembly-mGAM-p5,0.06921719869248677,0.9171406399746811
C3-e003Coalescence-mGAM-p7,0.9988254201903439,0.0006827527842244189
B11-e003GlycerolRevival-mGAM-p2,0.01936275985283351,0.9791098363809296
B3-e003Coalescence-mGAM-p5,0.9914129090725696,0.008336447817133523
D3-e004Assembly-mGAM-p5,0.035946987522729054,0.02515849249529741
D4-e004Assembly-mGAM-p7,0.03031856144324466,0.022943027621586662
C11-e003Coalescence-mGAM-p7,0.808,0.182
C11-e003Assembly-mGAM-p3,0.011873294451044345,0.9834615969336039
D10-e003Coalescence-mBHI-p7,0.8715091013151438,0.12637729193059186
C11-e003Assembly-mGAM-p5,0.003037811706521448,0.9949582082542897
B10-e003GlycerolRevival-mGAM-p2,0.8378404967133467,0.15962005743863297
C2-e003Coalescence-mBHI-inoculumn-redo,0.9606428461343279,0.03300749359584651
A8-e003Coalescence-mGAM-p7,0.09816023855161474,0.1143354438408274
C11-e003GlycerolRevival-mGAM-p2,0.00611824904500709,0.9910484321493552
C10-e003Coalescence-mGAM-p5,0.9997129148430477,8.073640009926755e-05
A5-e003Coalescence-Inoculumn-mGAM,0.009444938003979162,0.722
D4-e003Coalescence-Inoculumn-mGAM,0.4,0.556
C10-e003Coalescence-mBHI-p5,0.9866402190877595,0.013117011643884277
C3-e003Coalescence-mBHI-inoculumn-redo,0.9987675657006903,0.0007182563692444152
e004-inoculumn-fecal-AR,0.08002270562250408,0.06334530529315882
B5-e003Coalescence-mGAM-p3,0.0373561908339431,0.9582680829859289
C2-e003Coalescence-mGAM-p5,0.9988400618359438,0.000699455677736569
B8-e003GlycerolRevival-mGAM-p2,0.18974114304234524,0.2056389545543552
C8-e003Coalescence-mBHI-p5,0.8,0.04284108629232886
B4-e003Coalescence-Inoculumn-mBHI,0.9988122129702616,0.0007098376870707287
D2-e003Coalescence-Inoculumn-mGAM,0.011035289990113493,0.741
D3-e003Coalescence-Inoculumn-mGAM,0.0005119180383902408,0.9987260265578227
C5-e003Coalescence-Inoculumn-mGAM,0.419,0.561
C4-e003Coalescence-mBHI-p5,0.9997227392505627,0.0001233716564870292
BC-Fecal,0.23315435133763185,0.279302807373282
e004-inoculumn-fecal-BE,0.20958745750611465,0.1809784436543322
A11-e003Coalescence-mBHI-p3,0.031985310498124926,0.231
A4-e003Coalescence-Inoculumn-mGAM,0.591,0.009136473622012472
C10-e003Coalescence-mGAM-p7,0.9998866471799138,1.689617498641969e-05
A11-e003Coalescence-mGAM-p3,0.0017785100177924236,0.9940055370025596
C10-e003Coalescence-mBHI-p3,0.9964950612065477,0.002695737713060506
H111-e003Coalescence-mGAM-p7_S188,5.8193706366931476e-05,0.9995770999068556
H4-e003Coalescence-mGAM-p7_S183,0.00024645399949985923,0.9992005843180544
F5-e003Coalescence-mGAM-p5_S64,0.0009932965743898782,0.9984616545014925
F5-e003Coalescence-mGAM-p7_S160,0.0027007291698529505,0.9959334142086457
E3-e003Coalescence-mGAM-p3_S58,0.9964950612065477,0.0025497565230118016
G4-e003Coalescence-mBHI-p5_S27,0.9996416573731268,9.206292430696219e-05
