,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,0.4076124626547162,0.31977853035143766
C9-e003Coalescence-mGAM-p3,0.2185313700384123,0.6672379552715656
C11-e003Coalescence-mBHI-p3,0.43249850618864705,0.3365830031948882
D11-e003Coalescence-mBHI-p5,0.3728454972257789,0.37050351437699675
C9-e003Coalescence-mGAM-p7,0.4455774647887324,0.36966313099041537
C8-e003Coalescence-mGAM-p7,0.7768749466495946,0.2453867092651757
D10-e003Coalescence-mBHI-p3,0.4618139137857449,0.3328596805111821
F3-e004Assembly-epsilon-p3,0.451108408023901,0.30804140575079875
B2-e003Coalescence-mBHI-p3,0.04491165172855314,0.7205734185303514
A8-e003Coalescence-mBHI-p3,0.9155049082373027,0.20949380191693287
e004-inoculumn-fecal-BD,0.43149807938540335,0.32899207667731634
A4-e003Coalescence-mBHI-p7,0.41968971404182676,0.2506544408945687
B9-e003Coalescence-mGAM-p5,0.0,0.9990893290734824
A4-e003Coalescence-mBHI-inoculumn-redo,0.5970567648314127,0.28630044728434506
B3-e003Coalescence-mBHI-p3,0.004191634656423391,0.9930884345047924
D4-e003Coalescence-mBHI-p5,0.39152966282543744,0.36245712460063895
C2-e003Coalescence-mBHI-p5,0.147722577891592,0.09687207667731629
B3-e004Assembly-mBHI-p7,0.4564507042253521,0.3017516932907348
B5-e004Assembly-mBHI-p7,0.3030089628681178,0.21750798722044729
D4-e003Coalescence-mBHI-p3,0.3883568075117371,0.3672828115015975
C4-e003GlycerolRevival-mBHI-p2,0.48877635510029876,0.3038943130990415
D10-e003Assembly-mGAM-p5,0.31374562526675204,0.19870888178913737
B2-e003Assembly-mBHI-p5,0.36742637644046094,0.06170555910543131
C3-e004Assembly-mBHI-p5,0.4443802816901408,0.2979405750798722
B8-e003Assembly-mGAM-p5,0.8769573196756296,0.20636958466453675
F4-e004Assembly-epsilon-p5,0.43272983354673494,0.330307731629393
C4-e003Coalescence-mGAM-p7,0.4760422535211267,0.30950300319488816
B12-e003Coalescence-mBHI-p3,0.003034144259496372,0.9684977635782748
D3-e004Assembly-mGAM-p7,0.4541694408877508,0.29879999999999995
C8-e003Assembly-mGAM-p3,0.8989731113956465,0.20842440894568687
C3-e003Coalescence-mGAM-p3,0.44622791293213837,0.3790195527156549
B4-e003Assembly-mBHI-p5,0.46229022620571913,0.30430274760383386
D4-e004Assembly-mGAM-p5,0.43832693128467776,0.333343642172524
D3-e003Coalescence-Inoculumn-mBHI,0.12994921041399915,0.786907731629393
C8-e003Assembly-mGAM-p5,0.9027669654289373,0.208770607028754
C3-e003Coalescence-mBHI-p7,0.17049722577891593,0.756782875399361
D11-e003Coalescence-mGAM-p5,0.3782829705505762,0.3703881150159744
A11-e003Coalescence-mGAM-p7,0.39163081519419546,0.3715079872204473
B8-e003Coalescence-mBHI-p5,0.18110798122065727,0.8206190415335464
B10-e003Assembly-mGAM-p5,0.42841314553990606,0.29262543130990415
C2-e003Coalescence-mGAM-p7,0.48063807084933846,0.31296115015974446
D3-e003Coalescence-mBHI-p5,0.1086419120785318,0.8123520766773162
B11-e003Coalescence-mGAM-p3,0.383611182244985,0.4239375079872204
C4-e003Coalescence-mBHI-inoculumn-redo,0.4820072556551429,0.3089660063897764
B5-e003Assembly-mBHI-p5,0.3713892445582586,0.36044971246006385
D2-e003Coalescence-mBHI-p5,0.38054929577464786,0.3163638338658147
D8-e003Assembly-mGAM-p5,0.8991694408877507,0.21034683706070287
D5-e003Coalescence-mGAM-p5,0.39849423815621,0.38226607028753995
B5-e003Coalescence-mBHI-p5,0.1415117370892019,0.7699704792332268
D5-e003Coalescence-mBHI-p7,0.32907682458386683,0.4946838338658147
C9-e003Coalescence-mBHI-p5,0.38835552710200594,0.4156527795527157
A5-e003Coalescence-mGAM-p3,0.395783183952198,0.3811845367412141
A2-e003Coalescence-Inoculumn-mGAM,0.9130674349125053,0.2125532268370607
E5-e004Assembly-mGAM-p5,0.26504481434058896,0.20217252396166135
D8-e003Coalescence-mGAM-p5,0.4194007682458387,0.37674364217252393
A12-e003Coalescence-mGAM-p3,0.441273154075971,0.35637801916932904
C2-e003Coalescence-mBHI-p3,0.49164788732394366,0.2933104153354633
C4-e004Assembly-mBHI-p5,0.36107554417413573,0.286075910543131
D9-e003Coalescence-mGAM-p7,0.3826781903542467,0.4138580191693291
D4-e003Coalescence-mBHI-p7,0.4101165172855314,0.3764035782747604
D8-e003Assembly-mGAM-p3,0.890189073836961,0.20687782747603833
E4-e004Assembly-mGAM-p7,0.42765685019206146,0.3266755271565495
E3-e004Assembly-mGAM-p3,0.45330815194195473,0.30832038338658146
B10-e003Coalescence-mGAM-p3,0.21306658130601794,0.6938376996805111
A9-e003Coalescence-mGAM-p7,0.1792018779342723,0.8298553354632588
D5-e004Assembly-mGAM-p5,0.1284677763551003,0.1063258785942492
B5-e003Coalescence-Inoculumn-mGAM,0.3057008109261631,0.5116952076677317
D10-e003Coalescence-mBHI-p5,0.44038326931284677,0.31951948881789133
D5-e003Coalescence-mBHI-p3,0.38897140418267173,0.37892715654952075
C5-e003Coalescence-mBHI-p3,0.33515749039692705,0.3136098402555911
D9-e003Coalescence-mGAM-p5,0.3861224925309433,0.4225219169329073
C9-e003Coalescence-mBHI-p3,0.44150277422108397,0.3565458146964856
D10-e003Coalescence-mGAM-p5,0.4023051643192488,0.38669520766773163
C8-e003Coalescence-mBHI-p7,0.5208911651728554,0.19317520766773164
B11-e003Assembly-mGAM-p5,0.3762953478446436,0.37292140575079874
G3-e004Assembly-epsilon-p7,0.4016969696969697,0.28124575079872205
B4-e003Coalescence-mGAM-p5,0.41735424669227483,0.41366990415335464
D4-e003Coalescence-mGAM-p5,0.3778634229620145,0.3726705431309904
C3-e004Assembly-mBHI-p7,0.4509048228766538,0.2990287539936102
B5-e003Coalescence-mGAM-p5,0.3949432351685872,0.3844086900958466
BB-Fecal,0.24199743918053776,0.22474977635782747
B5-e003Coalescence-Inoculumn-mBHI,0.131265898420828,0.7884862619808306
G3-e004Assembly-epsilon-p3,0.43142424242424243,0.29779629392971246
C2-e003Coalescence-mGAM-p3,0.47881092616303883,0.308769840255591
B5-e003Coalescence-mGAM-p7,0.39424541186513024,0.3833509265175719
D8-e003Coalescence-mBHI-p5,0.7148553137003841,0.27907693290734825
E5-e004Assembly-mGAM-p7,0.253947930004268,0.18389776357827475
C10-e003Assembly-mGAM-p3,0.4702163892445583,0.2926181469648562
B10-e003Coalescence-mBHI-p5,0.25333077251387115,0.610924856230032
D5-e003Coalescence-Inoculumn-mGAM,0.36809859154929575,0.3662572523961661
B3-e004Assembly-mBHI-p5,0.4474272300469484,0.3018470287539936
B5-e003Coalescence-mBHI-p3,0.2570320102432779,0.5921313738019169
G4-e004Assembly-epsilon-p5,0.431924882629108,0.3289953993610224
C4-e003Coalescence-mGAM-p5,0.4977362355953905,0.3115377635782748
C5-e003Coalescence-mGAM-p7,0.3785522833973538,0.37333571884984024
C5-e003Coalescence-mBHI-inoculumn-redo,0.45428297055057626,0.3415418530351438
A10-e003Coalescence-mBHI-p5,0.43919419547588556,0.16137571884984023
BF-Fecal,0.3125749039692702,0.24913597444089455
AM-Fecal,0.34101579172001706,0.24830670926517573
B8-e003Assembly-mGAM-p3,0.8616811779769528,0.2047244728434505
A4-e003Coalescence-mGAM-p5,0.38005420401195056,0.40163450479233226
D5-e003Coalescence-mBHI-p5,0.49335638070849336,0.3123446645367412
D3-e003Assembly-mBHI-p3,0.0016453265044814342,0.9914345047923323
D4-e003Coalescence-mGAM-p7,0.37295731967562956,0.36794913738019175
A8-e003Coalescence-mBHI-p7,0.9051523687580025,0.21202773162939298
e003-inoculumn-fecal-AC,0.2212667520273154,0.6980760383386581
E3-e004Assembly-mGAM-p7,0.4049650021340162,0.27525214057507985
B9-e003GlycerolRevival-mGAM-p2,0.0,0.9501597444089457
C4-e003Coalescence-mGAM-p3,0.4992270593256509,0.3143741853035144
B2-e003Coalescence-Inoculumn-mGAM,0.7659142125480153,0.32609316293929713
D5-e003Coalescence-mGAM-p7,0.37905121638924455,0.37031539936102237
C5-e003Coalescence-mBHI-p5,0.41424413145539907,0.3755566773162939
C5-e003Coalescence-mGAM-p3,0.38180537772087064,0.37745124600638985
A3-e003Coalescence-mBHI-inoculumn-redo,0.09171020059752454,0.8122474121405752
D9-e003Assembly-mGAM-p5,0.0,0.7129487539936102
B12-e003Coalescence-mGAM-p3,0.3798344003414426,0.4153612779552716
A11-e003Coalescence-mBHI-p7,0.6856457533077251,0.2349073482428115
