,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,1861,2196
C9-e003Coalescence-mGAM-p3,1964,2325
C11-e003Coalescence-mBHI-p3,1917,2285
D11-e003Coalescence-mBHI-p5,1786,2150
C9-e003Coalescence-mGAM-p7,1939,2303
C8-e003Coalescence-mGAM-p7,1961,2329
D10-e003Coalescence-mBHI-p3,1973,2329
F3-e004Assembly-epsilon-p3,1928,2278
B2-e003Coalescence-mBHI-p3,1509,1775
A8-e003Coalescence-mBHI-p3,1919,2315
e004-inoculumn-fecal-BD,1884,2219
A4-e003Coalescence-mBHI-p7,1662,2050
B9-e003Coalescence-mGAM-p5,1937,2290
A4-e003Coalescence-mBHI-inoculumn-redo,1974,2334
B3-e003Coalescence-mBHI-p3,1944,2295
D4-e003Coalescence-mBHI-p5,1867,2203
C2-e003Coalescence-mBHI-p5,697,719
B3-e004Assembly-mBHI-p7,1923,2269
B5-e004Assembly-mBHI-p7,1928,2301
D4-e003Coalescence-mBHI-p3,1824,2182
C4-e003GlycerolRevival-mBHI-p2,1923,2284
D10-e003Assembly-mGAM-p5,1372,1627
B2-e003Assembly-mBHI-p5,753,852
C3-e004Assembly-mBHI-p5,1906,2241
B8-e003Assembly-mGAM-p5,1836,2277
F4-e004Assembly-epsilon-p5,1893,2215
C4-e003Coalescence-mGAM-p7,1960,2300
B12-e003Coalescence-mBHI-p3,1886,2233
D3-e004Assembly-mGAM-p7,1906,2252
C8-e003Assembly-mGAM-p3,1903,2322
C3-e003Coalescence-mGAM-p3,1974,2334
B4-e003Assembly-mBHI-p5,1959,2274
D4-e004Assembly-mGAM-p5,1899,2238
D3-e003Coalescence-Inoculumn-mBHI,1973,2329
C8-e003Assembly-mGAM-p5,1897,2321
C3-e003Coalescence-mBHI-p7,1968,2320
D11-e003Coalescence-mGAM-p5,1794,2152
A11-e003Coalescence-mGAM-p7,1838,2204
B8-e003Coalescence-mBHI-p5,1938,2302
B10-e003Assembly-mGAM-p5,1910,2196
C2-e003Coalescence-mGAM-p7,1973,2334
D3-e003Coalescence-mBHI-p5,1956,2307
B11-e003Coalescence-mGAM-p3,1966,2326
C4-e003Coalescence-mBHI-inoculumn-redo,1975,2335
B5-e003Assembly-mBHI-p5,1839,2122
D2-e003Coalescence-mBHI-p5,1682,1975
