,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,0.38788128606760097,0.11780897330030278
C9-e003Coalescence-mGAM-p3,0.2827699917559769,0.7770437654830719
C11-e003Coalescence-mBHI-p3,0.3194558944765045,0.03826039086154693
D11-e003Coalescence-mBHI-p5,0.886232481450948,0.0
C9-e003Coalescence-mGAM-p7,0.2708161582852432,0.772859895403248
C8-e003Coalescence-mGAM-p7,0.03215169002473207,0.732672722268098
D10-e003Coalescence-mBHI-p3,0.2617477328936521,0.011890999174236168
F3-e004Assembly-epsilon-p3,0.31863149216817804,0.7538673272777319
B2-e003Coalescence-mBHI-p3,0.32481450948062657,0.6907239196256537
A8-e003Coalescence-mBHI-p3,0.006183017312448475,0.8188824662813102
e004-inoculumn-fecal-BD,0.5292662819455894,0.773960913845307
A4-e003Coalescence-mBHI-p7,0.2951360263808739,0.7389485273878338
B9-e003Coalescence-mGAM-p5,0.5119538334707338,0.8345169281585466
A4-e003Coalescence-mBHI-inoculumn-redo,0.016075845012366034,0.7205064684833471
B3-e003Coalescence-mBHI-p3,0.3582028029678483,0.7995045417010735
D4-e003Coalescence-mBHI-p5,0.5791426215993405,0.0008257638315441783
C2-e003Coalescence-mBHI-p5,0.13849958779884583,0.29474263693916875
B3-e004Assembly-mBHI-p7,0.4443528441879637,0.8244426094137077
B5-e004Assembly-mBHI-p7,0.6195383347073372,0.9066336361134049
D4-e003Coalescence-mBHI-p3,0.5985160758450123,0.0002202036884117809
C4-e003GlycerolRevival-mBHI-p2,0.3742786479802143,0.8499311863473713
D10-e003Assembly-mGAM-p5,0.23289365210222587,0.619102669969722
B2-e003Assembly-mBHI-p5,0.007007419620774938,0.4106248279658684
C3-e004Assembly-mBHI-p5,0.4476504534212696,0.8226259289843105
B8-e003Assembly-mGAM-p5,0.03998351195383347,0.8535094962840628
F4-e004Assembly-epsilon-p5,0.5309150865622424,0.7816680429397193
C4-e003Coalescence-mGAM-p7,0.2539159109645507,0.7715937241948803
B12-e003Coalescence-mBHI-p3,0.5049464138499588,0.7926231764382053
D3-e004Assembly-mGAM-p7,0.4480626545754328,0.8230112854390311
C8-e003Assembly-mGAM-p3,0.009068425391591096,0.8217451142306633
