,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.19254990189666446,0.6355432387312187
C9-e003Coalescence-mGAM-p3,0.4890036625245258,0.4332360601001669
C11-e003Coalescence-mBHI-p3,0.20712635709614127,0.6738267111853088
D11-e003Coalescence-mBHI-p5,0.3492534990189667,0.39761435726210353
C9-e003Coalescence-mGAM-p7,0.08719424460431655,0.8839322203672788
C8-e003Coalescence-mGAM-p7,0.22766684107259647,0.5536534223706177
D10-e003Coalescence-mBHI-p3,0.1630609548724657,0.7475135225375625
F3-e004Assembly-epsilon-p3,0.27599254414650093,0.44682704507512516
B2-e003Coalescence-mBHI-p3,0.6524579463701766,0.02555358931552587
A8-e003Coalescence-mBHI-p3,0.2544638325703074,0.42812687813021705
e004-inoculumn-fecal-BD,0.28387913669064746,0.40925776293823035
A4-e003Coalescence-mBHI-p7,0.039443819489862655,0.7816247078464107
B9-e003Coalescence-mGAM-p5,0.9739254414650098,0.0002046744574290484
A4-e003Coalescence-mBHI-inoculumn-redo,0.17933525179856116,0.7677823038397328
B3-e003Coalescence-mBHI-p3,0.9731843034663179,0.0027659432387312196
D4-e003Coalescence-mBHI-p5,0.3378371484630478,0.4585412353923205
C2-e003Coalescence-mBHI-p5,0.0836217135382603,0.19040200333889817
B3-e004Assembly-mBHI-p7,0.2735372138652714,0.43717429048414025
B5-e004Assembly-mBHI-p7,0.19895748855461087,0.24038864774624372
D4-e003Coalescence-mBHI-p3,0.3412418574231524,0.43692487479131886
C4-e003GlycerolRevival-mBHI-p2,0.0048800523217789405,0.9592737896494156
D10-e003Assembly-mGAM-p5,0.08229365598430347,0.568064774624374
B2-e003Assembly-mBHI-p5,0.08419960758665794,0.16430150250417364
C3-e004Assembly-mBHI-p5,0.2686396337475474,0.4319689482470785
B8-e003Assembly-mGAM-p5,0.24918469587965994,0.411477796327212
F4-e004Assembly-epsilon-p5,0.28696324395029427,0.4066397328881469
C4-e003Coalescence-mGAM-p7,0.1436306082406802,0.8402691151919865
B12-e003Coalescence-mBHI-p3,0.9269644211903205,0.003268447412353924
D3-e004Assembly-mGAM-p7,0.27011772400261613,0.44275826377295496
C8-e003Assembly-mGAM-p3,0.2514431654676259,0.4183095158597663
C3-e003Coalescence-mGAM-p3,0.256858469587966,0.7460604340567613
B4-e003Assembly-mBHI-p5,0.2530723348593852,0.700893489148581
D4-e004Assembly-mGAM-p5,0.28808109875735777,0.41402337228714525
D3-e003Coalescence-Inoculumn-mBHI,0.7667508175277958,0.13007378964941568
C8-e003Assembly-mGAM-p5,0.2524626553302812,0.42524641068447405
C3-e003Coalescence-mBHI-p7,0.7319646827992152,0.22644974958263775
D11-e003Coalescence-mGAM-p5,0.3502307390451275,0.3948260434056761
A11-e003Coalescence-mGAM-p7,0.3535267495094833,0.39526076794657766
B8-e003Coalescence-mBHI-p5,0.8118383257030738,0.0819779632721202
B10-e003Assembly-mGAM-p5,0.25633695225637676,0.65650183639399
C2-e003Coalescence-mGAM-p7,0.269106867233486,0.7200320534223706
D3-e003Coalescence-mBHI-p5,0.7879107913669064,0.11237529215358932
B11-e003Coalescence-mGAM-p3,0.40744303466317855,0.3947709515859766
C4-e003Coalescence-mBHI-inoculumn-redo,0.15879385219097447,0.81879632721202
B5-e003Assembly-mBHI-p5,0.3374761281883584,0.3768487479131887
D2-e003Coalescence-mBHI-p5,0.30030398953564424,0.34545475792988317
D8-e003Assembly-mGAM-p5,0.25550412034009157,0.42200534223706176
D5-e003Coalescence-mGAM-p5,0.3682623937213865,0.407645409015025
B5-e003Coalescence-mBHI-p5,0.7415692609548725,0.1392380634390651
D5-e003Coalescence-mBHI-p7,0.4806155657292348,0.3237212020033389
C9-e003Coalescence-mBHI-p5,0.1795080444735121,0.7507335559265442
A5-e003Coalescence-mGAM-p3,0.3643478090255069,0.4094761268781302
A2-e003Coalescence-Inoculumn-mGAM,0.25736442119032044,0.42311085141903176
E5-e004Assembly-mGAM-p5,0.17828646173969914,0.21202003338898165
D8-e003Coalescence-mGAM-p5,0.3605466317854807,0.4114417362270451
A12-e003Coalescence-mGAM-p3,0.34283387835186396,0.4038894824707846
C2-e003Coalescence-mBHI-p3,0.26600470896010464,0.6449709515859766
C4-e004Assembly-mBHI-p5,0.24506788750817526,0.3402337228714524
D9-e003Coalescence-mGAM-p7,0.39531746239372134,0.39567846410684465
D4-e003Coalescence-mBHI-p7,0.35489601046435576,0.47118931552587645
D8-e003Assembly-mGAM-p3,0.24814924787442774,0.4119232053422371
E4-e004Assembly-mGAM-p7,0.28127599738391107,0.4012340567612688
E3-e004Assembly-mGAM-p3,0.2770311314584696,0.4386340567612688
B10-e003Coalescence-mGAM-p3,0.5332657946370176,0.41054090150250416
A9-e003Coalescence-mGAM-p7,0.8299925441465009,0.0825585976627713
D5-e004Assembly-mGAM-p5,0.08894702419882276,0.1018363939899833
B5-e003Coalescence-Inoculumn-mGAM,0.48906200130804445,0.3191829716193656
D10-e003Coalescence-mBHI-p5,0.15028162197514716,0.7266808013355591
D5-e003Coalescence-mBHI-p3,0.3612702419882276,0.3974313856427379
C5-e003Coalescence-mBHI-p3,0.28452531066056247,0.41747913188647745
D9-e003Coalescence-mGAM-p5,0.40800313930673643,0.3931432387312187
