,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
B5-e004Assembly-mBHI-p3,96,678
B9-e003Coalescence-mGAM-p5,84,611
B3-e003Coalescence-mBHI-p3,147,1083
D4-e003Coalescence-mBHI-p5,100,677
B5-e004Assembly-mBHI-p7,129,977
D4-e003Coalescence-mBHI-p3,91,635
C4-e003GlycerolRevival-mBHI-p2,139,1063
F4-e004Assembly-epsilon-p5,97,842
B12-e003Coalescence-mBHI-p3,67,428
D3-e003Coalescence-Inoculumn-mBHI,147,1083
C3-e003Coalescence-mBHI-p7,138,1020
B8-e003Coalescence-mBHI-p5,147,1073
D3-e003Coalescence-mBHI-p5,112,911
B5-e003Assembly-mBHI-p5,100,639
B5-e003Coalescence-mBHI-p5,137,976
D5-e003Coalescence-mBHI-p7,139,999
C9-e003Coalescence-mBHI-p5,144,1055
D4-e003Coalescence-mBHI-p7,131,955
D5-e003Coalescence-mBHI-p3,142,1054
C5-e003Coalescence-mBHI-p3,44,348
C9-e003Coalescence-mBHI-p3,146,1069
B5-e003Coalescence-Inoculumn-mBHI,147,1079
B10-e003Coalescence-mBHI-p5,132,985
B5-e003Coalescence-mBHI-p3,142,1032
C5-e003Coalescence-mBHI-inoculumn-redo,146,1078
A4-e003Coalescence-mGAM-p5,147,1081
C5-e003Coalescence-mBHI-p5,147,1079
A3-e003Coalescence-mBHI-inoculumn-redo,147,1083
D3-e003Assembly-mBHI-p5,147,1064
A9-e003Coalescence-mBHI-p3,147,1081
A2-e003Coalescence-Inoculumn-mBHI,147,1083
D3-e003Coalescence-mBHI-p7,144,1067
C3-e003Coalescence-mBHI-p5,94,644
B3-e003Assembly-mBHI-p5,103,706
A9-e003Coalescence-mBHI-p5,136,959
D5-e003Coalescence-Inoculumn-mBHI,147,1083
B3-e003Coalescence-Inoculumn-mBHI,147,1083
D5-e003Assembly-mBHI-p5,102,760
A5-e003Coalescence-mBHI-p7,60,453
A5-e003Coalescence-mBHI-inoculumn-redo,141,1031
B5-e003Coalescence-mBHI-p7,143,1050
D4-e003Coalescence-Inoculumn-mBHI,139,1070
B3-e003Coalescence-mBHI-p7,144,997
B9-e003Coalescence-mBHI-p5,147,1078
F4-e004Assembly-epsilon-p3,129,990
B10-e003Coalescence-mBHI-p3,145,1075
C3-e003GlycerolRevival-mBHI-p2,146,1065
A9-e003Coalescence-mBHI-p7,145,1073
D2-e003Coalescence-Inoculumn-mBHI,127,987
B2-e003Assembly-mBHI-p3,131,952
F4-e004Assembly-epsilon-p7,104,788
D9-e003Coalescence-mBHI-p5,131,919
B9-e003Coalescence-mBHI-p7,131,979
C5-e004Assembly-mBHI-p7,45,401
D9-e003Coalescence-mBHI-p7,129,894
C5-e003Coalescence-mBHI-p7,146,1065
C9-e003Coalescence-mBHI-p7,81,619
B3-e003Coalescence-mBHI-p5,88,678
B2-e003Coalescence-Inoculumn-mBHI,147,1083
AG-Fecal,144,1068
B5-e004Assembly-mBHI-p5,93,655
B9-e003Coalescence-mBHI-p3,145,1072
C3-e003Coalescence-mBHI-inoculumn-redo,144,1078
e004-inoculumn-fecal-AR,37,352
BK-Fecal,53,367
A2-e003Coalescence-mBHI-inoculumn-redo,129,972
B4-e003Coalescence-Inoculumn-mBHI,143,1059
B8-e003Coalescence-mBHI-p7,104,724
B11-e003Coalescence-mBHI-p3,126,927
B2-e004Assembly-mBHI-p3,88,706
B2-e004Assembly-mBHI-p5,125,961
B4-e003Coalescence-mBHI-p3,142,1065
A5-e003Coalescence-Inoculumn-mBHI,80,593
C5-e003GlycerolRevival-mBHI-p2,146,1057
H5-e003Coalescence-mBHI-p5_S40,146,1071
G5-e003Coalescence-mBHI-p7_S124,146,1075
F8-e003Coalescence-mBHI-p3_S117,116,810
H3-e003Coalescence-mBHI-p3_S46,144,1048
F100-e003Coalescence-mGAM-p7_S163,63,484
F9-e003Coalescence-mBHI-p5_S18,142,1058
H3-e003Coalescence-mBHI-p7_S134,131,957
E9-e003Coalescence-mBHI-p5_S6,146,1059
G5-e003Coalescence-mBHI-p3_S36,107,782
E9-e003Coalescence-mBHI-p7_S102,143,1066
F5-e003Coalescence-mBHI-p5_S16,136,971
G3-e003Coalescence-mBHI-p3_S34,146,1071
F9-e003Coalescence-mBHI-p3_S118,38,283
G3-e003Coalescence-mBHI-p5_S26,147,1082
G5-e003Coalescence-mBHI-p5_S28,147,1081
E8-e003Coalescence-mBHI-p7_S101,44,349
F3-e003Coalescence-mBHI-p3_S22,146,1080
G3-e003Coalescence-mBHI-p7_S122,146,1081
F4-e003Coalescence-mBHI-p7_S111,146,1068
F3-e003Coalescence-mBHI-p5_S14,147,1077
F100-e003Coalescence-mBHI-p7_S115,147,1077
H4-e003Coalescence-mBHI-p7_S135,144,1054
H3-e003Coalescence-mBHI-p5_S38,144,1049
F8-e003Coalescence-mBHI-p7_S113,117,967
H4-e003Coalescence-mBHI-p3_S47,144,1059
F3-e003Coalescence-mBHI-p7_S110,97,643
F4-e003Coalescence-mBHI-p5_S15,141,1026
F4-e003Coalescence-mBHI-p3_S23,145,1038
G9-e003Coalescence-mBHI-p3_S130,132,986
H4-e003Coalescence-mBHI-p5_S39,146,1075
H9-e003Coalescence-mBHI-p5_S42,145,1050
F5-e003Coalescence-mBHI-p3_S24,139,1050
H5-e003Coalescence-mBHI-p7_S136,77,622
G9-e003Coalescence-mBHI-p5_S30,144,1055
F111-e003Coalescence-mBHI-p7_S116,97,651
F5-e003Coalescence-mBHI-p7_S112,108,677
F111-e003Coalescence-mBHI-p3_S120,56,340
F8-e003Coalescence-mBHI-p5_S17,144,1059
