,0.025,0.025
B5-e004Assembly-mBHI-p3,0.0,0.0
B9-e003Coalescence-mGAM-p5,0.0,0.0
B3-e003Coalescence-mBHI-p3,0.0,0.0
D4-e003Coalescence-mBHI-p5,0.0,1.0
B5-e004Assembly-mBHI-p7,0.0,0.0
D4-e003Coalescence-mBHI-p3,0.0,1.0
C4-e003GlycerolRevival-mBHI-p2,0.0,0.0
F4-e004Assembly-epsilon-p5,0.0,0.0
B12-e003Coalescence-mBHI-p3,0.0,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.0,0.2715
C3-e003Coalescence-mBHI-p7,0.0,0.0
B8-e003Coalescence-mBHI-p5,0.0,0.0
D3-e003Coalescence-mBHI-p5,0.0,0.545
B5-e003Assembly-mBHI-p5,0.0,0.5593750000000001
B5-e003Coalescence-mBHI-p5,0.0,0.286
D5-e003Coalescence-mBHI-p7,0.0,0.308
C9-e003Coalescence-mBHI-p5,0.0,0.0
D4-e003Coalescence-mBHI-p7,0.0,1.0
D5-e003Coalescence-mBHI-p3,0.0,0.5
C5-e003Coalescence-mBHI-p3,0.0,0.556
C9-e003Coalescence-mBHI-p3,0.0,0.0
B5-e003Coalescence-Inoculumn-mBHI,0.0,0.227
B10-e003Coalescence-mBHI-p5,0.0,0.0
B5-e003Coalescence-mBHI-p3,0.0,0.0
C5-e003Coalescence-mBHI-inoculumn-redo,0.0,0.6540250000000001
A4-e003Coalescence-mGAM-p5,0.0,0.47685
C5-e003Coalescence-mBHI-p5,0.0,0.808
A3-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
D3-e003Assembly-mBHI-p5,0.0,0.0
A9-e003Coalescence-mBHI-p3,0.0,0.0
A2-e003Coalescence-Inoculumn-mBHI,1.0,0.0
D3-e003Coalescence-mBHI-p7,0.0,0.667
C3-e003Coalescence-mBHI-p5,0.0,0.0
B3-e003Assembly-mBHI-p5,0.0,0.0
A9-e003Coalescence-mBHI-p5,0.0,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.0,0.8115000000000001
B3-e003Coalescence-Inoculumn-mBHI,0.0,0.0
D5-e003Assembly-mBHI-p5,0.0,0.23527500000000004
A5-e003Coalescence-mBHI-p7,0.0,1.0
A5-e003Coalescence-mBHI-inoculumn-redo,0.0,0.33299999999999996
B5-e003Coalescence-mBHI-p7,0.0,0.5
D4-e003Coalescence-Inoculumn-mBHI,0.0,0.75
B3-e003Coalescence-mBHI-p7,0.0,0.0
B9-e003Coalescence-mBHI-p5,0.0,0.0
F4-e004Assembly-epsilon-p3,0.0,0.0
B10-e003Coalescence-mBHI-p3,0.0,0.0
C3-e003GlycerolRevival-mBHI-p2,0.0,0.0
A9-e003Coalescence-mBHI-p7,0.0,0.0
D2-e003Coalescence-Inoculumn-mBHI,0.0,0.5
B2-e003Assembly-mBHI-p3,1.0,0.0
F4-e004Assembly-epsilon-p7,0.0,0.0
D9-e003Coalescence-mBHI-p5,0.0,0.0
B9-e003Coalescence-mBHI-p7,0.0,0.0
C5-e004Assembly-mBHI-p7,0.0,0.0
D9-e003Coalescence-mBHI-p7,0.0,0.0
C5-e003Coalescence-mBHI-p7,0.0,0.6736000000000001
C9-e003Coalescence-mBHI-p7,0.0,0.0
B3-e003Coalescence-mBHI-p5,0.0,0.0
B2-e003Coalescence-Inoculumn-mBHI,0.0,0.0
AG-Fecal,0.0,0.0
B5-e004Assembly-mBHI-p5,0.0,0.0
B9-e003Coalescence-mBHI-p3,0.0,0.0
C3-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
e004-inoculumn-fecal-AR,0.0,0.0
BK-Fecal,0.0,0.0
