,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.6996673669467787,0.006567576909782233
C9-e003Coalescence-mGAM-p3,0.0,0.0
D2-e004Assembly-mGAM-p7,0.7937675070028011,0.8010715520221223
B5-e004Assembly-mBHI-p3,0.31101190476190477,0.31870031109574837
C11-e003Coalescence-mBHI-p3,0.822829131652661,0.0026788800553059107
D11-e003Coalescence-mBHI-p5,0.7060574229691877,0.4656066367092983
C9-e003Coalescence-mGAM-p7,0.0,0.0
C8-e003Coalescence-mGAM-p7,0.9967612044817927,0.0
D10-e003Coalescence-mBHI-p3,0.7152485994397759,0.0006049083995852057
B2-e003Coalescence-mBHI-p3,0.0004376750700280112,0.9075354303491185
A8-e003Coalescence-mBHI-p3,0.7933298319327731,0.7905288627722088
A4-e003Coalescence-mBHI-p7,0.8551295518207283,0.0010369858278603526
B9-e003Coalescence-mGAM-p5,0.0,0.6862253715865884
A4-e003Coalescence-mBHI-inoculumn-redo,0.8190651260504201,0.0005184929139301763
B3-e003Coalescence-mBHI-p3,8.753501400560224e-05,0.9699274109920498
D4-e003Coalescence-mBHI-p5,0.33578431372549017,0.051071552022122366
B5-e004Assembly-mBHI-p7,0.7736344537815126,0.7748012443829935
D4-e003Coalescence-mBHI-p3,0.40905112044817926,0.08226754234358798
C4-e003GlycerolRevival-mBHI-p2,0.9141281512605042,0.0
G5-e004Assembly-epsilon-p3,0.7569152661064426,0.7540615278257864
C5-e004Assembly-mBHI-p3,0.49737394957983194,0.4947286553750432
D10-e003Assembly-mGAM-p5,0.9746148459383753,0.0
B2-e003Assembly-mBHI-p5,0.35180322128851543,0.34021776702385065
B2-e003Coalescence-mBHI-p5,0.00017507002801120448,0.5849464223988938
B8-e003Assembly-mGAM-p5,0.5907738095238095,0.5916004147943311
F4-e004Assembly-epsilon-p5,0.6803221288515406,0.679139301762876
C4-e003Coalescence-mGAM-p7,0.9844187675070029,0.0
B12-e003Coalescence-mBHI-p3,0.0506827731092437,0.3170584168683028
e004-inoculumn-fecal-AK,0.8070728291316527,0.814898029726927
C8-e003Assembly-mGAM-p3,0.5119922969187675,0.5021603871413758
C3-e003Coalescence-mGAM-p3,0.0,0.0
B4-e003Assembly-mBHI-p5,0.7681197478991597,0.0
D4-e004Assembly-mGAM-p5,0.7850140056022409,0.8071206360179745
D3-e003Coalescence-Inoculumn-mBHI,0.020833333333333332,0.4681991012789492
C8-e003Assembly-mGAM-p5,0.4846813725490196,0.48513653646733496
C3-e003Coalescence-mBHI-p7,8.753501400560224e-05,0.7426546837193225
D11-e003Coalescence-mGAM-p5,0.7071953781512605,0.4750259246456965
A11-e003Coalescence-mGAM-p7,0.6628151260504201,0.4573971655720705
B8-e003Coalescence-mBHI-p5,0.0,0.9654338057379882
B10-e003Assembly-mGAM-p5,0.9530812324929971,0.0
C2-e003Coalescence-mGAM-p7,0.9946603641456583,0.0
D3-e003Coalescence-mBHI-p5,0.08832282913165267,0.3796232284825441
B11-e003Coalescence-mGAM-p3,0.0,0.3700311095748358
C4-e003Coalescence-mBHI-inoculumn-redo,0.906687675070028,0.0
B5-e003Assembly-mBHI-p5,0.5102415966386554,0.34946422398893884
D2-e003Coalescence-mBHI-p5,0.6643032212885154,0.4489284479778776
D8-e003Assembly-mGAM-p5,0.5716036414565826,0.5711199446940892
D5-e003Coalescence-mGAM-p5,0.7065826330532213,0.47951952989975805
B5-e003Coalescence-mBHI-p5,0.16850490196078433,0.38437608019357067
D5-e003Coalescence-mBHI-p7,0.19152661064425772,0.4643968199101279
C9-e003Coalescence-mBHI-p5,0.0009628851540616247,0.8556861389561009
A5-e003Coalescence-mGAM-p3,0.7042191876750701,0.4781368821292776
A2-e003Coalescence-Inoculumn-mGAM,0.7994572829131653,0.7975285171102662
E5-e004Assembly-mGAM-p5,0.7895658263305322,0.7895782924300034
D8-e003Coalescence-mGAM-p5,0.6834733893557423,0.46897684064984446
A12-e003Coalescence-mGAM-p3,0.6651785714285714,0.45575527134462496
C2-e003Coalescence-mBHI-p3,0.5301995798319328,0.0019011406844106464
C4-e004Assembly-mBHI-p5,0.5161064425770309,0.523505012098168
D9-e003Coalescence-mGAM-p7,0.0,0.6079329415831317
D4-e003Coalescence-mBHI-p7,0.6650035014005602,0.14846180435534048
D8-e003Assembly-mGAM-p3,0.32064075630252103,0.31308330452817146
E4-e004Assembly-mGAM-p7,0.7839635854341737,0.8066885585896992
E3-e004Assembly-mGAM-p3,0.5931372549019608,0.6568441064638784
D2-e004Assembly-mGAM-p3,0.78125,0.785430349118562
B10-e003Coalescence-mGAM-p3,0.0,0.0
A9-e003Coalescence-mGAM-p7,0.0,0.9850501209816799
D5-e004Assembly-mGAM-p5,0.5260854341736695,0.535516764604217
B5-e003Coalescence-Inoculumn-mGAM,0.0,0.3669201520912547
D10-e003Coalescence-mBHI-p5,0.697391456582633,0.09851365364673349
D5-e003Coalescence-mBHI-p3,0.0940126050420168,0.4806429312132734
D9-e003Coalescence-mGAM-p5,0.0,0.33183546491531285
C9-e003Coalescence-mBHI-p3,0.0,0.7269270653301072
D10-e003Coalescence-mGAM-p5,0.7634803921568627,0.0
C8-e003Coalescence-mBHI-p7,0.8070728291316527,0.0
B11-e003Assembly-mGAM-p5,0.6976540616246498,0.4744210162461113
B4-e003Coalescence-mGAM-p5,0.00035014005602240897,0.0
D4-e003Coalescence-mGAM-p5,0.6880252100840336,0.0
B5-e003Coalescence-mGAM-p5,0.04893207282913165,0.4757172485309367
BB-Fecal,0.5821953781512605,0.5826132042862081
B5-e003Coalescence-Inoculumn-mBHI,0.2557773109243697,0.4658658831662634
C2-e003Coalescence-mGAM-p3,0.9558823529411765,0.0
B5-e003Coalescence-mGAM-p7,0.6536239495798319,0.47658140338748706
D8-e003Coalescence-mBHI-p5,0.6488970588235294,0.44452125820947114
E5-e004Assembly-mGAM-p7,0.7893032212885154,0.7902696163152437
C10-e003Assembly-mGAM-p3,0.9126400560224089,0.0
B10-e003Coalescence-mBHI-p5,0.001838235294117647,0.8367611475976495
D5-e003Coalescence-Inoculumn-mGAM,0.7071078431372549,0.48012443829934326
B5-e003Coalescence-mBHI-p3,0.2184873949579832,0.4620636017974421
G4-e004Assembly-epsilon-p5,0.7983193277310925,0.7881092291738679
C4-e003Coalescence-mGAM-p5,0.9959733893557423,0.0
C5-e003Coalescence-mGAM-p7,0.7086834733893558,0.0003456619426201175
C5-e003Coalescence-mBHI-inoculumn-redo,0.7078081232492998,0.00017283097131005876
A2-e003Coalescence-mBHI-p7,0.3136379551820728,0.29545454545454547
A10-e003Coalescence-mBHI-p5,0.707545518207283,0.0010369858278603526
BF-Fecal,0.20623249299719887,0.22277912201866573
A4-e003Coalescence-mGAM-p5,0.0004376750700280112,0.4954199792602834
D5-e003Coalescence-mBHI-p5,0.9915966386554622,0.0
D3-e003Assembly-mBHI-p3,0.003676470588235294,0.6719668164535084
D4-e003Coalescence-mGAM-p7,0.7080707282913166,0.0
E4-e004Assembly-mGAM-p3,0.7319677871148459,0.7595921189077083
A8-e003Coalescence-mBHI-p7,0.7958683473389355,0.79415831316972
e003-inoculumn-fecal-AC,0.07711834733893558,0.2770480470100242
E3-e004Assembly-mGAM-p7,0.591999299719888,0.6550293812651227
B9-e003GlycerolRevival-mGAM-p2,0.0,0.7460248876598686
C4-e003Coalescence-mGAM-p3,0.4489670868347339,0.0
B2-e003Coalescence-Inoculumn-mGAM,0.0,0.596958174904943
D5-e003Coalescence-mGAM-p7,0.5766806722689075,0.39154856550293815
C5-e003Coalescence-mBHI-p5,0.696953781512605,0.0069132388524023505
C5-e003Coalescence-mGAM-p3,0.7059698879551821,0.0
A3-e003Coalescence-mBHI-inoculumn-redo,0.25954131652661067,0.44218804009678536
D9-e003Assembly-mGAM-p5,0.0,0.7541479433114414
B12-e003Coalescence-mGAM-p3,0.0,0.8030591081921881
A11-e003Coalescence-mBHI-p7,0.635329131652661,0.43596612512962324
A3-e003Coalescence-Inoculumn-mGAM,0.0,0.6724853093674387
D10-e003Assembly-mGAM-p3,0.9810924369747899,0.0
C3-e003Coalescence-mGAM-p5,0.0,0.0
B4-e004Assembly-mBHI-p5,0.297531512605042,0.3237988247493951
C10-e003GlycerolRevival-mGAM-p2,0.6402310924369747,0.0
D3-e003Assembly-mBHI-p5,8.753501400560224e-05,0.8150708606982371
A10-e003Coalescence-mGAM-p3,0.9641981792717087,0.0
A9-e003Coalescence-mBHI-p3,0.0,0.7006567576909782
A2-e003Coalescence-Inoculumn-mBHI,0.7979691876750701,0.7962322848254407
D3-e003Coalescence-mBHI-p7,0.1722689075630252,0.4788282060145178
C3-e003Coalescence-mBHI-p5,8.753501400560224e-05,0.8111821638437609
D11-e003Assembly-mGAM-p3,0.6701680672268907,0.45566885585896993
D2-e003Assembly-mBHI-p3,0.7692577030812325,0.7633079847908745
B3-e003Assembly-mBHI-p5,0.0035014005602240898,0.34246456965088146
A9-e003Coalescence-mBHI-p5,0.017419467787114847,0.7026443138610439
D5-e003Coalescence-Inoculumn-mBHI,0.7071953781512605,0.479346698928448
B2-e003Coalescence-mGAM-p3,0.0,0.9580020739716557
C11-e003Coalescence-mGAM-p5,0.7550770308123249,0.0
G4-e004Assembly-epsilon-p3,0.7964810924369747,0.7894918769443484
B3-e003Coalescence-Inoculumn-mBHI,0.001488095238095238,0.7893190459730384
A8-e003Coalescence-mBHI-p5,0.7580532212885154,0.7546664362253716
D5-e004Assembly-mGAM-p7,0.7869397759103641,0.7859488420324923
C2-e003Assembly-mBHI-p5,0.28300070028011204,0.2814552367784307
D5-e003Assembly-mBHI-p5,0.4497549019607843,0.31152782578638094
A5-e003Coalescence-mBHI-p7,0.6900385154061625,0.46785343933632906
BG-Fecal,0.6683298319327731,0.7025578983753888
D2-e003Coalescence-mGAM-p5,0.7078081232492998,0.48003802281368824
B9-e003Assembly-mGAM-p5,0.00017507002801120448,0.6488938817836156
D3-e003Coalescence-mGAM-p3,0.5520833333333334,0.0017283097131005876
D9-e003Coalescence-mGAM-p3,0.0,0.5131351538195644
E2-e004Assembly-mGAM-p7,0.8083858543417367,0.8169720013826478
D3-e003Coalescence-mGAM-p5,0.001488095238095238,0.138178361562392
C10-e003Coalescence-mGAM-p3,0.9965861344537815,0.0
A5-e003Coalescence-mBHI-inoculumn-redo,0.6002275910364145,0.42628759073625994
B11-e003Assembly-mGAM-p3,0.7022058823529411,0.47649498790183203
D2-e003Assembly-mBHI-p5,0.44003851540616246,0.45126166609056345
B9-e003Coalescence-mGAM-p7,0.0,0.9493605254061528
B11-e003Coalescence-mGAM-p7,0.0,0.6812132734185966
C3-e003Coalescence-Inoculumn-mGAM,0.0,0.0
B5-e003Coalescence-mBHI-p7,0.30628501400560226,0.46232284825440717
A3-e003Coalescence-mGAM-p7,0.0,0.9967162115451089
D4-e003Coalescence-Inoculumn-mBHI,0.7085084033613446,0.0
D10-e003Coalescence-mGAM-p7,0.9200805322128851,0.0
C12-e003Coalescence-mGAM-p3,0.8906687675070029,0.0
C11-e003Coalescence-mGAM-p3,0.7087710084033614,0.0
D5-e004Assembly-mGAM-p3,0.7890406162464986,0.7888005530591082
A10-e003Coalescence-mBHI-p7,0.8452380952380952,0.0
C10-e003Coalescence-mBHI-p7,0.9729516806722689,0.0
B9-e003Coalescence-mBHI-p5,0.0,0.7038541306602143
F4-e004Assembly-epsilon-p3,0.7551645658263305,0.7430003456619426
B10-e003Coalescence-mBHI-p3,0.0,0.7067922571724853
C11-e003Coalescence-mBHI-p5,0.7086834733893558,0.0
A2-e003Coalescence-mGAM-p7,0.7930672268907563,0.7905288627722088
F5-e004Assembly-epsilon-p3,0.4019607843137255,0.3921534739025233
E3-e004Assembly-mGAM-p5,0.5936624649859944,0.6574490148634635
E2-e004Assembly-mGAM-p5,0.8077731092436975,0.8155893536121673
C3-e003GlycerolRevival-mBHI-p2,0.0008753501400560224,0.8390943657103352
D10-e003Coalescence-mGAM-p3,0.7202380952380952,0.0
B10-e003Coalescence-mGAM-p7,0.0,0.5267023850674041
C4-e004Assembly-mBHI-p3,0.7512254901960784,0.7702212236432768
A9-e003Coalescence-mBHI-p7,0.0,0.6495852056688559
C2-e003Coalescence-Inoculumn-mGAM,0.8216911764705882,0.0
B3-e003Coalescence-Inoculumn-mGAM,0.0,0.6430176287590736
D11-e003Coalescence-mGAM-p7,0.7071078431372549,0.4796923608710681
D5-e003Coalescence-mGAM-p3,0.709296218487395,0.48003802281368824
D4-e004Assembly-mGAM-p3,0.7342436974789915,0.7487901832008296
E4-e004Assembly-mGAM-p5,0.7850140056022409,0.8064293121327342
E5-e004Assembly-mGAM-p3,0.7884278711484594,0.7880228136882129
D2-e003Coalescence-Inoculumn-mBHI,0.5969012605042017,0.4422744555824404
B4-e003Coalescence-Inoculumn-mGAM,0.0,0.0
A10-e003Coalescence-mGAM-p7,0.9964110644257703,0.0
B2-e003Assembly-mBHI-p3,0.6522233893557423,0.6508814379536813
F4-e004Assembly-epsilon-p7,0.7714460784313726,0.7688385758727964
D9-e003Coalescence-mBHI-p5,0.01137955182072829,0.6774974075354303
C4-e003Coalescence-Inoculumn-mGAM,0.9979866946778712,0.0
D4-e003Coalescence-mGAM-p3,0.7074579831932774,0.0
B9-e003Coalescence-mBHI-p7,0.0008753501400560224,0.8486864846180435
A2-e003Coalescence-mGAM-p5,0.7820378151260504,0.7810231593501555
D11-e003Assembly-mGAM-p5,0.6934523809523809,0.47243346007604564
C3-e003Coalescence-mGAM-p7,0.0,0.0
B11-e003GlycerolRevival-mGAM-p2,0.6985294117647058,0.4755444175596267
C5-e004Assembly-mBHI-p7,0.4636729691876751,0.47692706533010715
B3-e003Coalescence-mGAM-p5,0.0,0.6437089526443138
D9-e003Coalescence-mBHI-p7,0.021271008403361345,0.5896992741099205
G5-e004Assembly-epsilon-p5,0.6697303921568627,0.6640165917732458
B10-e003Assembly-mGAM-p3,0.7329306722689075,0.0
C5-e003Coalescence-mBHI-p7,0.7086834733893558,0.0007777393708952644
D12-e003Coalescence-mBHI-p3,0.2858893557422969,0.20013826477704805
E2-e004Assembly-mGAM-p3,0.265406162464986,0.28465260974766676
D4-e004Assembly-mGAM-p7,0.7860644257703081,0.8083304528171449
C11-e003Coalescence-mGAM-p7,0.7272408963585434,0.0
C11-e003Assembly-mGAM-p3,0.7017682072829131,0.47632215693052193
D10-e003Coalescence-mBHI-p7,0.7085084033613446,0.0031109574835810577
C9-e003Coalescence-mBHI-p7,0.0056022408963585435,0.6330798479087453
A2-e003Coalescence-mBHI-p3,0.39968487394957986,0.38938817836156236
B8-e003Coalescence-mGAM-p5,0.0,0.9015727618389215
C11-e003Assembly-mGAM-p5,0.7068452380952381,0.4802972692706533
B10-e003GlycerolRevival-mGAM-p2,0.9870448179271709,0.0
B3-e003Coalescence-mBHI-p5,8.753501400560224e-05,0.950138264777048
C2-e003Coalescence-mBHI-inoculumn-redo,0.8168767507002801,0.010024196335983409
A8-e003Coalescence-mGAM-p7,0.7953431372549019,0.7922571724853094
C11-e003GlycerolRevival-mGAM-p2,0.7072829131652661,0.47986519184237814
B2-e003Coalescence-Inoculumn-mBHI,0.31932773109243695,0.776270307639129
A11-e003Coalescence-mBHI-p5,0.6595763305322129,0.4541133771171794
C10-e003Coalescence-mGAM-p5,0.9944852941176471,0.0
C9-e003Assembly-mGAM-p5,0.0,0.947200138264777
A5-e003Coalescence-Inoculumn-mGAM,0.5977766106442577,0.4108192188040097
A3-e003Coalescence-mBHI-p3,0.0008753501400560224,0.8239716557207052
AG-Fecal,0.8078606442577031,0.8166263394400276
D4-e003Coalescence-Inoculumn-mGAM,0.7155112044817927,0.0012962322848254408
A2-e003Coalescence-mBHI-p5,0.7131477591036415,0.7112858624265468
B5-e004Assembly-mBHI-p5,0.3488270308123249,0.3486000691323885
C10-e003Coalescence-mBHI-p5,0.9765406162464986,0.0
B9-e003Coalescence-mBHI-p3,0.0007002801120448179,0.8778085032837885
C3-e003Coalescence-mBHI-inoculumn-redo,0.060311624649859945,0.0
B5-e003Coalescence-mGAM-p3,0.015843837535014005,0.47865537504320776
BK-Fecal,0.5130427170868347,0.5628240580712064
C3-e003Assembly-mBHI-p5,0.0,0.9133252678880055
C4-e004Assembly-mBHI-p7,0.5716036414565826,0.58814379536813
C9-e003GlycerolRevival-mGAM-p2,0.0,0.8180089872105081
C9-e003Coalescence-mGAM-p5,0.0,0.0
A2-e003Coalescence-mBHI-inoculumn-redo,0.7977941176470589,0.7952817144832354
C2-e003Coalescence-mGAM-p5,0.895045518207283,0.0
B8-e003GlycerolRevival-mGAM-p2,0.7861519607843137,0.7812824058071206
C8-e003Coalescence-mBHI-p5,0.9753151260504201,0.0
B8-e003Coalescence-mGAM-p7,0.0,0.9594711372277912
B4-e003Coalescence-Inoculumn-mBHI,0.03308823529411765,0.0
D2-e003Coalescence-Inoculumn-mGAM,0.5969887955182073,0.41021431040442446
B8-e003Coalescence-mBHI-p7,0.00017507002801120448,0.42775665399239543
D3-e003Coalescence-Inoculumn-mGAM,0.0,0.3527480124438299
B11-e003Coalescence-mBHI-p3,0.038340336134453784,0.5365537504320774
C5-e003Coalescence-Inoculumn-mGAM,0.7080707282913166,0.0
C4-e003Coalescence-mBHI-p5,0.9861694677871149,0.0
BC-Fecal,0.265406162464986,0.29459039059799513
e004-inoculumn-fecal-BE,0.33587184873949577,0.3385758727964051
A11-e003Coalescence-mBHI-p3,0.6071428571428571,0.42084341513999307
B4-e004Assembly-mBHI-p7,0.5875350140056023,0.599896301417214
A4-e003Coalescence-Inoculumn-mGAM,0.8207282913165266,0.0
B4-e003Coalescence-mBHI-p3,0.0013130252100840337,0.4811614241272036
A5-e003Coalescence-Inoculumn-mBHI,0.5605742296918768,0.43804009678534395
A9-e003Coalescence-mGAM-p5,0.0,0.9024369166954719
C10-e003Coalescence-mGAM-p7,0.9859068627450981,0.0
A11-e003Coalescence-mGAM-p3,0.6141456582633054,0.42421361908053923
C10-e003Coalescence-mBHI-p3,0.9758403361344538,0.0
D2-e003Coalescence-mBHI-p3,0.6985294117647058,0.47398893881783616
C5-e003GlycerolRevival-mBHI-p2,0.666141456582633,0.45160732803318354
H5-e003Coalescence-mBHI-p5_S40,0.7002801120448179,0.47692706533010715
E2-e003Coalescence-mGAM-p7_S145,0.7916666666666666,0.7867265814033875
G5-e003Coalescence-mBHI-p7_S124,0.586484593837535,0.0670584168683028
H111-e003Coalescence-mGAM-p7_S188,0.7078081232492998,0.4808157621845835
H4-e003Coalescence-mGAM-p7_S183,0.7043942577030813,0.038541306602143104
F5-e003Coalescence-mGAM-p5_S64,8.753501400560224e-05,0.47995160732803316
F5-e003Coalescence-mGAM-p7_S160,0.0016631652661064425,0.14198064293121326
F8-e003Coalescence-mBHI-p3_S117,0.0005252100840336134,0.8686484618043553
H3-e003Coalescence-mBHI-p3_S46,0.06355042016806722,0.4802108537849983
H2-e003Coalescence-mBHI-p7_S133,0.6600140056022409,0.45566885585896993
E5-e003Coalescence-mBHI-p3_S12,0.6032913165266106,0.41315243691669545
F100-e003Coalescence-mGAM-p7_S163,0.0,0.5185793294158313
F9-e003Coalescence-mBHI-p5_S18,0.0007878151260504202,0.7520739716557207
H3-e003Coalescence-mBHI-p7_S134,0.42078081232493,0.4082267542343588
E3-e003Coalescence-mGAM-p3_S58,8.753501400560224e-05,0.9492741099204978
G4-e003Coalescence-mBHI-p5_S27,0.9902836134453782,0.0008641548565502938
E8-e003Coalescence-mBHI-p5_S5,0.7864145658263305,0.7838748703767715
G2-e003Coalescence-mBHI-p3_S33,0.39732142857142855,0.007690978223297615
E9-e003Coalescence-mBHI-p5_S6,0.0007878151260504202,0.8555997234704459
H111-e003Coalescence-mBHI-p3_S144,0.7070203081232493,0.48159350155547875
G111-e003Coalescence-mGAM-p5_S80,0.7682072829131653,0.0004320774282751469
G100-e003Coalescence-mGAM-p3_S179,0.9933473389355743,0.0009505703422053232
F111-e003Coalescence-mGAM-p5_S68,8.753501400560224e-05,0.8514517801590045
G111-e003Coalescence-mBHI-p5_S32,0.7030812324929971,0.00699965433805738
G5-e003Coalescence-mBHI-p3_S36,0.29026610644257705,0.06757690978223298
H2-e003Coalescence-mGAM-p7_S181,0.7077205882352942,0.48047010024196335
