,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
C9-e003Coalescence-mGAM-p3,24890,1406
D11-e003Coalescence-mBHI-p5,25186,1419
C9-e003Coalescence-mGAM-p7,24950,1393
C8-e003Coalescence-mGAM-p7,25104,1417
F3-e004Assembly-epsilon-p3,19687,1076
B2-e003Coalescence-mBHI-p3,24785,1388
A8-e003Coalescence-mBHI-p3,25227,1420
e004-inoculumn-fecal-BD,24025,1351
A4-e003Coalescence-mBHI-p7,24039,1368
B9-e003Coalescence-mGAM-p5,24937,1410
A4-e003Coalescence-mBHI-inoculumn-redo,24545,1392
B3-e003Coalescence-mBHI-p3,24928,1382
C2-e003Coalescence-mBHI-p5,18965,1090
B3-e004Assembly-mBHI-p7,24693,1352
B5-e004Assembly-mBHI-p7,9264,519
C4-e003GlycerolRevival-mBHI-p2,17027,903
G5-e004Assembly-epsilon-p3,25190,1392
B2-e003Assembly-mBHI-p5,23717,1339
C3-e004Assembly-mBHI-p5,24144,1317
B2-e003Coalescence-mBHI-p5,19987,1149
B8-e003Assembly-mGAM-p5,24091,1361
C4-e003Coalescence-mGAM-p7,19315,1070
e004-inoculumn-fecal-AK,25160,1410
D3-e004Assembly-mGAM-p7,18587,1055
C8-e003Assembly-mGAM-p3,25354,1429
C3-e003Coalescence-mGAM-p3,25383,1431
D4-e004Assembly-mGAM-p5,25154,1416
D3-e003Coalescence-Inoculumn-mBHI,25376,1430
C8-e003Assembly-mGAM-p5,19305,1115
C3-e003Coalescence-mBHI-p7,25155,1419
D11-e003Coalescence-mGAM-p5,25084,1413
A11-e003Coalescence-mGAM-p7,25000,1416
C2-e003Coalescence-mGAM-p7,25374,1431
B11-e003Coalescence-mGAM-p3,25350,1428
B5-e003Assembly-mBHI-p5,13509,912
D2-e003Coalescence-mBHI-p5,23268,1343
D8-e003Assembly-mGAM-p5,25038,1418
D5-e003Coalescence-mGAM-p5,23480,1365
A5-e003Coalescence-mGAM-p3,25358,1431
A2-e003Coalescence-Inoculumn-mGAM,25385,1431
D8-e003Coalescence-mGAM-p5,25383,1431
A12-e003Coalescence-mGAM-p3,25279,1430
C2-e003Coalescence-mBHI-p3,24993,1415
D9-e003Coalescence-mGAM-p7,24793,1405
D8-e003Assembly-mGAM-p3,25356,1431
E4-e004Assembly-mGAM-p7,21264,1216
B10-e003Coalescence-mGAM-p3,24901,1395
A9-e003Coalescence-mGAM-p7,13428,767
B5-e003Coalescence-Inoculumn-mGAM,25008,1412
D5-e003Coalescence-mBHI-p3,24366,1392
D9-e003Coalescence-mGAM-p5,25240,1419
D10-e003Coalescence-mGAM-p5,8203,564
C8-e003Coalescence-mBHI-p7,21667,1249
B11-e003Assembly-mGAM-p5,24599,1386
G3-e004Assembly-epsilon-p7,18571,1052
B4-e003Coalescence-mGAM-p5,24129,1360
D4-e003Coalescence-mGAM-p5,25100,1415
C3-e004Assembly-mBHI-p7,24900,1356
B5-e003Coalescence-mGAM-p5,24858,1402
BB-Fecal,18684,1080
B5-e003Coalescence-Inoculumn-mBHI,24926,1408
G3-e004Assembly-epsilon-p3,19445,1072
C2-e003Coalescence-mGAM-p3,15815,932
B5-e003Coalescence-mGAM-p7,24963,1401
D8-e003Coalescence-mBHI-p5,23954,1364
F5-e004Assembly-epsilon-p5,12420,670
D5-e003Coalescence-Inoculumn-mGAM,25181,1412
B3-e004Assembly-mBHI-p5,19569,1105
B5-e003Coalescence-mBHI-p3,6680,424
C5-e003Coalescence-mGAM-p7,25157,1423
C5-e003Coalescence-mBHI-inoculumn-redo,25068,1410
A2-e003Coalescence-mBHI-p7,16176,930
A10-e003Coalescence-mBHI-p5,17592,1011
BF-Fecal,25360,1428
AM-Fecal,25199,1409
B8-e003Assembly-mGAM-p3,25296,1426
A4-e003Coalescence-mGAM-p5,24784,1401
D5-e003Coalescence-mBHI-p5,25274,1426
D3-e003Assembly-mBHI-p3,16007,921
e003-inoculumn-fecal-inoculumn,12881,822
D4-e003Coalescence-mGAM-p7,25230,1423
A8-e003Coalescence-mBHI-p7,24896,1416
e003-inoculumn-fecal-AC,25330,1430
C4-e003Coalescence-mGAM-p3,21324,1100
B2-e003Coalescence-Inoculumn-mGAM,25334,1430
C5-e003Coalescence-mGAM-p3,25126,1417
A3-e003Coalescence-mBHI-inoculumn-redo,15817,885
D9-e003Assembly-mGAM-p5,9209,525
B12-e003Coalescence-mGAM-p3,14582,793
A11-e003Coalescence-mBHI-p7,18685,1139
A3-e003Coalescence-Inoculumn-mGAM,25166,1419
C3-e003Coalescence-mGAM-p5,24140,1364
D3-e003Assembly-mBHI-p5,24668,1373
A10-e003Coalescence-mGAM-p3,25371,1431
A9-e003Coalescence-mBHI-p3,17411,969
A2-e003Coalescence-Inoculumn-mBHI,25023,1423
D11-e003Assembly-mGAM-p3,20714,1234
D2-e003Assembly-mBHI-p3,25063,1421
B3-e003Assembly-mBHI-p5,19432,1101
D5-e003Coalescence-Inoculumn-mBHI,25287,1427
B2-e003Coalescence-mGAM-p3,24611,1372
C11-e003Coalescence-mGAM-p5,11552,727
B3-e003Coalescence-Inoculumn-mBHI,24848,1377
A8-e003Coalescence-mBHI-p5,24433,1385
D5-e004Assembly-mGAM-p7,25200,1388
D5-e003Assembly-mBHI-p5,16787,1086
A5-e003Coalescence-mBHI-p7,24509,1397
BG-Fecal,25142,1373
D2-e003Coalescence-mGAM-p5,25257,1427
B9-e003Assembly-mGAM-p5,10734,609
D3-e003Coalescence-mGAM-p3,24615,1392
D9-e003Coalescence-mGAM-p3,25105,1413
D3-e003Coalescence-mGAM-p5,25329,1429
A5-e003Coalescence-mBHI-inoculumn-redo,24733,1399
B11-e003Assembly-mGAM-p3,20465,1146
B9-e003Coalescence-mGAM-p7,14402,782
B11-e003Coalescence-mGAM-p7,22789,1294
C3-e003Coalescence-Inoculumn-mGAM,21547,1195
A3-e003Coalescence-mGAM-p7,25344,1427
D4-e003Coalescence-Inoculumn-mBHI,25302,1424
A4-e003Coalescence-mBHI-p5,24229,1381
B3-e003Coalescence-mBHI-p7,18965,1036
D10-e003Coalescence-mGAM-p7,23856,1368
C11-e003Coalescence-mGAM-p3,21308,1234
A10-e003Coalescence-mBHI-p7,22688,1291
C11-e003Coalescence-mBHI-p5,16203,896
A2-e003Coalescence-mGAM-p7,24820,1411
F5-e004Assembly-epsilon-p3,24992,1383
E3-e004Assembly-mGAM-p5,13714,809
E2-e004Assembly-mGAM-p5,20310,1162
C3-e003GlycerolRevival-mBHI-p2,23973,1334
D10-e003Coalescence-mGAM-p3,22458,1285
C4-e004Assembly-mBHI-p3,13633,780
A9-e003Coalescence-mBHI-p7,22745,1290
C2-e003Coalescence-Inoculumn-mGAM,25264,1425
B3-e003Coalescence-Inoculumn-mGAM,25385,1431
D11-e003Coalescence-mGAM-p7,24717,1390
D5-e003Coalescence-mGAM-p3,25367,1430
E4-e004Assembly-mGAM-p5,25165,1412
D2-e003Coalescence-Inoculumn-mBHI,22692,1301
B4-e003Coalescence-Inoculumn-mGAM,24132,1354
B2-e003Assembly-mBHI-p3,24900,1406
C4-e003Coalescence-Inoculumn-mGAM,7514,511
D4-e003Coalescence-mGAM-p3,25276,1428
A2-e003Coalescence-mGAM-p5,25171,1418
D11-e003Assembly-mGAM-p5,11074,753
C3-e003Coalescence-mGAM-p7,25385,1431
B11-e003GlycerolRevival-mGAM-p2,23983,1344
B3-e003Coalescence-mGAM-p5,25051,1396
D3-e004Assembly-mGAM-p5,23682,1301
D12-e003Coalescence-mBHI-p3,11325,647
D4-e004Assembly-mGAM-p7,13023,765
C11-e003Coalescence-mGAM-p7,19201,1137
C11-e003Assembly-mGAM-p3,24618,1395
D10-e003Coalescence-mBHI-p7,16333,912
A2-e003Coalescence-mBHI-p3,19205,1100
B8-e003Coalescence-mGAM-p5,24861,1398
C3-e004Assembly-mBHI-p3,24759,1350
C11-e003Assembly-mGAM-p5,25172,1421
C2-e003Coalescence-mBHI-inoculumn-redo,22852,1343
A8-e003Coalescence-mGAM-p7,25058,1419
C11-e003GlycerolRevival-mGAM-p2,10037,644
B2-e003Coalescence-Inoculumn-mBHI,24617,1384
A11-e003Coalescence-mBHI-p5,21055,1258
C10-e003Coalescence-mGAM-p5,7107,441
A5-e003Coalescence-Inoculumn-mGAM,25364,1427
A3-e003Coalescence-mBHI-p3,23493,1348
AG-Fecal,25242,1406
D4-e003Coalescence-Inoculumn-mGAM,15176,911
A2-e003Coalescence-mBHI-p5,24553,1391
B9-e003Coalescence-mBHI-p3,14376,744
C3-e003Coalescence-mBHI-inoculumn-redo,25019,1386
e004-inoculumn-fecal-AR,25179,1384
B5-e003Coalescence-mGAM-p3,24673,1376
BK-Fecal,24632,1352
C3-e003Assembly-mBHI-p5,21315,1230
A4-e003Coalescence-mBHI-p3,22324,1255
F3-e004Assembly-epsilon-p5,9103,488
C9-e003Coalescence-mGAM-p5,24663,1377
A2-e003Coalescence-mBHI-inoculumn-redo,25190,1422
C2-e003Coalescence-mGAM-p5,25283,1427
B8-e003GlycerolRevival-mGAM-p2,24983,1409
C8-e003Coalescence-mBHI-p5,25283,1426
B8-e003Coalescence-mGAM-p7,25126,1415
B4-e003Coalescence-Inoculumn-mBHI,25043,1401
D2-e003Coalescence-Inoculumn-mGAM,25342,1423
B3-e004Assembly-mBHI-p3,23930,1307
D3-e003Coalescence-Inoculumn-mGAM,25222,1421
C5-e003Coalescence-Inoculumn-mGAM,25126,1414
G3-e004Assembly-epsilon-p5,20387,1141
BC-Fecal,25286,1426
e004-inoculumn-fecal-BE,25198,1394
BA-Fecal,25234,1419
