,0.975,0.975
C9-e003Coalescence-mGAM-p3,1.0,1.0
D11-e003Coalescence-mBHI-p5,0.0,1.0
C9-e003Coalescence-mGAM-p7,1.0,1.0
C8-e003Coalescence-mGAM-p7,1.0,0.378224999999997
F3-e004Assembly-epsilon-p3,1.0,1.0
B2-e003Coalescence-mBHI-p3,1.0,0.625
A8-e003Coalescence-mBHI-p3,1.0,0.632800000000001
e004-inoculumn-fecal-BD,1.0,1.0
A4-e003Coalescence-mBHI-p7,1.0,1.0
B9-e003Coalescence-mGAM-p5,1.0,1.0
A4-e003Coalescence-mBHI-inoculumn-redo,1.0,0.65025
B3-e003Coalescence-mBHI-p3,1.0,0.9286999999999999
C2-e003Coalescence-mBHI-p5,1.0,0.0
B3-e004Assembly-mBHI-p7,1.0,1.0
B5-e004Assembly-mBHI-p7,1.0,1.0
C4-e003GlycerolRevival-mBHI-p2,1.0,1.0
G5-e004Assembly-epsilon-p3,1.0,1.0
B2-e003Assembly-mBHI-p5,1.0,0.643749999999983
C3-e004Assembly-mBHI-p5,1.0,1.0
B2-e003Coalescence-mBHI-p5,1.0,1.0
B8-e003Assembly-mGAM-p5,1.0,1.0
C4-e003Coalescence-mGAM-p7,1.0,1.0
e004-inoculumn-fecal-AK,1.0,1.0
D3-e004Assembly-mGAM-p7,1.0,1.0
C8-e003Assembly-mGAM-p3,1.0,1.0
C3-e003Coalescence-mGAM-p3,1.0,1.0
D4-e004Assembly-mGAM-p5,1.0,1.0
D3-e003Coalescence-Inoculumn-mBHI,0.8183750000000001,0.75
C8-e003Assembly-mGAM-p5,1.0,0.0
C3-e003Coalescence-mBHI-p7,1.0,1.0
D11-e003Coalescence-mGAM-p5,0.0,1.0
A11-e003Coalescence-mGAM-p7,1.0,1.0
C2-e003Coalescence-mGAM-p7,1.0,1.0
B11-e003Coalescence-mGAM-p3,1.0,1.0
B5-e003Assembly-mBHI-p5,1.0,1.0
D2-e003Coalescence-mBHI-p5,1.0,1.0
D8-e003Assembly-mGAM-p5,1.0,0.6266999999999996
D5-e003Coalescence-mGAM-p5,1.0,1.0
A5-e003Coalescence-mGAM-p3,1.0,0.5625249999999999
A2-e003Coalescence-Inoculumn-mGAM,1.0,1.0
D8-e003Coalescence-mGAM-p5,1.0,0.4743499999999988
A12-e003Coalescence-mGAM-p3,1.0,0.5386000000000004
C2-e003Coalescence-mBHI-p3,1.0,1.0
D9-e003Coalescence-mGAM-p7,1.0,1.0
D8-e003Assembly-mGAM-p3,1.0,0.9198749999999997
E4-e004Assembly-mGAM-p7,1.0,1.0
B10-e003Coalescence-mGAM-p3,1.0,1.0
A9-e003Coalescence-mGAM-p7,1.0,1.0
B5-e003Coalescence-Inoculumn-mGAM,0.12477500000000055,1.0
D5-e003Coalescence-mBHI-p3,1.0,0.7856499999999954
D9-e003Coalescence-mGAM-p5,1.0,1.0
D10-e003Coalescence-mGAM-p5,1.0,0.0
C8-e003Coalescence-mBHI-p7,1.0,1.0
B11-e003Assembly-mGAM-p5,0.0,1.0
G3-e004Assembly-epsilon-p7,1.0,1.0
B4-e003Coalescence-mGAM-p5,1.0,1.0
D4-e003Coalescence-mGAM-p5,1.0,0.69
C3-e004Assembly-mBHI-p7,1.0,1.0
B5-e003Coalescence-mGAM-p5,1.0,0.6958749999999999
BB-Fecal,1.0,0.692
B5-e003Coalescence-Inoculumn-mBHI,1.0,0.815
G3-e004Assembly-epsilon-p3,1.0,1.0
C2-e003Coalescence-mGAM-p3,1.0,1.0
B5-e003Coalescence-mGAM-p7,1.0,0.6755000000000003
D8-e003Coalescence-mBHI-p5,1.0,1.0
F5-e004Assembly-epsilon-p5,1.0,1.0
D5-e003Coalescence-Inoculumn-mGAM,0.0,1.0
B3-e004Assembly-mBHI-p5,1.0,1.0
B5-e003Coalescence-mBHI-p3,1.0,1.0
C5-e003Coalescence-mGAM-p7,1.0,0.5865999999999995
C5-e003Coalescence-mBHI-inoculumn-redo,0.667,1.0
A2-e003Coalescence-mBHI-p7,1.0,0.0
A10-e003Coalescence-mBHI-p5,1.0,1.0
BF-Fecal,1.0,0.7597249999999997
AM-Fecal,1.0,1.0
B8-e003Assembly-mGAM-p3,1.0,0.7788000000000003
A4-e003Coalescence-mGAM-p5,1.0,1.0
D5-e003Coalescence-mBHI-p5,1.0,1.0
D3-e003Assembly-mBHI-p3,1.0,1.0
e003-inoculumn-fecal-inoculumn,1.0,0.549
D4-e003Coalescence-mGAM-p7,1.0,0.6978999999999992
A8-e003Coalescence-mBHI-p7,1.0,0.95
e003-inoculumn-fecal-AC,1.0,1.0
C4-e003Coalescence-mGAM-p3,0.7930249999999888,1.0
B2-e003Coalescence-Inoculumn-mGAM,1.0,0.83
C5-e003Coalescence-mGAM-p3,1.0,0.8600000000000008
A3-e003Coalescence-mBHI-inoculumn-redo,1.0,0.5692249999999975
D9-e003Assembly-mGAM-p5,0.0,1.0
B12-e003Coalescence-mGAM-p3,1.0,1.0
A11-e003Coalescence-mBHI-p7,1.0,1.0
A3-e003Coalescence-Inoculumn-mGAM,1.0,0.78425
C3-e003Coalescence-mGAM-p5,1.0,1.0
D3-e003Assembly-mBHI-p5,1.0,1.0
A10-e003Coalescence-mGAM-p3,1.0,0.7669249999999996
A9-e003Coalescence-mBHI-p3,1.0,1.0
A2-e003Coalescence-Inoculumn-mBHI,1.0,1.0
D11-e003Assembly-mGAM-p3,1.0,1.0
D2-e003Assembly-mBHI-p3,1.0,0.7578749999999996
B3-e003Assembly-mBHI-p5,1.0,1.0
D5-e003Coalescence-Inoculumn-mBHI,0.737,1.0
B2-e003Coalescence-mGAM-p3,1.0,0.7713249999999979
