,0.025,0.025
C12-e003Coalescence-mBHI-p3,0.0,0.0
C9-e003Coalescence-mGAM-p3,0.0,0.0
D2-e004Assembly-mGAM-p7,0.0,0.0
C11-e003Coalescence-mBHI-p3,0.0,0.053
D11-e003Coalescence-mBHI-p5,0.0,0.0
C9-e003Coalescence-mGAM-p7,0.0,0.0
C8-e003Coalescence-mGAM-p7,0.0,0.358
D10-e003Coalescence-mBHI-p3,0.0,0.109
F3-e004Assembly-epsilon-p3,0.0,0.0
B2-e003Coalescence-mBHI-p3,0.21537499999999998,0.292
A8-e003Coalescence-mBHI-p3,1.0,0.0
e004-inoculumn-fecal-BD,0.0,0.0
A4-e003Coalescence-mBHI-p7,0.19599999999999995,0.25
B4-e003Coalescence-mBHI-p5,0.0,0.0
B9-e003Coalescence-mGAM-p5,0.0,0.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.251,0.353
B3-e003Coalescence-mBHI-p3,0.0,0.446
D4-e003Coalescence-mBHI-p5,0.0,0.081
C2-e003Coalescence-mBHI-p5,0.06699999999999995,0.616
B3-e004Assembly-mBHI-p7,0.0,0.0
D4-e003Coalescence-mBHI-p3,0.0,0.13010000000000002
C4-e003GlycerolRevival-mBHI-p2,0.0,0.50135
D10-e003Assembly-mGAM-p5,0.0,0.0
B2-e003Assembly-mBHI-p5,1.0,0.0
C3-e004Assembly-mBHI-p5,0.0,0.0
B2-e003Coalescence-mBHI-p5,0.0,0.60665
B8-e003Assembly-mGAM-p5,1.0,0.0
F4-e004Assembly-epsilon-p5,0.0,0.0
C4-e003Coalescence-mGAM-p7,0.0,0.426
B12-e003Coalescence-mBHI-p3,0.0,0.0
D3-e004Assembly-mGAM-p7,0.0,0.0
C8-e003Assembly-mGAM-p3,1.0,0.0
C3-e003Coalescence-mGAM-p3,0.0,0.381
B4-e003Assembly-mBHI-p5,0.0,0.667
D4-e004Assembly-mGAM-p5,0.0,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.0,0.37
C8-e003Assembly-mGAM-p5,1.0,0.0
C3-e003Coalescence-mBHI-p7,0.0,0.447
D11-e003Coalescence-mGAM-p5,0.0,0.0
A11-e003Coalescence-mGAM-p7,0.0,0.0
B8-e003Coalescence-mBHI-p5,0.036,0.0
B10-e003Assembly-mGAM-p5,0.0,0.097
C2-e003Coalescence-mGAM-p7,0.010000000000000009,0.698
D3-e003Coalescence-mBHI-p5,0.0,0.132
B11-e003Coalescence-mGAM-p3,0.0,0.0
C4-e003Coalescence-mBHI-inoculumn-redo,0.0,0.802
B5-e003Assembly-mBHI-p5,0.0,0.0
D2-e003Coalescence-mBHI-p5,0.085,0.0
D8-e003Assembly-mGAM-p5,1.0,0.0
D5-e003Coalescence-mGAM-p5,0.0,0.0
B5-e003Coalescence-mBHI-p5,0.0,0.081
D5-e003Coalescence-mBHI-p7,0.0,0.0
C9-e003Coalescence-mBHI-p5,0.0,0.082
A10-e003Coalescence-mBHI-p3,0.0,0.271
A5-e003Coalescence-mGAM-p3,0.086,0.0
A2-e003Coalescence-Inoculumn-mGAM,1.0,0.0
D8-e003Coalescence-mGAM-p5,0.0,0.0
A12-e003Coalescence-mGAM-p3,0.0,0.0
C2-e003Coalescence-mBHI-p3,0.051000000000000045,0.688
C4-e004Assembly-mBHI-p5,0.0,0.0
D9-e003Coalescence-mGAM-p7,0.0,0.0
D4-e003Coalescence-mBHI-p7,0.0,0.0
D8-e003Assembly-mGAM-p3,1.0,0.0
E4-e004Assembly-mGAM-p7,0.0,0.0
E3-e004Assembly-mGAM-p3,0.0,0.0
D2-e004Assembly-mGAM-p3,0.0,0.0
B10-e003Coalescence-mGAM-p3,0.0,0.0
A9-e003Coalescence-mGAM-p7,0.0,0.0
B5-e003Coalescence-Inoculumn-mGAM,0.0,0.0
D10-e003Coalescence-mBHI-p5,0.0,0.091
D5-e003Coalescence-mBHI-p3,0.0,0.0
C5-e003Coalescence-mBHI-p3,0.0,0.125
D9-e003Coalescence-mGAM-p5,0.0,0.0
C9-e003Coalescence-mBHI-p3,0.0,0.078
D10-e003Coalescence-mGAM-p5,0.0,0.0
C8-e003Coalescence-mBHI-p7,0.017,0.57
B11-e003Assembly-mGAM-p5,0.0,0.0
G3-e004Assembly-epsilon-p7,0.0,0.0
B4-e003Coalescence-mGAM-p5,0.0,0.0
D4-e003Coalescence-mGAM-p5,0.0,0.0
C3-e004Assembly-mBHI-p7,0.0,0.0
B5-e003Coalescence-mGAM-p5,0.0,0.0
B5-e003Coalescence-Inoculumn-mBHI,0.0,0.358
G3-e004Assembly-epsilon-p3,0.0,0.0
C2-e003Coalescence-mGAM-p3,0.0,0.614
B5-e003Coalescence-mGAM-p7,0.0,0.0
D8-e003Coalescence-mBHI-p5,0.0,0.0
C10-e003Assembly-mGAM-p3,0.0,0.0
B10-e003Coalescence-mBHI-p5,0.0,0.121
D5-e003Coalescence-Inoculumn-mGAM,0.0,0.0
F2-e004Assembly-epsilon-p3,0.0,0.0
B3-e004Assembly-mBHI-p5,0.0,0.0
B5-e003Coalescence-mBHI-p3,0.0,0.054875
G4-e004Assembly-epsilon-p5,0.0,0.0
C4-e003Coalescence-mGAM-p5,0.0,0.5
C5-e003Coalescence-mGAM-p7,0.0,0.0
C5-e003Coalescence-mBHI-inoculumn-redo,0.0,0.489
A2-e003Coalescence-mBHI-p7,1.0,0.0
A10-e003Coalescence-mBHI-p5,0.0,0.425
D2-e003Coalescence-mBHI-p7,0.0,0.0
B8-e003Assembly-mGAM-p3,1.0,0.0
A4-e003Coalescence-mGAM-p5,0.0,0.0
D5-e003Coalescence-mBHI-p5,0.05600000000000005,0.062
D3-e003Assembly-mBHI-p3,0.0,0.0
D4-e003Coalescence-mGAM-p7,0.0,0.0
E4-e004Assembly-mGAM-p3,0.0,0.0
A8-e003Coalescence-mBHI-p7,1.0,0.0
E3-e004Assembly-mGAM-p7,0.0,0.0
B9-e003GlycerolRevival-mGAM-p2,0.0,0.0
C4-e003Coalescence-mGAM-p3,0.0,0.62
B2-e003Coalescence-Inoculumn-mGAM,0.507,0.0
D5-e003Coalescence-mGAM-p7,0.0,0.0
C5-e003Coalescence-mBHI-p5,0.0,0.076
C5-e003Coalescence-mGAM-p3,0.0,0.0
A3-e003Coalescence-mBHI-inoculumn-redo,0.211,0.242
D9-e003Assembly-mGAM-p5,0.0,0.0
B12-e003Coalescence-mGAM-p3,0.0,0.0
A11-e003Coalescence-mBHI-p7,0.0,0.0
A3-e003Coalescence-Inoculumn-mGAM,0.458,0.0
D10-e003Assembly-mGAM-p3,0.0,0.0
C3-e003Coalescence-mGAM-p5,0.0,0.0
B4-e004Assembly-mBHI-p5,0.0,0.0
C10-e003GlycerolRevival-mGAM-p2,0.0,0.0
D3-e003Assembly-mBHI-p5,0.0,0.0
A10-e003Coalescence-mGAM-p3,0.029000000000000026,0.194
A9-e003Coalescence-mBHI-p3,0.115,0.0
A2-e003Coalescence-Inoculumn-mBHI,1.0,0.0
D3-e003Coalescence-mBHI-p7,0.0,0.236
C3-e003Coalescence-mBHI-p5,0.0,0.448
D2-e003Assembly-mBHI-p3,1.0,0.0
B3-e003Assembly-mBHI-p5,0.0,0.37145
A9-e003Coalescence-mBHI-p5,0.045,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.0,0.0
B2-e003Coalescence-mGAM-p3,0.0,0.474
B4-e003Assembly-mBHI-p3,0.0,0.536
C11-e003Coalescence-mGAM-p5,0.0,0.0
G4-e004Assembly-epsilon-p3,0.0,0.0
B3-e003Coalescence-Inoculumn-mBHI,0.0,0.6126
A8-e003Coalescence-mBHI-p5,0.975,0.0
C2-e003Assembly-mBHI-p5,1.0,0.0
D9-e003Coalescence-mBHI-p3,0.0,0.0
D5-e003Assembly-mBHI-p5,0.0,0.0
A5-e003Coalescence-mBHI-p7,0.128,0.0
G2-e004Assembly-epsilon-p3,0.0,0.0
BG-Fecal,0.0,0.0
D2-e003Coalescence-mGAM-p5,0.202,0.0
B9-e003Assembly-mGAM-p5,0.0,0.0
D3-e003Coalescence-mGAM-p3,0.0,0.0
D9-e003Coalescence-mGAM-p3,0.0,0.0
E2-e004Assembly-mGAM-p7,0.0,0.0
D3-e003Coalescence-mGAM-p5,0.0,0.0
C10-e003Coalescence-mGAM-p3,0.0,0.135
A5-e003Coalescence-mBHI-inoculumn-redo,0.44715000000000005,0.0
B11-e003Assembly-mGAM-p3,0.0,0.0
D2-e003Assembly-mBHI-p5,1.0,0.0
B9-e003Coalescence-mGAM-p7,0.0,0.0
B11-e003Coalescence-mGAM-p7,0.0,0.0
C3-e003Coalescence-Inoculumn-mGAM,0.0,0.051
B5-e003Coalescence-mBHI-p7,0.0,0.22722500000000004
A3-e003Coalescence-mGAM-p7,0.0,0.37
D4-e003Coalescence-Inoculumn-mBHI,0.0,0.413
A4-e003Coalescence-mBHI-p5,0.121,0.328
B3-e003Coalescence-mBHI-p7,0.0,0.503
C2-e004Assembly-mBHI-p7,0.0,0.0
D10-e003Coalescence-mGAM-p7,0.0,0.0
C12-e003Coalescence-mGAM-p3,0.0,0.0
C11-e003Coalescence-mGAM-p3,0.0,0.031
A10-e003Coalescence-mBHI-p7,0.0,0.542
C10-e003Coalescence-mBHI-p7,0.0,0.597
B9-e003Coalescence-mBHI-p5,0.0,0.0
F4-e004Assembly-epsilon-p3,0.0,0.0
B10-e003Coalescence-mBHI-p3,0.0,0.095
C11-e003Coalescence-mBHI-p5,0.0,0.094
A2-e003Coalescence-mGAM-p7,1.0,0.0
C5-e003Assembly-mBHI-p3,0.0,0.0
