,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,10212,10302
C9-e003Coalescence-mGAM-p3,10061,10093
D2-e004Assembly-mGAM-p7,8846,9061
C11-e003Coalescence-mBHI-p3,10224,10318
D11-e003Coalescence-mBHI-p5,10224,10317
C9-e003Coalescence-mGAM-p7,10076,10096
C8-e003Coalescence-mGAM-p7,10155,10251
D10-e003Coalescence-mBHI-p3,10229,10333
F3-e004Assembly-epsilon-p3,8873,9028
B2-e003Coalescence-mBHI-p3,10229,10331
A8-e003Coalescence-mBHI-p3,10085,10303
e004-inoculumn-fecal-BD,8572,8748
A4-e003Coalescence-mBHI-p7,10206,10310
B4-e003Coalescence-mBHI-p5,9077,9244
B9-e003Coalescence-mGAM-p5,10099,10114
A4-e003Coalescence-mBHI-inoculumn-redo,10140,10310
B3-e003Coalescence-mBHI-p3,10172,10270
D4-e003Coalescence-mBHI-p5,10228,10319
C2-e003Coalescence-mBHI-p5,9730,9893
B3-e004Assembly-mBHI-p7,8905,9058
D4-e003Coalescence-mBHI-p3,10226,10314
C4-e003GlycerolRevival-mBHI-p2,10043,10155
D10-e003Assembly-mGAM-p5,9350,9511
B2-e003Assembly-mBHI-p5,9782,10180
C3-e004Assembly-mBHI-p5,8898,9033
B2-e003Coalescence-mBHI-p5,9820,9919
B8-e003Assembly-mGAM-p5,9671,10062
F4-e004Assembly-epsilon-p5,8924,8999
C4-e003Coalescence-mGAM-p7,10000,10140
B12-e003Coalescence-mBHI-p3,10187,10253
D3-e004Assembly-mGAM-p7,8714,8878
C8-e003Assembly-mGAM-p3,9864,10220
C3-e003Coalescence-mGAM-p3,10203,10303
B4-e003Assembly-mBHI-p5,9486,9651
D4-e004Assembly-mGAM-p5,9811,9987
D3-e003Coalescence-Inoculumn-mBHI,10218,10305
C8-e003Assembly-mGAM-p5,9346,9787
C3-e003Coalescence-mBHI-p7,10154,10266
D11-e003Coalescence-mGAM-p5,10184,10252
A11-e003Coalescence-mGAM-p7,10164,10191
B8-e003Coalescence-mBHI-p5,10179,10228
B10-e003Assembly-mGAM-p5,10011,10123
C2-e003Coalescence-mGAM-p7,9622,9758
D3-e003Coalescence-mBHI-p5,10226,10316
B11-e003Coalescence-mGAM-p3,10224,10317
C4-e003Coalescence-mBHI-inoculumn-redo,9454,9625
B5-e003Assembly-mBHI-p5,10195,10260
D2-e003Coalescence-mBHI-p5,10222,10327
D8-e003Assembly-mGAM-p5,9533,10014
D5-e003Coalescence-mGAM-p5,10188,10239
B5-e003Coalescence-mBHI-p5,10223,10321
D5-e003Coalescence-mBHI-p7,10217,10297
C9-e003Coalescence-mBHI-p5,10212,10290
A10-e003Coalescence-mBHI-p3,10133,10234
A5-e003Coalescence-mGAM-p3,10186,10268
A2-e003Coalescence-Inoculumn-mGAM,10233,10334
D8-e003Coalescence-mGAM-p5,10193,10259
A12-e003Coalescence-mGAM-p3,10082,10059
C2-e003Coalescence-mBHI-p3,9543,9720
C4-e004Assembly-mBHI-p5,9794,9991
D9-e003Coalescence-mGAM-p7,10119,10141
D4-e003Coalescence-mBHI-p7,10217,10311
D8-e003Assembly-mGAM-p3,9628,10053
E4-e004Assembly-mGAM-p7,9774,9987
E3-e004Assembly-mGAM-p3,8894,9027
D2-e004Assembly-mGAM-p3,8621,8834
B10-e003Coalescence-mGAM-p3,10051,10088
A9-e003Coalescence-mGAM-p7,10144,10192
B5-e003Coalescence-Inoculumn-mGAM,10180,10208
D10-e003Coalescence-mBHI-p5,10226,10322
D5-e003Coalescence-mBHI-p3,10217,10306
C5-e003Coalescence-mBHI-p3,10205,10298
D9-e003Coalescence-mGAM-p5,10171,10220
C9-e003Coalescence-mBHI-p3,10205,10287
D10-e003Coalescence-mGAM-p5,10218,10283
C8-e003Coalescence-mBHI-p7,9919,10064
B11-e003Assembly-mGAM-p5,10116,10116
G3-e004Assembly-epsilon-p7,8934,9078
B4-e003Coalescence-mGAM-p5,10129,10207
D4-e003Coalescence-mGAM-p5,10154,10233
C3-e004Assembly-mBHI-p7,8908,9049
B5-e003Coalescence-mGAM-p5,10103,10125
B5-e003Coalescence-Inoculumn-mBHI,10201,10301
G3-e004Assembly-epsilon-p3,8940,9051
C2-e003Coalescence-mGAM-p3,9601,9684
B5-e003Coalescence-mGAM-p7,9886,9846
D8-e003Coalescence-mBHI-p5,10224,10308
C10-e003Assembly-mGAM-p3,9463,9711
B10-e003Coalescence-mBHI-p5,10204,10297
D5-e003Coalescence-Inoculumn-mGAM,10233,10334
F2-e004Assembly-epsilon-p3,8981,9059
B3-e004Assembly-mBHI-p5,8909,9061
B5-e003Coalescence-mBHI-p3,10224,10328
G4-e004Assembly-epsilon-p5,8902,8952
C4-e003Coalescence-mGAM-p5,9989,10093
C5-e003Coalescence-mGAM-p7,10143,10182
C5-e003Coalescence-mBHI-inoculumn-redo,10185,10254
A2-e003Coalescence-mBHI-p7,10086,10297
A10-e003Coalescence-mBHI-p5,10108,10233
D2-e003Coalescence-mBHI-p7,6984,6870
B8-e003Assembly-mGAM-p3,9606,9992
A4-e003Coalescence-mGAM-p5,10232,10322
D5-e003Coalescence-mBHI-p5,10114,10221
D3-e003Assembly-mBHI-p3,10050,10057
D4-e003Coalescence-mGAM-p7,10190,10277
E4-e004Assembly-mGAM-p3,9008,9271
A8-e003Coalescence-mBHI-p7,10105,10303
E3-e004Assembly-mGAM-p7,8665,8840
B9-e003GlycerolRevival-mGAM-p2,9719,9725
C4-e003Coalescence-mGAM-p3,9833,9914
B2-e003Coalescence-Inoculumn-mGAM,10150,10277
D5-e003Coalescence-mGAM-p7,9717,9671
C5-e003Coalescence-mBHI-p5,10231,10334
C5-e003Coalescence-mGAM-p3,10179,10248
A3-e003Coalescence-mBHI-inoculumn-redo,10107,10215
D9-e003Assembly-mGAM-p5,9898,9893
B12-e003Coalescence-mGAM-p3,10153,10204
A11-e003Coalescence-mBHI-p7,10165,10246
A3-e003Coalescence-Inoculumn-mGAM,10081,10237
D10-e003Assembly-mGAM-p3,9604,9739
C3-e003Coalescence-mGAM-p5,10129,10219
B4-e004Assembly-mBHI-p5,9794,9991
C10-e003GlycerolRevival-mGAM-p2,9871,9997
D3-e003Assembly-mBHI-p5,10050,10079
A10-e003Coalescence-mGAM-p3,10185,10270
A9-e003Coalescence-mBHI-p3,10142,10232
A2-e003Coalescence-Inoculumn-mBHI,10118,10303
D3-e003Coalescence-mBHI-p7,10216,10305
C3-e003Coalescence-mBHI-p5,10173,10281
D2-e003Assembly-mBHI-p3,10012,10278
B3-e003Assembly-mBHI-p5,10136,10207
A9-e003Coalescence-mBHI-p5,10134,10199
D5-e003Coalescence-Inoculumn-mBHI,10226,10317
B2-e003Coalescence-mGAM-p3,9955,10072
B4-e003Assembly-mBHI-p3,9719,9864
C11-e003Coalescence-mGAM-p5,10194,10243
G4-e004Assembly-epsilon-p3,8639,8809
B3-e003Coalescence-Inoculumn-mBHI,9841,9947
A8-e003Coalescence-mBHI-p5,10075,10292
C2-e003Assembly-mBHI-p5,9938,10219
D9-e003Coalescence-mBHI-p3,10026,9993
D5-e003Assembly-mBHI-p5,10176,10249
A5-e003Coalescence-mBHI-p7,10229,10330
G2-e004Assembly-epsilon-p3,8994,9086
BG-Fecal,8619,8833
D2-e003Coalescence-mGAM-p5,10216,10319
B9-e003Assembly-mGAM-p5,9838,9834
D3-e003Coalescence-mGAM-p3,10214,10301
D9-e003Coalescence-mGAM-p3,10210,10273
E2-e004Assembly-mGAM-p7,8946,9060
D3-e003Coalescence-mGAM-p5,10199,10280
C10-e003Coalescence-mGAM-p3,10091,10200
A5-e003Coalescence-mBHI-inoculumn-redo,10223,10328
B11-e003Assembly-mGAM-p3,9232,9057
D2-e003Assembly-mBHI-p5,9922,10200
B9-e003Coalescence-mGAM-p7,10029,10071
B11-e003Coalescence-mGAM-p7,10112,10105
C3-e003Coalescence-Inoculumn-mGAM,10162,10245
B5-e003Coalescence-mBHI-p7,10231,10320
A3-e003Coalescence-mGAM-p7,9889,9995
D4-e003Coalescence-Inoculumn-mBHI,10189,10269
A4-e003Coalescence-mBHI-p5,10197,10315
B3-e003Coalescence-mBHI-p7,10090,10161
C2-e004Assembly-mBHI-p7,9782,9886
D10-e003Coalescence-mGAM-p7,10226,10312
C12-e003Coalescence-mGAM-p3,10041,10045
C11-e003Coalescence-mGAM-p3,10224,10320
A10-e003Coalescence-mBHI-p7,10053,10175
C10-e003Coalescence-mBHI-p7,9911,9995
B9-e003Coalescence-mBHI-p5,10144,10175
F4-e004Assembly-epsilon-p3,8672,8857
B10-e003Coalescence-mBHI-p3,10207,10306
C11-e003Coalescence-mBHI-p5,10233,10329
A2-e003Coalescence-mGAM-p7,9920,10197
C5-e003Assembly-mBHI-p3,10212,10273
E3-e004Assembly-mGAM-p5,8846,8992
E2-e004Assembly-mGAM-p5,8901,8992
C3-e003GlycerolRevival-mBHI-p2,10075,10115
D10-e003Coalescence-mGAM-p3,10198,10261
B10-e003Coalescence-mGAM-p7,9723,9722
C4-e004Assembly-mBHI-p3,9886,10039
A9-e003Coalescence-mBHI-p7,10186,10244
C2-e003Coalescence-Inoculumn-mGAM,10175,10307
B3-e003Coalescence-Inoculumn-mGAM,10027,10057
D11-e003Coalescence-mGAM-p7,10227,10315
D5-e003Coalescence-mGAM-p3,10215,10313
D4-e004Assembly-mGAM-p3,8702,9028
E4-e004Assembly-mGAM-p5,9710,9941
D2-e003Coalescence-Inoculumn-mBHI,10210,10322
B4-e003Coalescence-Inoculumn-mGAM,10199,10276
F2-e004Assembly-epsilon-p7,8921,9009
A10-e003Coalescence-mGAM-p7,10092,10227
B2-e003Assembly-mBHI-p3,9881,10236
F4-e004Assembly-epsilon-p7,8886,8939
D9-e003Coalescence-mBHI-p5,10203,10255
C4-e003Coalescence-Inoculumn-mGAM,10065,10168
D4-e003Coalescence-mGAM-p3,10150,10213
B9-e003Coalescence-mBHI-p7,10168,10215
A2-e003Coalescence-mGAM-p5,9991,10245
D11-e003Assembly-mGAM-p5,9905,9826
C3-e003Coalescence-mGAM-p7,10093,10189
B11-e003GlycerolRevival-mGAM-p2,10083,10094
B3-e003Coalescence-mGAM-p5,10065,10162
D9-e003Coalescence-mBHI-p7,10147,10164
B10-e003Assembly-mGAM-p3,9883,10013
D3-e004Assembly-mGAM-p5,8784,8947
C5-e003Coalescence-mBHI-p7,10231,10319
D12-e003Coalescence-mBHI-p3,10148,10176
E2-e004Assembly-mGAM-p3,5575,5889
D4-e004Assembly-mGAM-p7,9887,10037
C11-e003Coalescence-mGAM-p7,10182,10248
C11-e003Assembly-mGAM-p3,6780,6392
D10-e003Coalescence-mBHI-p7,10217,10305
C9-e003Coalescence-mBHI-p7,10187,10287
A2-e003Coalescence-mBHI-p3,10082,10296
B8-e003Coalescence-mGAM-p5,10067,10067
C3-e004Assembly-mBHI-p3,8901,9026
C11-e003Assembly-mGAM-p5,4423,3647
B10-e003GlycerolRevival-mGAM-p2,9925,10072
B3-e003Coalescence-mBHI-p5,10032,10125
C2-e003Coalescence-mBHI-inoculumn-redo,10160,10310
A8-e003Coalescence-mGAM-p7,9940,10243
C11-e003GlycerolRevival-mGAM-p2,10083,10078
B2-e003Coalescence-Inoculumn-mBHI,10106,10254
A11-e003Coalescence-mBHI-p5,10214,10294
C10-e003Coalescence-mGAM-p5,10046,10150
C4-e003Assembly-mBHI-p5,10019,10145
C9-e003Assembly-mGAM-p5,9984,9999
A5-e003Coalescence-Inoculumn-mGAM,10209,10317
A3-e003Coalescence-mBHI-p3,10226,10333
D4-e003Coalescence-Inoculumn-mGAM,9879,9964
A2-e003Coalescence-mBHI-p5,10067,10299
G2-e004Assembly-epsilon-p5,9093,9157
C5-e003Assembly-mBHI-p5,9981,9988
C10-e003Coalescence-mBHI-p5,9949,10059
B9-e003Coalescence-mBHI-p3,10076,10093
C3-e003Coalescence-mBHI-inoculumn-redo,9707,9823
e004-inoculumn-fecal-AR,4320,4413
B5-e003Coalescence-mGAM-p3,10094,10143
C3-e003Assembly-mBHI-p5,10064,10087
F2-e004Assembly-epsilon-p5,8941,9038
A5-e003Coalescence-mBHI-p3,10182,10265
C4-e004Assembly-mBHI-p7,9945,10104
A4-e003Coalescence-mBHI-p3,9841,10004
C9-e003GlycerolRevival-mGAM-p2,9984,9994
B2-e004Assembly-mBHI-p7,9867,10029
B4-e004Assembly-mBHI-p3,9522,9754
F3-e004Assembly-epsilon-p5,8881,9052
C9-e003Coalescence-mGAM-p5,10091,10104
A2-e003Coalescence-mBHI-inoculumn-redo,10149,10315
C2-e003Coalescence-mGAM-p5,9925,10015
B8-e003GlycerolRevival-mGAM-p2,9877,10198
C8-e003Coalescence-mBHI-p5,10041,10196
B8-e003Coalescence-mGAM-p7,10135,10194
B4-e003Coalescence-Inoculumn-mBHI,9718,9866
D2-e003Coalescence-Inoculumn-mGAM,10180,10304
B8-e003Coalescence-mBHI-p7,10182,10235
B3-e004Assembly-mBHI-p3,8880,9045
D3-e003Coalescence-Inoculumn-mGAM,10168,10193
B11-e003Coalescence-mBHI-p3,10221,10300
C5-e003Coalescence-Inoculumn-mGAM,10220,10309
C4-e003Coalescence-mBHI-p5,9814,9920
B2-e004Assembly-mBHI-p3,9941,10087
G3-e004Assembly-epsilon-p5,8861,9002
A11-e003Coalescence-mBHI-p3,10231,10328
B2-e004Assembly-mBHI-p5,10000,10148
B4-e004Assembly-mBHI-p7,9836,10004
B2-e003Coalescence-mBHI-p7,9823,9932
A4-e003Coalescence-Inoculumn-mGAM,10206,10329
B4-e003Coalescence-mBHI-p3,10024,10135
A5-e003Coalescence-Inoculumn-mBHI,10140,10253
C2-e003Coalescence-mBHI-p7,9637,9875
A9-e003Coalescence-mGAM-p5,10136,10196
C10-e003Coalescence-mGAM-p7,10082,10177
F3-e004Assembly-epsilon-p7,8922,9071
A11-e003Coalescence-mGAM-p3,10192,10262
C10-e003Coalescence-mBHI-p3,10038,10175
D2-e003Coalescence-mBHI-p3,10229,10329
C5-e003GlycerolRevival-mBHI-p2,10112,10158
H5-e003Coalescence-mBHI-p5_S40,10218,10292
E2-e003Coalescence-mGAM-p7_S145,9753,10200
G5-e003Coalescence-mBHI-p7_S124,10226,10329
H111-e003Coalescence-mGAM-p7_S188,10201,10283
H4-e003Coalescence-mGAM-p7_S183,10196,10284
F5-e003Coalescence-mGAM-p5_S64,10170,10229
F5-e003Coalescence-mGAM-p7_S160,10163,10244
F8-e003Coalescence-mBHI-p3_S117,10057,10098
H3-e003Coalescence-mBHI-p3_S46,10224,10319
H2-e003Coalescence-mBHI-p7_S133,10208,10308
E5-e003Coalescence-mBHI-p3_S12,10222,10321
F100-e003Coalescence-mGAM-p7_S163,10012,10027
F9-e003Coalescence-mBHI-p5_S18,10102,10108
H3-e003Coalescence-mBHI-p7_S134,10215,10309
E3-e003Coalescence-mGAM-p3_S58,9870,9998
G4-e003Coalescence-mBHI-p5_S27,9659,9773
E8-e003Coalescence-mBHI-p5_S5,9855,10262
G2-e003Coalescence-mBHI-p3_S33,9449,9705
E9-e003Coalescence-mBHI-p5_S6,10131,10157
H111-e003Coalescence-mBHI-p3_S144,10206,10306
G111-e003Coalescence-mGAM-p5_S80,10165,10205
G100-e003Coalescence-mGAM-p3_S179,9952,10113
F111-e003Coalescence-mGAM-p5_S68,10097,10099
G111-e003Coalescence-mBHI-p5_S32,10229,10329
G5-e003Coalescence-mBHI-p3_S36,10223,10322
H2-e003Coalescence-mGAM-p7_S181,10223,10327
H9-e003Coalescence-mGAM-p3_S190,9870,9862
F2-e003Coalescence-mBHI-p7_S109,6179,6199
E3-e003Coalescence-mBHI-p3_S10,10188,10315
H2-e003Coalescence-mGAM-p5_S85,9285,9289
G8-e003Coalescence-mGAM-p3_S177,10031,10148
F2-e003Coalescence-mGAM-p7_S157,9838,9951
H3-e003Coalescence-mGAM-p3_S94,10147,10200
H4-e003Coalescence-mGAM-p3_S95,10069,10128
E5-e003Coalescence-mBHI-p7_S100,10199,10298
G111-e003Coalescence-mBHI-p3_S132,7947,7359
F3-e003Coalescence-mGAM-p3_S70,8259,8100
E100-e003Coalescence-mBHI-p7_S103,10090,10225
F9-e003Coalescence-mGAM-p5_S66,10021,10015
