,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,0.055674518201284794,0.03004601642154651
C9-e003Coalescence-mGAM-p3,0.3286937901498929,0.8152124875936119
D2-e004Assembly-mGAM-p7,0.4539614561027837,0.5321663809437878
C11-e003Coalescence-mBHI-p3,0.02462526766595289,0.005143011819904358
D11-e003Coalescence-mBHI-p5,0.3747323340471092,0.573490932058107
C9-e003Coalescence-mGAM-p7,0.32012847965738755,0.964269602093296
C8-e003Coalescence-mGAM-p7,0.019271948608137045,0.0
D10-e003Coalescence-mBHI-p3,0.017130620985010708,9.022827754218172e-05
F3-e004Assembly-epsilon-p3,0.5139186295503212,0.5235044662997383
B2-e003Coalescence-mBHI-p3,0.0,9.022827754218172e-05
A8-e003Coalescence-mBHI-p3,0.708779443254818,0.7826400794008842
e004-inoculumn-fecal-BD,0.5096359743040685,0.5879274564648561
A4-e003Coalescence-mBHI-p7,0.019271948608137045,0.0
B4-e003Coalescence-mBHI-p5,0.11134903640256959,0.08869439682396463
B9-e003Coalescence-mGAM-p5,0.34796573875803,0.9630966344852476
A4-e003Coalescence-mBHI-inoculumn-redo,0.018201284796573874,0.0
B3-e003Coalescence-mBHI-p3,0.0,0.0
D4-e003Coalescence-mBHI-p5,0.022483940042826552,0.00315798971397636
C2-e003Coalescence-mBHI-p5,0.016059957173447537,0.0
B3-e004Assembly-mBHI-p7,0.5299785867237687,0.5240458359649914
D4-e003Coalescence-mBHI-p3,0.018201284796573874,0.000631597942795272
C4-e003GlycerolRevival-mBHI-p2,0.023554603854389723,0.0
D10-e003Assembly-mGAM-p5,0.21199143468950749,0.06875394748714247
B2-e003Assembly-mBHI-p5,0.6927194860813705,0.7759631868627628
C3-e004Assembly-mBHI-p5,0.525695931477516,0.5234142380221961
B2-e003Coalescence-mBHI-p5,0.0,0.0003609131101687269
B8-e003Assembly-mGAM-p5,0.6852248394004282,0.7689253812144726
F4-e004Assembly-epsilon-p5,0.4207708779443255,0.5168275737616169
C4-e003Coalescence-mGAM-p7,0.027837259100642397,0.0
B12-e003Coalescence-mBHI-p3,0.3747323340471092,0.8789136515383922
D3-e004Assembly-mGAM-p7,0.512847965738758,0.5112334205540017
C8-e003Assembly-mGAM-p3,0.7012847965738758,0.7768654696381846
C3-e003Coalescence-mGAM-p3,0.0,0.0
B4-e003Assembly-mBHI-p5,0.010706638115631691,0.0
D4-e004Assembly-mGAM-p5,0.6616702355460385,0.7645041956149057
D3-e003Coalescence-Inoculumn-mBHI,0.0,0.0
C8-e003Assembly-mGAM-p5,0.6445396145610278,0.7465487683840115
C3-e003Coalescence-mBHI-p7,0.0,0.0
D11-e003Coalescence-mGAM-p5,0.5053533190578159,0.8715149327799332
A11-e003Coalescence-mGAM-p7,0.5,0.8721465307227285
B8-e003Coalescence-mBHI-p5,0.31798715203426126,0.6904267797527746
B10-e003Assembly-mGAM-p5,0.10706638115631692,0.021564558332581432
C2-e003Coalescence-mGAM-p7,0.013918629550321198,0.0
D3-e003Coalescence-mBHI-p5,0.0,0.000631597942795272
B11-e003Coalescence-mGAM-p3,0.3683083511777302,0.8827934674727059
C4-e003Coalescence-mBHI-inoculumn-redo,0.02569593147751606,0.0
B5-e003Assembly-mBHI-p5,0.39400428265524623,0.654876838401155
D2-e003Coalescence-mBHI-p5,0.42398286937901497,0.6617341874943607
D8-e003Assembly-mGAM-p5,0.6873661670235546,0.7617973472886402
D5-e003Coalescence-mGAM-p5,0.4732334047109208,0.8382206983668682
B5-e003Coalescence-mBHI-p5,0.0010706638115631692,0.00261662004872327
D5-e003Coalescence-mBHI-p7,0.38436830835117775,0.6462149237571054
C9-e003Coalescence-mBHI-p5,0.0,0.0003609131101687269
A10-e003Coalescence-mBHI-p3,0.02676659528907923,0.00018045655508436344
A5-e003Coalescence-mGAM-p3,0.46466809421841543,0.7679328701615086
A2-e003Coalescence-Inoculumn-mGAM,0.7044967880085653,0.7813768835152937
D8-e003Coalescence-mGAM-p5,0.49785867237687365,0.8754849769917892
A12-e003Coalescence-mGAM-p3,0.4925053533190578,0.8605070829197871
C2-e003Coalescence-mBHI-p3,0.008565310492505354,0.0
C4-e004Assembly-mBHI-p5,0.5974304068522484,0.6832085175493999
D9-e003Coalescence-mGAM-p7,0.3372591006423983,0.8861319137417667
D4-e003Coalescence-mBHI-p7,0.09100642398286937,0.059550663177839934
D8-e003Assembly-mGAM-p3,0.6852248394004282,0.7659478480555806
E4-e004Assembly-mGAM-p7,0.6595289079229122,0.7710006315979427
E3-e004Assembly-mGAM-p3,0.5267665952890792,0.5230533249120274
D2-e004Assembly-mGAM-p3,0.4678800856531049,0.551114319227646
B10-e003Coalescence-mGAM-p3,0.3351177730192719,0.8462510150681224
A9-e003Coalescence-mGAM-p7,0.35974304068522484,0.807362627447442
B5-e003Coalescence-Inoculumn-mGAM,0.37366167023554603,0.8836957502481277
D10-e003Coalescence-mBHI-p5,0.018201284796573874,0.0009925110529639988
D5-e003Coalescence-mBHI-p3,0.37366167023554603,0.627627898583416
C5-e003Coalescence-mBHI-p3,0.027837259100642397,0.003248217991518542
D9-e003Coalescence-mGAM-p5,0.3468950749464668,0.8848687178561762
C9-e003Coalescence-mBHI-p3,0.0,0.0003609131101687269
D10-e003Coalescence-mGAM-p5,0.487152034261242,0.7444735180005414
C8-e003Coalescence-mBHI-p7,0.018201284796573874,0.0
B11-e003Assembly-mGAM-p5,0.4892933618843683,0.8695299106740052
G3-e004Assembly-epsilon-p7,0.5235546038543897,0.5244067490751602
B4-e003Coalescence-mGAM-p5,0.032119914346895075,0.042407290444825406
D4-e003Coalescence-mGAM-p5,0.49036402569593146,0.7355409185238654
C3-e004Assembly-mBHI-p7,0.525695931477516,0.5224217269692322
B5-e003Coalescence-mGAM-p5,0.3372591006423983,0.7985202562483082
B5-e003Coalescence-Inoculumn-mBHI,0.0,0.0
G3-e004Assembly-epsilon-p3,0.5246252676659529,0.5239556076874492
C2-e003Coalescence-mGAM-p3,0.017130620985010708,0.0
B5-e003Coalescence-mGAM-p7,0.3222698072805139,0.7560227375259406
D8-e003Coalescence-mBHI-p5,0.49036402569593146,0.8468826130109176
C10-e003Assembly-mGAM-p3,0.9325481798715204,0.7019759992781738
B10-e003Coalescence-mBHI-p5,0.0,0.00027068483262654517
D5-e003Coalescence-Inoculumn-mGAM,0.493576017130621,0.8754849769917892
F2-e004Assembly-epsilon-p3,0.38436830835117775,0.500496255526482
B3-e004Assembly-mBHI-p5,0.5224839400428265,0.5235946945772805
B5-e003Coalescence-mBHI-p3,0.0,0.0024361634936389065
G4-e004Assembly-epsilon-p5,0.4860813704496788,0.5533700261662005
C4-e003Coalescence-mGAM-p5,0.02462526766595289,0.0
C5-e003Coalescence-mGAM-p7,0.46359743040685225,0.7177659478480556
C5-e003Coalescence-mBHI-inoculumn-redo,0.017130620985010708,0.0
A2-e003Coalescence-mBHI-p7,0.7077087794432548,0.7816475683479203
A10-e003Coalescence-mBHI-p5,0.009635974304068522,0.0
D2-e003Coalescence-mBHI-p7,0.3897216274089936,0.6606514481638546
B8-e003Assembly-mGAM-p3,0.6766595289079229,0.7636019128394839
A4-e003Coalescence-mGAM-p5,0.3618843683083512,0.6119281782910764
D5-e003Coalescence-mBHI-p5,0.046038543897216275,0.006225751150410539
D3-e003Assembly-mBHI-p3,0.3286937901498929,0.9953081295678066
D4-e003Coalescence-mGAM-p7,0.48822269807280516,0.7202021113416945
E4-e004Assembly-mGAM-p3,0.6145610278372591,0.7253451231615988
A8-e003Coalescence-mBHI-p7,0.7066381156316917,0.7807452855724984
E3-e004Assembly-mGAM-p7,0.5171306209850107,0.5087972570603627
B9-e003GlycerolRevival-mGAM-p2,0.32441113490364026,0.9685103311377786
C4-e003Coalescence-mGAM-p3,0.017130620985010708,0.0
B2-e003Coalescence-Inoculumn-mGAM,0.35653104925053536,0.7931967878733195
D5-e003Coalescence-mGAM-p7,0.4668094218415418,0.8317242623838311
C5-e003Coalescence-mBHI-p5,0.011777301927194861,9.022827754218172e-05
C5-e003Coalescence-mGAM-p3,0.31263383297644537,0.36145447983398
A3-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0015338807182170892
D9-e003Assembly-mGAM-p5,0.3286937901498929,0.9868266714788415
B12-e003Coalescence-mGAM-p3,0.3693790149892934,0.881349815032031
A11-e003Coalescence-mBHI-p7,0.49571734475374735,0.872868356943066
A3-e003Coalescence-Inoculumn-mGAM,0.37366167023554603,0.7911215374898494
D10-e003Assembly-mGAM-p3,0.21627408993576017,0.06974645854010647
C3-e003Coalescence-mGAM-p5,0.08993576017130621,0.1456284399530813
B4-e004Assembly-mBHI-p5,0.6670235546038544,0.7797527745195344
C10-e003GlycerolRevival-mGAM-p2,0.9057815845824411,0.6658846882613011
D3-e003Assembly-mBHI-p5,0.33832976445396146,0.9947667599025535
A10-e003Coalescence-mGAM-p3,0.019271948608137045,0.0
A9-e003Coalescence-mBHI-p3,0.3286937901498929,0.7693765226021835
A2-e003Coalescence-Inoculumn-mBHI,0.7098501070663812,0.781557340070378
D3-e003Coalescence-mBHI-p7,0.0,0.0
C3-e003Coalescence-mBHI-p5,0.0,0.0
D2-e003Assembly-mBHI-p3,0.708779443254818,0.7798430027970766
B3-e003Assembly-mBHI-p5,0.0,0.0010827393305061807
A9-e003Coalescence-mBHI-p5,0.32441113490364026,0.7479021925471443
D5-e003Coalescence-Inoculumn-mBHI,0.3758029978586724,0.6248308219796084
B2-e003Coalescence-mGAM-p3,0.0,0.0004511413877109086
B4-e003Assembly-mBHI-p3,0.022483940042826552,9.022827754218172e-05
C11-e003Coalescence-mGAM-p5,0.4132762312633833,0.6060633402508346
G4-e004Assembly-epsilon-p3,0.38436830835117775,0.5071731480646035
B3-e003Coalescence-Inoculumn-mBHI,0.0,0.0007218262203374538
A8-e003Coalescence-mBHI-p5,0.6306209850107066,0.7728051971487865
C2-e003Assembly-mBHI-p5,0.702355460385439,0.7784895786339439
D9-e003Coalescence-mBHI-p3,0.38436830835117775,0.8679960299557882
