,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,0.145,0.819
C9-e003Coalescence-mGAM-p3,0.002853935375545521,0.9927454343758526
D2-e004Assembly-mGAM-p7,0.04397634045186993,0.19999999999999996
C11-e003Coalescence-mBHI-p3,0.145,0.821
D11-e003Coalescence-mBHI-p5,0.0015184093910677568,0.9977697573836508
C9-e003Coalescence-mGAM-p7,0.0018819490809567135,0.9947758060214464
C8-e003Coalescence-mGAM-p7,0.535,0.398
D10-e003Coalescence-mBHI-p3,0.203,0.755
F3-e004Assembly-epsilon-p3,0.00611866421920115,0.002890099090994367
B2-e003Coalescence-mBHI-p3,0.436,0.481
A8-e003Coalescence-mBHI-p3,0.0005296250003060499,0.9986031453942933
e004-inoculumn-fecal-BD,0.002543919632527862,0.002297377293817972
A4-e003Coalescence-mBHI-p7,0.39,0.505
B4-e003Coalescence-mBHI-p5,0.5,0.33299999999999996
B9-e003Coalescence-mGAM-p5,0.0005245085617389215,0.9982715732999211
A4-e003Coalescence-mBHI-inoculumn-redo,0.509,0.41200000000000003
B3-e003Coalescence-mBHI-p3,0.584,0.391
D4-e003Coalescence-mBHI-p5,0.206,0.7110000000000001
C2-e003Coalescence-mBHI-p5,0.755,0.18600000000000005
B3-e004Assembly-mBHI-p7,0.008728094547978111,0.004085318191139539
D4-e003Coalescence-mBHI-p3,0.277,0.62
C4-e003GlycerolRevival-mBHI-p2,0.655,0.29100000000000004
D10-e003Assembly-mGAM-p5,0.5,0.33299999999999996
B2-e003Assembly-mBHI-p5,0.005938015273824697,0.9847129126411834
C3-e004Assembly-mBHI-p5,0.009729679168237894,0.0045692424890351625
B2-e003Coalescence-mBHI-p5,0.757,0.21499999999999997
B8-e003Assembly-mGAM-p5,0.010847517201253432,0.9729836391406459
F4-e004Assembly-epsilon-p5,0.006813621934209086,0.051000000000000045
C4-e003Coalescence-mGAM-p7,0.627,0.30600000000000005
B12-e003Coalescence-mBHI-p3,0.0011789598862537198,0.9960162902059986
D3-e004Assembly-mGAM-p7,0.03430270660927419,0.016767910039521446
C8-e003Assembly-mGAM-p3,0.005028156556958251,0.9871599454245448
C3-e003Coalescence-mGAM-p3,0.538,0.386
B4-e003Assembly-mBHI-p5,0.803,0.15800000000000003
D4-e004Assembly-mGAM-p5,0.005853747220436443,0.9849776518001157
D3-e003Coalescence-Inoculumn-mBHI,0.507,0.43500000000000005
C8-e003Assembly-mGAM-p5,0.020855120601449076,0.9513844744027554
C3-e003Coalescence-mBHI-p7,0.59,0.347
D11-e003Coalescence-mGAM-p5,0.00024485311042933013,0.9997533766040461
A11-e003Coalescence-mGAM-p7,0.00048973193613343,0.9993739365651727
B8-e003Coalescence-mBHI-p5,0.0011174560713277683,0.988
B10-e003Assembly-mGAM-p5,0.343,0.55
C2-e003Coalescence-mGAM-p7,0.797,0.17300000000000004
D3-e003Coalescence-mBHI-p5,0.274,0.606
B11-e003Coalescence-mGAM-p3,0.0002962729586523855,0.9989625220479658
C4-e003Coalescence-mBHI-inoculumn-redo,0.856,0.12
B5-e003Assembly-mBHI-p5,0.004705613384836998,0.919
D2-e003Coalescence-mBHI-p5,0.0021740170485733254,0.9955747053303522
D8-e003Assembly-mGAM-p5,0.012675897976694505,0.9693737361127496
D5-e003Coalescence-mGAM-p5,0.0010119186909492582,0.9975069931365408
B5-e003Coalescence-mBHI-p5,0.207,0.63
