,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,0.15559022044088175,0.8047035140795903
C9-e003Coalescence-mGAM-p3,0.06920264529058118,0.7587478473353503
D2-e004Assembly-mGAM-p7,0.2324914629258517,0.3191062950895974
C11-e003Coalescence-mBHI-p3,0.15692448897795594,0.8062935769141261
D11-e003Coalescence-mBHI-p5,0.007614268537074149,0.9886457412148011
C9-e003Coalescence-mGAM-p7,0.06485899799599198,0.7663146381196184
C8-e003Coalescence-mGAM-p7,0.5946012024048096,0.29909140097742615
D10-e003Coalescence-mBHI-p3,0.2302557915831663,0.7086527228298813
F3-e004Assembly-epsilon-p3,0.3502092184368738,0.15778676983942286
B2-e003Coalescence-mBHI-p3,0.49042460921843684,0.38610932045613217
A8-e003Coalescence-mBHI-p3,0.1508081763527054,0.6004531649988364
e004-inoculumn-fecal-BD,0.27082685370741477,0.2493166162438911
A4-e003Coalescence-mBHI-p7,0.4731428456913828,0.38237468000930885
B4-e003Coalescence-mBHI-p5,0.47017026052104205,0.29728473353502444
B9-e003Coalescence-mGAM-p5,0.06365883767535072,0.7740363043984174
A4-e003Coalescence-mBHI-inoculumn-redo,0.5726756713426855,0.3106074005119851
B3-e003Coalescence-mBHI-p3,0.6048322244488977,0.32377804282057254
D4-e003Coalescence-mBHI-p5,0.23585635270541083,0.666498429136607
C2-e003Coalescence-mBHI-p5,0.7741049298597195,0.16872509890621362
B3-e004Assembly-mBHI-p7,0.3512990781563126,0.157911042587852
D4-e003Coalescence-mBHI-p3,0.3173944689378757,0.5594926111240401
C4-e003GlycerolRevival-mBHI-p2,0.6979394789579159,0.22207417966022808
D10-e003Assembly-mGAM-p5,0.5040002404809619,0.2942277751919944
B2-e003Assembly-mBHI-p5,0.14696488977955913,0.5865792413311612
C3-e004Assembly-mBHI-p5,0.35152376753507014,0.15675366534791713
B2-e003Coalescence-mBHI-p5,0.7581462925851703,0.20006202001396323
B8-e003Assembly-mGAM-p5,0.1442770340681363,0.5827077030486386
F4-e004Assembly-epsilon-p5,0.2642511422845691,0.26853682801954853
C4-e003Coalescence-mGAM-p7,0.6643979959919839,0.24266447521526643
B12-e003Coalescence-mBHI-p3,0.01358509018036072,0.9486789038864325
D3-e004Assembly-mGAM-p7,0.34492897795591176,0.1549855713288341
C8-e003Assembly-mGAM-p3,0.1463900601202405,0.5909952874098207
C3-e003Coalescence-mGAM-p3,0.5710383967935871,0.338806434721899
B4-e003Assembly-mBHI-p5,0.8144719038076152,0.13725267628578075
D4-e004Assembly-mGAM-p5,0.14346789579158317,0.5977189318128927
D3-e003Coalescence-Inoculumn-mBHI,0.5112426452905812,0.4299174424016756
C8-e003Assembly-mGAM-p5,0.13846356713426855,0.5581003025366534
C3-e003Coalescence-mBHI-p7,0.6140820040080159,0.30743332557598324
D11-e003Coalescence-mGAM-p5,0.0024376753507014026,0.9921583663020712
A11-e003Coalescence-mGAM-p7,0.0017167935871743487,0.9841252618105656
B8-e003Coalescence-mBHI-p5,0.05706501002004008,0.8084208750290901
B10-e003Assembly-mGAM-p5,0.41503070140280557,0.4082019432161973
C2-e003Coalescence-mGAM-p7,0.8182367935871744,0.14207417966022803
D3-e003Coalescence-mBHI-p5,0.2964858517034068,0.595887130556202
B11-e003Coalescence-mGAM-p3,0.019931142284569138,0.9309782988131254
C4-e003Coalescence-mBHI-inoculumn-redo,0.8775172745490982,0.11414009774261114
B5-e003Assembly-mBHI-p5,0.03426420841683366,0.9090303118454736
