,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.023512574115722756,0.0
C9-e003Coalescence-mGAM-p3,0.26211408709875283,0.21623433551647672
D2-e004Assembly-mGAM-p7,0.43692496421999594,0.4788819555463875
C11-e003Coalescence-mBHI-p3,0.00531588632181558,0.0
D11-e003Coalescence-mBHI-p5,0.44714782253117974,0.0
C9-e003Coalescence-mGAM-p7,0.7785728889797587,0.2483626424629983
C8-e003Coalescence-mGAM-p7,0.0,0.3798153782682688
D10-e003Coalescence-mBHI-p3,0.0,0.0
F3-e004Assembly-epsilon-p3,0.610509098343897,0.7430251147439534
B2-e003Coalescence-mBHI-p3,0.2416683704763852,0.11979784436078593
A8-e003Coalescence-mBHI-p3,0.46084645266816604,0.4662472280955082
e004-inoculumn-fecal-BD,0.5914945818850951,0.6676293125676861
A4-e003Coalescence-mBHI-p7,0.0,0.3567118766438038
B4-e003Coalescence-mBHI-p5,0.06092823553465549,0.3954927543705843
B9-e003Coalescence-mGAM-p5,0.8000408914332447,0.18776752101490382
A4-e003Coalescence-mBHI-inoculumn-redo,0.00020445716622367614,0.35428807178588007
B3-e003Coalescence-mBHI-p3,0.10386424044162748,0.1731731215512351
D4-e003Coalescence-mBHI-p5,0.00020445716622367614,0.0
C2-e003Coalescence-mBHI-p5,0.0,0.33551647671600227
B3-e004Assembly-mBHI-p7,0.6145982416683705,0.7460161930792636
D4-e003Coalescence-mBHI-p3,0.0,0.00015471094837811355
C4-e003GlycerolRevival-mBHI-p2,0.0,0.42138105306585527
D10-e003Assembly-mGAM-p5,0.017174401962788795,0.4636171419730803
B2-e003Assembly-mBHI-p5,0.4553261091801268,0.46114176679903046
C3-e004Assembly-mBHI-p5,0.609282355346555,0.7448300758083647
B2-e003Coalescence-mBHI-p5,0.3708852995297485,0.22015367954205559
B8-e003Assembly-mGAM-p5,0.4487834798609691,0.4555206023412923
F4-e004Assembly-epsilon-p5,0.38887753015743204,0.42499097519467793
C4-e003Coalescence-mGAM-p7,0.0,0.43076685060079417
B12-e003Coalescence-mBHI-p3,0.8104682069106522,0.0
D3-e004Assembly-mGAM-p7,0.595379268043345,0.7286369965447889
C8-e003Assembly-mGAM-p3,0.4567573093436925,0.4625341653344335
C3-e003Coalescence-mGAM-p3,0.0,0.18410602856995514
B4-e003Assembly-mBHI-p5,0.0,0.40333144242174207
D4-e004Assembly-mGAM-p5,0.475362911470047,0.4407199216131195
D3-e003Coalescence-Inoculumn-mBHI,0.32365569413207934,0.0
C8-e003Assembly-mGAM-p5,0.43651604988754855,0.44231860141302665
C3-e003Coalescence-mBHI-p7,0.0,0.18286834098293023
D11-e003Coalescence-mGAM-p5,0.9885503986914741,0.0
A11-e003Coalescence-mGAM-p7,0.9850746268656716,0.0
B8-e003Coalescence-mBHI-p5,0.41279901860560214,0.0
B10-e003Assembly-mGAM-p5,0.0,0.43906967149708626
C2-e003Coalescence-mGAM-p7,0.0,0.33438192976122944
D3-e003Coalescence-mBHI-p5,0.3821304436720507,5.157031612603785e-05
B11-e003Coalescence-mGAM-p3,0.8098548354119812,0.0
C4-e003Coalescence-mBHI-inoculumn-redo,0.00020445716622367614,0.3997215202929194
B5-e003Assembly-mBHI-p5,0.8102637497444285,0.0
D2-e003Coalescence-mBHI-p5,0.4575751380085872,0.0
D8-e003Assembly-mGAM-p5,0.4455121652013903,0.4542313444381414
D5-e003Coalescence-mGAM-p5,0.957677366591699,0.0
B5-e003Coalescence-mBHI-p5,0.3150684931506849,0.0
D5-e003Coalescence-mBHI-p7,0.7924759762829687,0.0
C9-e003Coalescence-mBHI-p5,0.0,0.031612603785261206
A10-e003Coalescence-mBHI-p3,0.0,0.41369707596307564
A5-e003Coalescence-mGAM-p3,0.49560417092619097,0.0
A2-e003Coalescence-Inoculumn-mGAM,0.4585974238397056,0.4648548295601052
D8-e003Coalescence-mGAM-p5,0.9748517685544879,0.0
