,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B9-e003Coalescence-mGAM-p5,0.3510928961748634,0.41011984021304926
A4-e003Coalescence-mBHI-inoculumn-redo,0.00819672131147541,0.6271637816245007
C4-e003Coalescence-mGAM-p7,0.7581967213114754,0.0
e004-inoculumn-fecal-AK,0.7213114754098361,0.6564580559254327
C3-e003Coalescence-mGAM-p3,0.9275956284153005,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.4603825136612022,0.49267643142476697
C2-e003Coalescence-mGAM-p7,0.0,0.6191744340878829
C4-e003Coalescence-mBHI-inoculumn-redo,1.0,0.0
B4-e003Coalescence-mGAM-p5,0.7062841530054644,0.0
D4-e003Coalescence-mGAM-p5,0.6967213114754098,0.0039946737683089215
BB-Fecal,0.5013661202185792,0.5525965379494008
C5-e003Coalescence-mBHI-inoculumn-redo,0.8237704918032787,0.0039946737683089215
A2-e003Coalescence-mBHI-p7,0.0,0.6058588548601864
BF-Fecal,0.5273224043715847,0.5845539280958721
AM-Fecal,0.7049180327868853,0.7443408788282291
e003-inoculumn-fecal-inoculumn,0.001366120218579235,0.9347536617842876
e003-inoculumn-fecal-AC,0.6215846994535519,0.6990679094540613
C4-e003Coalescence-mGAM-p3,0.9986338797814208,0.0
C5-e003Coalescence-mGAM-p3,0.9631147540983607,0.0
A2-e003Coalescence-Inoculumn-mBHI,0.0,1.0
D5-e003Coalescence-Inoculumn-mBHI,0.476775956284153,0.4980026631158455
G4-e004Assembly-epsilon-p3,0.5478142076502732,0.5512649800266312
B3-e003Coalescence-Inoculumn-mBHI,0.3087431693989071,0.29027962716378164
A5-e003Coalescence-mBHI-p7,0.3674863387978142,0.40346205059920104
G2-e004Assembly-epsilon-p3,0.4890710382513661,0.40745672436750996
BG-Fecal,0.5737704918032787,0.5805592543275633
D2-e003Coalescence-mGAM-p5,0.001366120218579235,0.6697736351531292
A5-e003Coalescence-mBHI-inoculumn-redo,0.0,0.881491344873502
D2-e003Assembly-mBHI-p5,0.0,0.4673768308921438
F4-e004Assembly-epsilon-p3,0.4275956284153005,0.4207723035952064
D2-e003Coalescence-Inoculumn-mBHI,0.00273224043715847,0.6910785619174434
C3-e003Coalescence-mGAM-p7,0.7363387978142076,0.0
C5-e004Assembly-mBHI-p7,0.36475409836065575,0.3981358189081225
C5-e003Coalescence-mBHI-p7,0.7349726775956285,0.0
A2-e003Coalescence-mBHI-p3,0.0,0.5645805592543276
C2-e003Coalescence-mBHI-inoculumn-redo,0.004098360655737705,0.5286284953395473
AG-Fecal,0.5300546448087432,0.625832223701731
A2-e003Coalescence-mBHI-p5,0.0,0.7403462050599201
C3-e003Coalescence-mBHI-inoculumn-redo,0.5095628415300546,0.07989347536617843
e004-inoculumn-fecal-AR,0.6680327868852459,0.7430093209054593
BK-Fecal,0.6844262295081968,0.6378162450066578
A2-e003Coalescence-mBHI-inoculumn-redo,0.0,0.9933422103861518
B4-e003Coalescence-Inoculumn-mBHI,0.4016393442622951,0.12649800266311584
e003-inoculumn-fecal-AE,0.8661202185792349,0.0039946737683089215
BC-Fecal,0.5409836065573771,0.5699067909454061
e004-inoculumn-fecal-BE,0.5068306010928961,0.5246338215712384
BA-Fecal,0.5642076502732241,0.5792276964047937
e003-inoculumn-fecal-AF,0.5314207650273224,0.5659121171770972
A5-e003Coalescence-Inoculumn-mBHI,0.006830601092896175,0.8229027962716379
G5-e003Coalescence-mBHI-p7_S124,0.5314207650273224,0.0
H4-e003Coalescence-mGAM-p7_S183,0.7349726775956285,0.03062583222370173
H2-e003Coalescence-mGAM-p7_S181,0.0,0.8788282290279628
E2-e003Coalescence-mBHI-p5_S1,0.0,0.9054593874833555
E2-e003Coalescence-mBHI-p3_S9,0.0,0.7896138482023968
G5-e003Coalescence-mGAM-p3_S84,0.726775956284153,0.0
G5-e003Coalescence-mGAM-p7_S172,0.4781420765027322,0.0
E5-e003Coalescence-mGAM-p7_S148,0.0,0.9107856191744341
G4-e003Coalescence-mGAM-p3_S83,0.9836065573770492,0.0
G3-e003Coalescence-mGAM-p3_S82,0.9549180327868853,0.0
G3-e003Coalescence-mGAM-p5_S74,0.912568306010929,0.0
F4-e003Coalescence-mGAM-p7_S159,0.7745901639344263,0.0
H4-e003Coalescence-mGAM-p5_S87,0.4385245901639344,0.0
