,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B9-e003Coalescence-mGAM-p5,0.13948382509888074,0.16020075688523802
A4-e003Coalescence-mBHI-inoculumn-redo,0.9251387586458681,0.043333106292954005
C4-e003Coalescence-mGAM-p7,0.06873353229827106,0.08770422430465799
e004-inoculumn-fecal-AK,0.019822342350513153,0.024274513345010105
C3-e003Coalescence-mGAM-p3,0.03366503468719287,0.04253804178091058
D3-e003Coalescence-Inoculumn-mBHI,0.07710987108364109,0.462
C2-e003Coalescence-mGAM-p7,0.9109283557957683,0.08656847447023061
C4-e003Coalescence-mBHI-inoculumn-redo,0.1569233407269995,0.19730544946280296
B4-e003Coalescence-mGAM-p5,0.08389119480235958,0.08746770578565326
D4-e003Coalescence-mGAM-p5,0.06931357974283382,0.11278806123742689
BB-Fecal,0.054345592292215555,0.053269019020819534
C5-e003Coalescence-mBHI-inoculumn-redo,0.035553070632104,0.3
A2-e003Coalescence-mBHI-p7,0.9264300260333198,0.063881110284859
BF-Fecal,0.01834065778704261,0.01899722776572346
AM-Fecal,0.0032801931933385564,0.0029193493312581298
e003-inoculumn-fecal-inoculumn,0.9920375740714048,0.0031599084068524
e003-inoculumn-fecal-AC,0.007317697693688206,0.00879789054996058
C4-e003Coalescence-mGAM-p3,0.006752489834908926,0.00868800875015986
C5-e003Coalescence-mGAM-p3,0.02712424171858585,0.035209247948429424
A2-e003Coalescence-Inoculumn-mBHI,1.0,4.6970412096791484e-05
D5-e003Coalescence-Inoculumn-mBHI,0.0017921381982965924,1.0
G4-e004Assembly-epsilon-p3,0.06474686182627684,0.07596274682538257
B3-e003Coalescence-Inoculumn-mBHI,0.184592815355168,0.21738389833851554
A5-e003Coalescence-mBHI-p7,0.1127640327171531,0.15937973656301405
G2-e004Assembly-epsilon-p3,0.10223721617555892,0.11384913917736983
BG-Fecal,0.038430206146481995,0.03332870495739491
D2-e003Coalescence-mGAM-p5,0.9302117594678879,0.06200549722174577
A5-e003Coalescence-mBHI-inoculumn-redo,0.9676194650695292,0.027632118881997212
D2-e003Assembly-mBHI-p5,0.8761061473702919,0.1287085602752029
F4-e004Assembly-epsilon-p3,0.11360685016389428,0.12149037988465358
D2-e003Coalescence-Inoculumn-mBHI,0.938860222746124,0.0585284874638504
C3-e003Coalescence-mGAM-p7,0.07185869507394822,0.08147024554963637
C5-e004Assembly-mBHI-p7,0.14255614013044696,0.14097054249376215
C5-e003Coalescence-mBHI-p7,0.09291988073734722,0.10687911572459384
A2-e003Coalescence-mBHI-p3,0.9075668561657405,0.08780320249251919
C2-e003Coalescence-mBHI-inoculumn-redo,0.9434393040148985,0.03151349669744566
AG-Fecal,0.0020181207926050155,0.0018229522873539827
A2-e003Coalescence-mBHI-p5,0.9586955891914382,0.03925044424564174
C3-e003Coalescence-mBHI-inoculumn-redo,0.1124841949335341,0.12498650224447153
e004-inoculumn-fecal-AR,0.004073634833844208,0.003413082108316673
BK-Fecal,0.018673995307551063,0.02170192402761102
A2-e003Coalescence-mBHI-inoculumn-redo,0.9998784095250317,0.0001282216518927882
B4-e003Coalescence-Inoculumn-mBHI,0.1559305381843475,0.15856340781109424
e003-inoculumn-fecal-AE,0.012448955835327721,0.014296873975975576
BC-Fecal,0.04594388440621173,0.045431349326443105
e004-inoculumn-fecal-BE,0.0299284455534759,0.03164070434264333
BA-Fecal,0.052397191408258895,0.04815251468182083
e003-inoculumn-fecal-AF,0.03526876805408324,0.36
A5-e003Coalescence-Inoculumn-mBHI,0.9579257794185778,0.034177486905858034
G5-e003Coalescence-mBHI-p7_S124,0.12352336660664433,0.14205416697794165
H4-e003Coalescence-mGAM-p7_S183,0.03047899240564125,0.438
H2-e003Coalescence-mGAM-p7_S181,0.903,0.019643436021123943
E2-e003Coalescence-mBHI-p5_S1,0.988299582391011,0.008317750647890792
E2-e003Coalescence-mBHI-p3_S9,0.9772320652173936,0.023001640942305564
G5-e003Coalescence-mGAM-p3_S84,0.07365155449387374,0.08841647694398772
G5-e003Coalescence-mGAM-p7_S172,0.14890639192628038,0.15614204233769804
E5-e003Coalescence-mGAM-p7_S148,0.9830696777581565,0.01801886462754422
G4-e003Coalescence-mGAM-p3_S83,0.020155550263186637,0.026469994078858663
G3-e003Coalescence-mGAM-p3_S82,0.02774305644332331,0.0337887590090137
G3-e003Coalescence-mGAM-p5_S74,0.03983665867304871,0.0483046059658915
F4-e003Coalescence-mGAM-p7_S159,0.07009118722722164,0.08214775398330378
H4-e003Coalescence-mGAM-p5_S87,0.18639951778064545,0.22810187621063746
