,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B9-e003Coalescence-mGAM-p5,205,158
A4-e003Coalescence-mBHI-inoculumn-redo,321,209
C4-e003Coalescence-mGAM-p7,314,227
e004-inoculumn-fecal-AK,416,300
C3-e003Coalescence-mGAM-p3,386,279
D3-e003Coalescence-Inoculumn-mBHI,421,301
C2-e003Coalescence-mGAM-p7,214,147
C4-e003Coalescence-mBHI-inoculumn-redo,195,127
B4-e003Coalescence-mGAM-p5,282,198
D4-e003Coalescence-mGAM-p5,332,225
BB-Fecal,364,252
C5-e003Coalescence-mBHI-inoculumn-redo,389,270
A2-e003Coalescence-mBHI-p7,272,194
BF-Fecal,420,301
AM-Fecal,411,301
e003-inoculumn-fecal-inoculumn,420,301
e003-inoculumn-fecal-AC,421,301
C4-e003Coalescence-mGAM-p3,421,301
C5-e003Coalescence-mGAM-p3,409,284
A2-e003Coalescence-Inoculumn-mBHI,417,300
D5-e003Coalescence-Inoculumn-mBHI,421,301
G4-e004Assembly-epsilon-p3,319,253
B3-e003Coalescence-Inoculumn-mBHI,421,301
A5-e003Coalescence-mBHI-p7,226,176
G2-e004Assembly-epsilon-p3,244,191
BG-Fecal,414,291
D2-e003Coalescence-mGAM-p5,269,203
A5-e003Coalescence-mBHI-inoculumn-redo,417,300
D2-e003Assembly-mBHI-p5,184,133
F4-e004Assembly-epsilon-p3,255,192
D2-e003Coalescence-Inoculumn-mBHI,301,209
C3-e003Coalescence-mGAM-p7,317,208
C5-e004Assembly-mBHI-p7,225,150
C5-e003Coalescence-mBHI-p7,290,210
A2-e003Coalescence-mBHI-p3,220,165
C2-e003Coalescence-mBHI-inoculumn-redo,349,244
AG-Fecal,413,300
A2-e003Coalescence-mBHI-p5,306,210
C3-e003Coalescence-mBHI-inoculumn-redo,268,218
e004-inoculumn-fecal-AR,419,300
BK-Fecal,416,301
A2-e003Coalescence-mBHI-inoculumn-redo,421,301
B4-e003Coalescence-Inoculumn-mBHI,189,155
e003-inoculumn-fecal-AE,421,301
BC-Fecal,372,264
e004-inoculumn-fecal-BE,393,276
BA-Fecal,376,264
e003-inoculumn-fecal-AF,397,282
A5-e003Coalescence-Inoculumn-mBHI,353,245
G5-e003Coalescence-mBHI-p7_S124,221,145
H4-e003Coalescence-mGAM-p7_S183,395,274
H2-e003Coalescence-mGAM-p7_S181,420,299
E2-e003Coalescence-mBHI-p5_S1,378,275
E2-e003Coalescence-mBHI-p3_S9,337,252
G5-e003Coalescence-mGAM-p3_S84,298,221
G5-e003Coalescence-mGAM-p7_S172,222,151
E5-e003Coalescence-mGAM-p7_S148,417,299
G4-e003Coalescence-mGAM-p3_S83,417,298
G3-e003Coalescence-mGAM-p3_S82,399,291
G3-e003Coalescence-mGAM-p5_S74,380,281
F4-e003Coalescence-mGAM-p7_S159,324,219
H4-e003Coalescence-mGAM-p5_S87,176,120
