,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B9-e003Coalescence-mGAM-p5,0.8971967350651466,0.09207360453170128
A4-e003Coalescence-mBHI-inoculumn-redo,0.07666090059099256,0.08789549485042707
C4-e003Coalescence-mGAM-p7,0.0631623208329806,0.10209514206589024
e004-inoculumn-fecal-AK,0.01772487398500004,0.029184817469821697
C3-e003Coalescence-mGAM-p3,0.03125330507088069,0.05538186702510968
D3-e003Coalescence-Inoculumn-mBHI,0.948123535001032,0.048623783863082415
C2-e003Coalescence-mGAM-p7,0.14934579427403807,0.13621715337750157
C4-e003Coalescence-mBHI-inoculumn-redo,0.1602047447829864,0.22084727167916565
B4-e003Coalescence-mGAM-p5,0.08341930324977703,0.10786539728628555
D4-e003Coalescence-mGAM-p5,0.06120915609509549,0.12136397704429754
BB-Fecal,0.04788105771227085,0.05423870495004731
C5-e003Coalescence-mBHI-inoculumn-redo,0.030606053620318947,0.31
A2-e003Coalescence-mBHI-p7,0.11142037782535655,0.11349362557326052
BF-Fecal,0.015921185444747146,0.017679192436591825
AM-Fecal,0.0030148623358903677,0.00315865046043541
e003-inoculumn-fecal-inoculumn,0.014870808571635722,0.017493724488547916
e003-inoculumn-fecal-AC,0.9958333707935808,0.0015848976681106044
C4-e003Coalescence-mGAM-p3,0.005244690086492493,0.010822401155563566
C5-e003Coalescence-mGAM-p3,0.021311287692972813,0.0414686759922879
A2-e003Coalescence-Inoculumn-mBHI,0.017445034743984088,0.01800013670157035
D5-e003Coalescence-Inoculumn-mBHI,0.003782239140575415,1.0
G4-e004Assembly-epsilon-p3,0.06818307604864743,0.07141397846232674
B3-e003Coalescence-Inoculumn-mBHI,1.0,-0.0
A5-e003Coalescence-mBHI-p7,0.11980373522936942,0.15885577351632654
G2-e004Assembly-epsilon-p3,0.11290848651939307,0.13745401948366082
BG-Fecal,0.03802414400072711,0.03281163380932601
D2-e003Coalescence-mGAM-p5,0.11593203097539927,0.12104255148388623
A5-e003Coalescence-mBHI-inoculumn-redo,0.018540704176753738,0.149
D2-e003Assembly-mBHI-p5,0.19584973053779983,0.2049622417117782
F4-e004Assembly-epsilon-p3,0.10633078101919212,0.1156100663997092
D2-e003Coalescence-Inoculumn-mBHI,0.08761245781827721,0.11884470593538916
C3-e003Coalescence-mGAM-p7,0.06564749215220923,0.10115880809974555
C5-e004Assembly-mBHI-p7,0.150314320986235,0.13137407456668995
C5-e003Coalescence-mBHI-p7,0.08390167404638285,0.11884470593538916
A2-e003Coalescence-mBHI-p3,0.1373183526711312,0.1399603494337907
C2-e003Coalescence-mBHI-inoculumn-redo,0.0615216786139661,0.07161280352465654
AG-Fecal,0.001354665463242121,0.0020455432372643075
A2-e003Coalescence-mBHI-p5,0.07999443147626274,0.08296064347870363
C3-e003Coalescence-mBHI-inoculumn-redo,0.556,0.09027663564500696
e004-inoculumn-fecal-AR,0.004433078592534042,0.002598370908845049
BK-Fecal,0.02057105259305079,0.02222100379219951
A2-e003Coalescence-mBHI-inoculumn-redo,0.015554057285986134,0.016147824148764055
B4-e003Coalescence-Inoculumn-mBHI,0.7902968778315717,0.11884470593538916
e003-inoculumn-fecal-AE,0.009766657834650217,0.017853494615581684
BC-Fecal,0.039477211243919855,0.050066496876966744
e004-inoculumn-fecal-BE,0.028788263083770756,0.0361119225890813
BA-Fecal,0.05092433449548611,0.04976241119074548
e003-inoculumn-fecal-AF,0.02867322390014321,0.364
A5-e003Coalescence-Inoculumn-mBHI,0.05483963875412906,0.08505198245995238
G5-e003Coalescence-mBHI-p7_S124,0.13294929218940546,0.17247151348837295
H4-e003Coalescence-mGAM-p7_S183,0.024171682904729024,0.5
H2-e003Coalescence-mGAM-p7_S181,0.018123011233265707,0.03222576158609545
E2-e003Coalescence-mBHI-p5_S1,0.04442108746840066,0.044961489272109426
E2-e003Coalescence-mBHI-p3_S9,0.07556919059489824,0.06566583930709882
G5-e003Coalescence-mGAM-p3_S84,0.07448693275200895,0.09568348026744643
G5-e003Coalescence-mGAM-p7_S172,0.12622536206683604,0.1647476247354764
E5-e003Coalescence-mGAM-p7_S148,0.019570743297684504,0.03407555910789519
G4-e003Coalescence-mGAM-p3_S83,0.016034297220354574,0.03209090606904496
G3-e003Coalescence-mGAM-p3_S82,0.023120144241461405,0.042846117821555445
G3-e003Coalescence-mGAM-p5_S74,0.033552256893350556,0.05197244589081207
F4-e003Coalescence-mGAM-p7_S159,0.05880985018807711,0.09657954145227299
H4-e003Coalescence-mGAM-p5_S87,0.18349840184551283,0.22939615407709077
