,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.9252548131370328,0.12243839169909208
C9-e003Coalescence-mGAM-p3,0.7924688561721405,0.0
C11-e003Coalescence-mBHI-p3,0.9340317100792752,0.1245136186770428
D11-e003Coalescence-mBHI-p5,0.9388448471121178,0.12684824902723735
D10-e003Coalescence-mBHI-p3,0.9377123442808607,0.1265888456549935
B9-e003Coalescence-mGAM-p5,0.97480181200453,0.0
B8-e003Assembly-mGAM-p5,0.0,0.9014267185473411
C8-e003Assembly-mGAM-p3,0.013873159682899207,0.9198443579766536
D11-e003Coalescence-mGAM-p5,0.9082672706681767,0.1198443579766537
B11-e003Coalescence-mGAM-p3,0.9385617214043035,0.026718547341115433
A2-e003Coalescence-Inoculumn-mGAM,0.0,0.9997405966277562
D9-e003Coalescence-mGAM-p7,0.9388448471121178,0.1125810635538262
B10-e003Coalescence-mGAM-p3,0.38193657984144963,0.0
B5-e003Coalescence-Inoculumn-mGAM,0.9385617214043035,0.013488975356679637
D10-e003Coalescence-mBHI-p5,0.9374292185730464,0.12710765239948119
D10-e003Coalescence-mGAM-p5,0.9388448471121178,0.12373540856031129
B11-e003Assembly-mGAM-p5,0.9113816534541337,0.12010376134889754
D5-e003Coalescence-Inoculumn-mGAM,0.9343148357870895,0.12607003891050583
B2-e003Coalescence-Inoculumn-mGAM,0.0,0.18754863813229572
B12-e003Coalescence-mGAM-p3,0.5424688561721405,0.05603112840466926
A3-e003Coalescence-Inoculumn-mGAM,0.0,0.4308690012970169
A10-e003Coalescence-mGAM-p3,0.0,0.667704280155642
C11-e003Coalescence-mGAM-p5,0.9377123442808607,0.12607003891050583
D10-e003Coalescence-mGAM-p7,0.9445073612684032,0.12710765239948119
C12-e003Coalescence-mGAM-p3,0.7296149490373726,0.09649805447470818
C11-e003Coalescence-mGAM-p3,0.9428086070215176,0.12736705577172502
C11-e003Coalescence-mBHI-p5,0.8253114382785957,0.1066147859922179
D10-e003Coalescence-mGAM-p3,0.937995469988675,0.12529182879377432
C2-e003Coalescence-Inoculumn-mGAM,0.0,0.4503242542153048
B3-e003Coalescence-Inoculumn-mGAM,0.9983012457531144,0.0
D11-e003Coalescence-mGAM-p7,0.9416761041902605,0.12710765239948119
B4-e003Coalescence-Inoculumn-mGAM,0.9663080407701019,0.0
B11-e003GlycerolRevival-mGAM-p2,0.9215741789354474,0.12347600518806745
D12-e003Coalescence-mBHI-p3,0.9374292185730464,0.12555123216601816
C11-e003Coalescence-mGAM-p7,0.9328992072480181,0.12503242542153048
A8-e003Coalescence-mGAM-p7,0.0,0.408041504539559
A5-e003Coalescence-Inoculumn-mGAM,0.0005662514156285391,0.12503242542153048
D4-e003Coalescence-Inoculumn-mGAM,0.42157417893544735,0.0549935149156939
C9-e003GlycerolRevival-mGAM-p2,0.009626274065685165,0.5460440985732814
B8-e003GlycerolRevival-mGAM-p2,0.0,0.9800259403372243
D2-e003Coalescence-Inoculumn-mGAM,0.0008493771234428086,0.125810635538262
C5-e003Coalescence-Inoculumn-mGAM,0.9385617214043035,0.12632944228274967
A11-e003Coalescence-mBHI-p3,0.00028312570781426955,0.8404669260700389
A4-e003Coalescence-Inoculumn-mGAM,0.0,0.9948119325551232
H111-e003Coalescence-mGAM-p7_S188,0.9433748584371461,0.12710765239948119
F100-e003Coalescence-mGAM-p7_S163,0.9459229898074745,0.0012970168612191958
H111-e003Coalescence-mBHI-p3_S144,0.9382785956964892,0.12710765239948119
G111-e003Coalescence-mGAM-p5_S80,0.9334654586636466,0.12710765239948119
G111-e003Coalescence-mBHI-p5_S32,0.9394110985277463,0.12710765239948119
H9-e003Coalescence-mGAM-p3_S190,0.5911664779161948,0.07470817120622568
G8-e003Coalescence-mGAM-p3_S177,0.0016987542468856172,0.6415045395590143
G111-e003Coalescence-mBHI-p3_S132,0.42808607021517553,0.06251621271076524
F9-e003Coalescence-mGAM-p5_S66,0.40968289920724804,0.0005188067444876783
G111-e003Coalescence-mGAM-p7_S176,0.7049830124575311,0.09779507133592737
H100-e003Coalescence-mGAM-p7_S187,0.9362967157417894,0.12814526588845654
E100-e003Coalescence-mGAM-p3_S155,0.0016987542468856172,0.6137483787289235
F111-e003Coalescence-mGAM-p7_S164,0.40373725934314836,0.03346303501945525
H100-e003Coalescence-mBHI-p5_S43,0.9351642129105323,0.12710765239948119
G8-e003Coalescence-mGAM-p5_S77,0.0022650056625141564,0.9854734111543451
H111-e003Coalescence-mGAM-p5_S92,0.9430917327293318,0.12762645914396886
H9-e003Coalescence-mGAM-p5_S90,0.9430917327293318,0.1198443579766537
G9-e003Coalescence-mGAM-p7_S174,0.5631370328425821,0.0005188067444876783
G111-e003Coalescence-mGAM-p3_S180,0.9419592298980748,0.12736705577172502
F9-e003Coalescence-mGAM-p7_S162,0.8547565118912798,0.0025940337224383916
H9-e003Coalescence-mGAM-p7_S186,0.9433748584371461,0.12166018158236057
G100-e003Coalescence-mBHI-p3_S131,0.0008493771234428086,0.9758754863813229
G111-e003Coalescence-mBHI-p7_S128,0.9354473386183465,0.12684824902723735
H111-e003Coalescence-mBHI-p5_S44,0.9385617214043035,0.12710765239948119
H100-e003Coalescence-mGAM-p5_S91,0.942242355605889,0.12866407263294422
