,0.975,0.975
C12-e003Coalescence-mBHI-p3,1.0,1.0
C9-e003Coalescence-mGAM-p3,0.0,1.0
C11-e003Coalescence-mBHI-p3,1.0,1.0
D11-e003Coalescence-mBHI-p5,1.0,1.0
D10-e003Coalescence-mBHI-p3,1.0,1.0
B9-e003Coalescence-mGAM-p5,0.0,1.0
B8-e003Assembly-mGAM-p5,1.0,0.0
C8-e003Assembly-mGAM-p3,1.0,0.0
D11-e003Coalescence-mGAM-p5,1.0,1.0
B11-e003Coalescence-mGAM-p3,0.8406499999999996,1.0
A2-e003Coalescence-Inoculumn-mGAM,1.0,0.0
D9-e003Coalescence-mGAM-p7,1.0,1.0
B10-e003Coalescence-mGAM-p3,0.0,1.0
B5-e003Coalescence-Inoculumn-mGAM,0.75,1.0
D10-e003Coalescence-mBHI-p5,1.0,1.0
D10-e003Coalescence-mGAM-p5,1.0,1.0
B11-e003Assembly-mGAM-p5,1.0,1.0
D5-e003Coalescence-Inoculumn-mGAM,1.0,1.0
B2-e003Coalescence-Inoculumn-mGAM,1.0,0.35230000000000017
B12-e003Coalescence-mGAM-p3,1.0,1.0
A3-e003Coalescence-Inoculumn-mGAM,1.0,0.4
A10-e003Coalescence-mGAM-p3,1.0,0.0
C11-e003Coalescence-mGAM-p5,1.0,1.0
D10-e003Coalescence-mGAM-p7,1.0,1.0
C12-e003Coalescence-mGAM-p3,1.0,1.0
C11-e003Coalescence-mGAM-p3,1.0,1.0
C11-e003Coalescence-mBHI-p5,1.0,1.0
D10-e003Coalescence-mGAM-p3,1.0,1.0
C2-e003Coalescence-Inoculumn-mGAM,1.0,0.0
B3-e003Coalescence-Inoculumn-mGAM,0.0,1.0
D11-e003Coalescence-mGAM-p7,1.0,1.0
B4-e003Coalescence-Inoculumn-mGAM,0.0,1.0
B11-e003GlycerolRevival-mGAM-p2,1.0,1.0
D12-e003Coalescence-mBHI-p3,1.0,1.0
C11-e003Coalescence-mGAM-p7,1.0,1.0
A8-e003Coalescence-mGAM-p7,1.0,0.0
A5-e003Coalescence-Inoculumn-mGAM,1.0,0.651
D4-e003Coalescence-Inoculumn-mGAM,1.0,1.0
C9-e003GlycerolRevival-mGAM-p2,1.0,0.0
B8-e003GlycerolRevival-mGAM-p2,1.0,0.0
D2-e003Coalescence-Inoculumn-mGAM,1.0,0.6759999999999999
C5-e003Coalescence-Inoculumn-mGAM,1.0,1.0
A11-e003Coalescence-mBHI-p3,1.0,0.0
A4-e003Coalescence-Inoculumn-mGAM,1.0,0.0
H111-e003Coalescence-mGAM-p7_S188,1.0,1.0
F100-e003Coalescence-mGAM-p7_S163,0.0,1.0
H111-e003Coalescence-mBHI-p3_S144,1.0,1.0
G111-e003Coalescence-mGAM-p5_S80,1.0,1.0
G111-e003Coalescence-mBHI-p5_S32,1.0,1.0
H9-e003Coalescence-mGAM-p3_S190,1.0,1.0
G8-e003Coalescence-mGAM-p3_S177,1.0,0.0
G111-e003Coalescence-mBHI-p3_S132,1.0,1.0
F9-e003Coalescence-mGAM-p5_S66,0.0,1.0
G111-e003Coalescence-mGAM-p7_S176,1.0,1.0
H100-e003Coalescence-mGAM-p7_S187,1.0,1.0
E100-e003Coalescence-mGAM-p3_S155,1.0,0.0
F111-e003Coalescence-mGAM-p7_S164,0.5768000000000013,1.0
H100-e003Coalescence-mBHI-p5_S43,1.0,1.0
G8-e003Coalescence-mGAM-p5_S77,1.0,0.0
H111-e003Coalescence-mGAM-p5_S92,1.0,1.0
H9-e003Coalescence-mGAM-p5_S90,1.0,1.0
G9-e003Coalescence-mGAM-p7_S174,0.0,1.0
G111-e003Coalescence-mGAM-p3_S180,1.0,1.0
F9-e003Coalescence-mGAM-p7_S162,0.0,1.0
H9-e003Coalescence-mGAM-p7_S186,1.0,1.0
G100-e003Coalescence-mBHI-p3_S131,1.0,0.0
G111-e003Coalescence-mBHI-p7_S128,1.0,1.0
H111-e003Coalescence-mBHI-p5_S44,1.0,1.0
H100-e003Coalescence-mGAM-p5_S91,1.0,1.0
H100-e003Coalescence-mBHI-p7_S139,1.0,1.0
G8-e003Coalescence-mGAM-p7_S173,1.0,0.0
H111-e003Coalescence-mGAM-p3_S192,1.0,1.0
E8-e003Coalescence-mBHI-p3_S105,1.0,0.0
E8-e003Coalescence-mGAM-p7_S149,1.0,0.0
G9-e003Coalescence-mGAM-p3_S178,0.0,1.0
