,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0.0015965170980589878,0.9986955080599796
C9-e003Coalescence-mGAM-p3,0.031203436195436425,0.952573972929218
C11-e003Coalescence-mBHI-p3,0.0006200352779652255,0.9995097097755252
D11-e003Coalescence-mBHI-p5,0.00020376203599717192,0.9998095199696877
D10-e003Coalescence-mBHI-p3,0.00016951929610078506,0.9998785230536008
B9-e003Coalescence-mGAM-p5,0.0045078368247597625,0.9899692935374824
B8-e003Assembly-mGAM-p5,0.9767358818098261,0.011630045569616068
C8-e003Assembly-mGAM-p3,0.9816514360318891,0.00872811732950569
D11-e003Coalescence-mGAM-p5,0.003708356191551868,0.9950912746426613
B11-e003Coalescence-mGAM-p3,0.0011721671300195518,0.9974207394361287
A2-e003Coalescence-Inoculumn-mGAM,0.9998890908062869,8.994221396285701e-06
D9-e003Coalescence-mGAM-p7,0.0005778692973716891,0.9989704140717324
B10-e003Coalescence-mGAM-p3,0.17132143684126913,0.7956991357448844
B5-e003Coalescence-Inoculumn-mGAM,0.0013776928094270018,0.996614680534844
D10-e003Coalescence-mBHI-p5,0.0002161055677865769,0.9998352605143245
D10-e003Coalescence-mGAM-p5,0.0005553445702928213,0.9991751255767131
B11-e003Assembly-mGAM-p5,0.0033676111075835475,0.9950304257981517
D5-e003Coalescence-Inoculumn-mGAM,0.00017366549730942293,0.999885530797552
B2-e003Coalescence-Inoculumn-mGAM,0.829,0.13
B12-e003Coalescence-mGAM-p3,0.08041805592886699,0.9001286315589656
A3-e003Coalescence-Inoculumn-mGAM,0.85,0.08099999999999996
A10-e003Coalescence-mGAM-p3,0.9187171484816115,0.05856086886411281
C11-e003Coalescence-mGAM-p5,0.00046816124128430876,0.9993631652945129
D10-e003Coalescence-mGAM-p7,0.00013761170503608701,0.9998851632279414
C12-e003Coalescence-mGAM-p3,0.03319277915547968,0.9589507286470268
C11-e003Coalescence-mGAM-p3,0.00023327722474070562,0.9998123119543062
C11-e003Coalescence-mBHI-p5,0.014638083761733265,0.9838818396631123
D10-e003Coalescence-mGAM-p3,0.0005525073354395957,0.9992973291949778
C2-e003Coalescence-Inoculumn-mGAM,0.8568015559783353,0.11452856420932574
B3-e003Coalescence-Inoculumn-mGAM,0.005201292278117677,0.9894888302209484
D11-e003Coalescence-mGAM-p7,6.930700155339804e-05,0.999937011105088
B4-e003Coalescence-Inoculumn-mGAM,0.006026483059508579,0.9877989065712529
B11-e003GlycerolRevival-mGAM-p2,0.00206644276244975,0.9972027944666835
D12-e003Coalescence-mBHI-p3,0.0006952961746176822,0.9991970345017771
C11-e003Coalescence-mGAM-p7,0.0006720921285797258,0.9991715455314831
A8-e003Coalescence-mGAM-p7,0.8157482170736068,0.15267391375365416
A5-e003Coalescence-Inoculumn-mGAM,0.5,0.43500000000000005
D4-e003Coalescence-Inoculumn-mGAM,0.11549820091884866,0.8680731877666207
C9-e003GlycerolRevival-mGAM-p2,0.8819354340846801,0.08722811107299154
B8-e003GlycerolRevival-mGAM-p2,0.9969343286569209,0.001157941441987334
D2-e003Coalescence-Inoculumn-mGAM,0.5,0.43400000000000005
C5-e003Coalescence-Inoculumn-mGAM,0.0003344435677423484,0.9996114759317983
A11-e003Coalescence-mBHI-p3,0.9695333004458943,0.01989586415916401
A4-e003Coalescence-Inoculumn-mGAM,0.9991371099257108,0.00024844905038416963
H111-e003Coalescence-mGAM-p7_S188,4.313264088297638e-05,0.9999419286036547
F100-e003Coalescence-mGAM-p7_S163,0.006618092266412236,0.9869702085850769
H111-e003Coalescence-mBHI-p3_S144,2.90099914471046e-05,0.9999508279459987
G111-e003Coalescence-mGAM-p5_S80,0.0007289072368386612,0.9986153318987037
G111-e003Coalescence-mBHI-p5_S32,0.00012688482240415843,0.9998415139031411
H9-e003Coalescence-mGAM-p3_S190,0.06610462896164858,0.9071324953868513
G8-e003Coalescence-mGAM-p3_S177,0.9195466241666768,0.05526344318735898
G111-e003Coalescence-mBHI-p3_S132,0.11281062690298961,0.8621710364542505
F9-e003Coalescence-mGAM-p5_S66,0.1574984282409368,0.7861644738219663
G111-e003Coalescence-mGAM-p7_S176,0.03713356086132641,0.9495484717065317
H100-e003Coalescence-mGAM-p7_S187,0.0005417524662859585,0.9993756036034224
E100-e003Coalescence-mGAM-p3_S155,0.9012054320753744,0.06933618253896713
F111-e003Coalescence-mGAM-p7_S164,0.12396822963018882,0.8439006983371398
H100-e003Coalescence-mBHI-p5_S43,0.00011003218302921066,0.999862494453764
G8-e003Coalescence-mGAM-p5_S77,0.9977900305935353,0.0004757956709104498
H111-e003Coalescence-mGAM-p5_S92,6.304915455029311e-05,0.9998725696091671
H9-e003Coalescence-mGAM-p5_S90,0.00010200415778707226,0.9997879770111936
G9-e003Coalescence-mGAM-p7_S174,0.09051598577458066,0.8800133080370265
G111-e003Coalescence-mGAM-p3_S180,8.345794728033185e-05,0.9999116531298915
F9-e003Coalescence-mGAM-p7_S162,0.020922708673125602,0.9614366610520255
H9-e003Coalescence-mGAM-p7_S186,3.892502525900859e-05,0.9999051685888027
G100-e003Coalescence-mBHI-p3_S131,0.9990016566682282,0.00021077038552279033
G111-e003Coalescence-mBHI-p7_S128,0.00023066583315589723,0.9997656528785068
H111-e003Coalescence-mBHI-p5_S44,4.8749770150799705e-05,0.9998849898097409
H100-e003Coalescence-mGAM-p5_S91,0.00021737195941747567,0.9997001710206448
H100-e003Coalescence-mBHI-p7_S139,8.719166861728402e-05,0.9998654752137007
G8-e003Coalescence-mGAM-p7_S173,0.9909728449349526,0.0036043355857584077
H111-e003Coalescence-mGAM-p3_S192,6.294170558478776e-05,0.9999226661852098
E8-e003Coalescence-mBHI-p3_S105,0.8213545711117982,0.12998314765398233
E8-e003Coalescence-mGAM-p7_S149,0.9996900587727394,4.183174597796945e-05
G9-e003Coalescence-mGAM-p3_S178,0.05836764539412467,0.9123012199500384
