,0.025,0.025
C12-e003Coalescence-mBHI-p3,1.0,1.0
C9-e003Coalescence-mGAM-p3,1.0,1.0
C11-e003Coalescence-mBHI-p3,1.0,1.0
C9-e003Coalescence-mGAM-p7,1.0,1.0
C8-e003Coalescence-mGAM-p7,0.871,0.877775
D10-e003Coalescence-mBHI-p3,1.0,1.0
F3-e004Assembly-epsilon-p3,0.0,0.0
B2-e003Coalescence-mBHI-p3,0.678125,0.6858
A4-e003Coalescence-mBHI-p7,0.0,0.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.5488500000000001,0.5880000000000001
B3-e003Coalescence-mBHI-p3,0.8932,0.89895
D4-e003Coalescence-mBHI-p5,0.75,0.7951
C2-e003Coalescence-mBHI-p5,0.38095,0.345
B3-e004Assembly-mBHI-p7,0.0,0.0
B5-e004Assembly-mBHI-p7,0.0,0.0
D4-e003Coalescence-mBHI-p3,0.72195,0.70375
C4-e003GlycerolRevival-mBHI-p2,0.87975,0.8667
G5-e004Assembly-epsilon-p3,0.0,0.0
C5-e004Assembly-mBHI-p3,0.0,0.0
D10-e003Assembly-mGAM-p5,1.0,1.0
C3-e004Assembly-mBHI-p5,0.0,0.0
B2-e003Coalescence-mBHI-p5,0.5766,0.5430499999999999
C4-e003Coalescence-mGAM-p7,0.8822,0.874625
D3-e004Assembly-mGAM-p7,0.0,0.0
C3-e003Coalescence-mGAM-p3,0.942,0.94965
B4-e003Assembly-mBHI-p5,0.2656,0.28640000000000004
D3-e003Coalescence-Inoculumn-mBHI,0.7070750000000001,0.733
C3-e003Coalescence-mBHI-p7,0.849175,0.856625
B10-e003Assembly-mGAM-p5,1.0,1.0
C2-e003Coalescence-mGAM-p7,1.0,0.981
D3-e003Coalescence-mBHI-p5,0.667,0.6839999999999999
C4-e003Coalescence-mBHI-inoculumn-redo,0.46199999999999997,0.8
B5-e003Coalescence-mBHI-p5,0.65,0.643
D5-e003Coalescence-mBHI-p7,0.8,0.8257500000000001
C9-e003Coalescence-mBHI-p5,0.893,0.895625
A10-e003Coalescence-mBHI-p3,1.0,1.0
E5-e004Assembly-mGAM-p5,0.0,0.0
C2-e003Coalescence-mBHI-p3,0.605,0.6037
D4-e003Coalescence-mBHI-p7,0.75,0.71675
E3-e004Assembly-mGAM-p3,0.0,0.0
B10-e003Coalescence-mGAM-p3,1.0,1.0
D10-e003Coalescence-mBHI-p5,1.0,1.0
D5-e003Coalescence-mBHI-p3,0.704,0.692
C5-e003Coalescence-mBHI-p3,1.0,1.0
C9-e003Coalescence-mBHI-p3,1.0,1.0
D10-e003Coalescence-mGAM-p5,1.0,1.0
C8-e003Coalescence-mBHI-p7,0.5863750000000001,0.5614
G3-e004Assembly-epsilon-p7,0.0,0.0
B4-e003Coalescence-mGAM-p5,0.903,0.9048
D4-e003Coalescence-mGAM-p5,0.9561999999999999,0.94695
C3-e004Assembly-mBHI-p7,0.0,0.0
B5-e003Coalescence-mGAM-p5,0.91715,0.888
B5-e003Coalescence-Inoculumn-mBHI,0.6,0.615
G3-e004Assembly-epsilon-p3,0.0,0.0
C2-e003Coalescence-mGAM-p3,1.0,1.0
B5-e003Coalescence-mGAM-p7,1.0,1.0
C10-e003Assembly-mGAM-p3,1.0,1.0
B10-e003Coalescence-mBHI-p5,0.8359249999999999,0.85095
B3-e004Assembly-mBHI-p5,0.0,0.0
B5-e003Coalescence-mBHI-p3,0.75,0.7132499999999999
C4-e003Coalescence-mGAM-p5,0.917,0.902325
C5-e003Coalescence-mGAM-p7,1.0,1.0
C5-e003Coalescence-mBHI-inoculumn-redo,0.6,0.6
A10-e003Coalescence-mBHI-p5,0.5,0.5
BF-Fecal,0.0,0.0
AM-Fecal,0.0,0.0
A4-e003Coalescence-mGAM-p5,0.7996000000000001,0.8
D5-e003Coalescence-mBHI-p5,0.949,0.95495
