,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,11804,11797
A3-e003Coalescence-mBHI-p3,12306,12329
A3-e003Coalescence-mBHI-p7,12366,12365
A3-e003Coalescence-mGAM-p7,12356,12334
B2-e003Coalescence-Inoculumn-mBHI,12241,12245
B2-e003Coalescence-mBHI-p3,12334,12351
B2-e003Coalescence-mBHI-p5,12335,12339
B2-e003Coalescence-mBHI-p7,8506,8401
B2-e003Coalescence-mGAM-p3,12322,12253
E3-e003Coalescence-mBHI-p3_S10,12146,12137
E3-e003Coalescence-mBHI-p5_S2,12310,12338
E3-e003Coalescence-mGAM-p3_S58,12251,12132
E3-e003Coalescence-mGAM-p5_S50,12328,12267
E3-e003Coalescence-mGAM-p7_S146,12296,12206
F2-e003Coalescence-mBHI-p3_S21,11981,12082
F2-e003Coalescence-mBHI-p5_S13,12353,12353
F2-e003Coalescence-mGAM-p3_S69,12281,12207
F2-e003Coalescence-mGAM-p5_S61,12319,12200
F2-e003Coalescence-mGAM-p7_S157,12283,12201
