,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p3,11752,11832
A10-e003Coalescence-mBHI-p5,12099,12273
A10-e003Coalescence-mBHI-p7,12093,12266
A10-e003Coalescence-mGAM-p3,12105,12250
A10-e003Coalescence-mGAM-p7,12050,12154
A4-e003Coalescence-Inoculumn-mGAM,12086,12265
C2-e003Coalescence-Inoculumn-mGAM,11930,12052
C8-e003Coalescence-mBHI-p5,12115,12283
C8-e003Coalescence-mBHI-p7,12111,12277
C8-e003Coalescence-mGAM-p7,12095,12250
E100-e003Coalescence-mBHI-p5_S7,12102,12275
E100-e003Coalescence-mBHI-p7_S103,11868,11974
E100-e003Coalescence-mGAM-p3_S155,12081,12184
E100-e003Coalescence-mGAM-p5_S55,12020,12095
E100-e003Coalescence-mGAM-p7_S151,11831,11832
G8-e003Coalescence-mBHI-p3_S129,12112,12279
G8-e003Coalescence-mBHI-p5_S29,12113,12275
G8-e003Coalescence-mBHI-p7_S125,12097,12250
G8-e003Coalescence-mGAM-p3_S177,11872,11939
G8-e003Coalescence-mGAM-p5_S77,12036,12142
G8-e003Coalescence-mGAM-p7_S173,12092,12183
