,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,2203,1361
A9-e003Coalescence-mBHI-p3,3239,1986
A9-e003Coalescence-mBHI-p5,3173,1936
A9-e003Coalescence-mBHI-p7,3241,1990
A9-e003Coalescence-mGAM-p5,3218,1977
A9-e003Coalescence-mGAM-p7,2912,1753
B2-e003Coalescence-Inoculumn-mGAM,3134,1916
B8-e003Coalescence-mBHI-p5,3231,1972
B8-e003Coalescence-mBHI-p7,3193,1958
B8-e003Coalescence-mGAM-p5,2969,1822
B8-e003Coalescence-mGAM-p7,3074,1876
E9-e003Coalescence-mBHI-p5_S6,3189,1949
E9-e003Coalescence-mBHI-p7_S102,3203,1949
E9-e003Coalescence-mGAM-p3_S154,3224,1967
E9-e003Coalescence-mGAM-p5_S54,2105,1267
F8-e003Coalescence-mBHI-p3_S117,3188,1919
F8-e003Coalescence-mBHI-p5_S17,3166,1944
F8-e003Coalescence-mBHI-p7_S113,3093,1899
F8-e003Coalescence-mGAM-p5_S65,1439,850
F8-e003Coalescence-mGAM-p7_S161,2262,1262
