,sample,boot_med,boot_low,boot_high,actual_med
0,A3-e003Coalescence-Inoculumn-mGAM,0.922906919668784,0.9176749849838004,0.9279286359201785,0.8753273888619972
1,A9-e003Coalescence-mBHI-p3,0.86,0.854,0.865,0.86
2,A9-e003Coalescence-mBHI-p5,0.9670708443037326,0.9646301871242405,0.9695732636230396,0.965345109129767
3,A9-e003Coalescence-mBHI-p7,0.87,0.8629875,0.878,0.87
4,A9-e003Coalescence-mGAM-p5,0.889,0.8815,0.902,0.889
5,A9-e003Coalescence-mGAM-p7,0.9589118166430328,0.9556359353510806,0.9621553513977994,0.9462008019693319
6,B2-e003Coalescence-Inoculumn-mGAM,0.7415,0.733,0.75,0.7415
7,B8-e003Coalescence-mBHI-p5,0.837,0.828,0.846,0.835
8,B8-e003Coalescence-mBHI-p7,0.9697773454370233,0.9675477436078384,0.9719313711892199,0.9687502064611871
9,B8-e003Coalescence-mGAM-p5,0.9892467568617319,0.987743236057795,0.990573920445473,0.9812430941780997
10,B8-e003Coalescence-mGAM-p7,0.9620469271152183,0.9590879163891038,0.9647112216171922,0.957081498247687
11,E9-e003Coalescence-mBHI-p5_S6,0.833,0.818,0.8620249999999999,0.833
12,E9-e003Coalescence-mBHI-p7_S102,0.9838948200063178,0.9824873655922279,0.985229144827463,0.9828436250167325
13,E9-e003Coalescence-mGAM-p3_S154,0.9863805508622023,0.9850891077089073,0.9875136418066259,0.9858037316577544
14,E9-e003Coalescence-mGAM-p5_S54,0.9927101644199885,0.9912675341884285,0.9939905762260902,0.9282163868786041
15,F8-e003Coalescence-mBHI-p3_S117,0.9639395784559062,0.9613159003663877,0.9662416939369931,0.9617720043165111
16,F8-e003Coalescence-mBHI-p5_S17,0.9758081902940456,0.9738124435219994,0.9775677212438302,0.9744548285423912
17,F8-e003Coalescence-mBHI-p7_S113,0.9842404185922297,0.9825638507338258,0.985834780838691,0.9808962453697588
18,F8-e003Coalescence-mGAM-p5_S65,0.9892770772814585,0.9873004143996669,0.991142271275002,0.8474941268452795
19,F8-e003Coalescence-mGAM-p7_S161,0.9796481788975053,0.9772600465589883,0.9819189709086422,0.9226739279890261
