,sample,boot_med,boot_low,boot_high,actual_med
0,A4-e003Coalescence-mBHI-inoculumn-redo,0.05600000000000005,0.056,0.057,0.05600000000000005
1,A4-e003Coalescence-mBHI-p3,5.9704166727196e-05,1.492370258417318e-05,0.00013436948116255412,0.1032463979801964
2,A4-e003Coalescence-mBHI-p5,1.4411350589323172e-05,3.6022730375590436e-06,2.882872662068667e-05,0.0002567011448098832
3,A4-e003Coalescence-mBHI-p7,4.822763601430345e-05,1.6072519265135137e-05,9.648552776208444e-05,0.0022586489118969757
4,A4-e003Coalescence-mGAM-p5,0.047,0.042,0.054,0.047
5,C2-e003Coalescence-mBHI-inoculumn-redo,0.05500000000000005,0.054,0.056,0.05500000000000005
6,C2-e003Coalescence-mBHI-p3,0.0017934016901809313,0.001551341978441253,0.0020458196870522753,0.0074373994261442014
7,C2-e003Coalescence-mBHI-p5,0.00025391521437900555,0.00014930722811578695,0.00038852384976000503,0.06437969496927864
8,C2-e003Coalescence-mGAM-p3,3.0551974031591655e-06,6.109118016912998e-07,5.515792244764281e-06,6.723542457921456e-06
9,C2-e003Coalescence-mGAM-p5,1.4045210984924208e-05,7.799631319481407e-06,2.185954318287499e-05,1.6388651596790328e-05
10,C2-e003Coalescence-mGAM-p7,1.1520788199470154e-05,9.17755293172755e-06,1.3868231790860665e-05,1.2347600081863839e-05
11,E4-e003Coalescence-mBHI-p5_S3,0.00018225803232668931,0.00014219151246440317,0.0002223920895489784,0.0002299247625808104
12,E4-e003Coalescence-mBHI-p7_S99,9.857335017739948e-06,1.9710550582870238e-06,1.9719822581330354e-05,5.32908939719114e-05
13,E4-e003Coalescence-mGAM-p3_S59,2.9334814370048817e-05,2.2496475704354817e-05,3.774789869801857e-05,3.3539587034544976e-05
14,E4-e003Coalescence-mGAM-p5_S51,1.8908039331924432e-05,1.2598763110510809e-05,2.585588390193042e-05,3.597616580424658e-05
15,E4-e003Coalescence-mGAM-p7_S147,1.5520407153320303e-05,1.06364364243673e-05,2.0865924235996364e-05,1.685337674505838e-05
16,G2-e003Coalescence-mBHI-p3_S33,0.00047833345635817776,0.00031372561628141484,0.0006281417155324878,0.058461824782229325
17,G2-e003Coalescence-mBHI-p5_S25,0.0012801902965461872,0.0010843533554929854,0.0014683363752673434,0.004833368267745173
18,G2-e003Coalescence-mBHI-p7_S121,0.0007678092663608226,0.0005405881450501487,0.0009953405872508221,0.19047032036857922
19,G2-e003Coalescence-mGAM-p3_S81,6.541050691741379e-05,5.4172072700409965e-05,7.72364741686312e-05,6.709832192004736e-05
20,G2-e003Coalescence-mGAM-p5_S73,3.89663821824416e-05,3.141068860542875e-05,4.6981303027265664e-05,5.01023329132035e-05
