,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C5-e003Coalescence-mBHI-inoculumn-redo,23175,8200
C5-e003Coalescence-mBHI-p3,22637,8168
C5-e003Coalescence-mBHI-p5,23136,8198
C5-e003Coalescence-mBHI-p7,23169,8199
C5-e003Coalescence-mGAM-p3,23033,8194
C5-e003Coalescence-mGAM-p7,23168,8198
D4-e003Coalescence-Inoculumn-mBHI,23176,8200
D4-e003Coalescence-mBHI-p3,23049,8187
D4-e003Coalescence-mBHI-p5,23118,8186
D4-e003Coalescence-mBHI-p7,23163,8194
D4-e003Coalescence-mGAM-p3,23149,8196
D4-e003Coalescence-mGAM-p5,23174,8199
D4-e003Coalescence-mGAM-p7,23167,8200
G5-e003Coalescence-mBHI-p3_S36,23011,8177
G5-e003Coalescence-mBHI-p5_S28,23168,8199
G5-e003Coalescence-mBHI-p7_S124,23157,8191
G5-e003Coalescence-mGAM-p3_S84,22661,8173
G5-e003Coalescence-mGAM-p5_S76,23157,8199
G5-e003Coalescence-mGAM-p7_S172,22895,8189
H4-e003Coalescence-mBHI-p3_S47,23001,8186
H4-e003Coalescence-mBHI-p5_S39,23154,8192
H4-e003Coalescence-mBHI-p7_S135,23163,8196
H4-e003Coalescence-mGAM-p3_S95,22119,8000
H4-e003Coalescence-mGAM-p5_S87,22759,8188
H4-e003Coalescence-mGAM-p7_S183,23173,8200
