,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,1045,788
A4-e003Coalescence-mBHI-p5,1017,753
A4-e003Coalescence-mBHI-p7,920,680
A4-e003Coalescence-mGAM-p5,1015,753
C2-e003Coalescence-mBHI-inoculumn-redo,1045,788
C2-e003Coalescence-mBHI-p3,1010,760
C2-e003Coalescence-mBHI-p5,381,220
C2-e003Coalescence-mGAM-p3,1034,772
C2-e003Coalescence-mGAM-p5,1046,787
C2-e003Coalescence-mGAM-p7,1044,787
E4-e003Coalescence-mBHI-p3_S11,306,235
E4-e003Coalescence-mBHI-p5_S3,1039,775
E4-e003Coalescence-mBHI-p7_S99,1034,774
E4-e003Coalescence-mGAM-p3_S59,1045,785
E4-e003Coalescence-mGAM-p5_S51,1046,785
E4-e003Coalescence-mGAM-p7_S147,1043,783
G2-e003Coalescence-mBHI-p3_S33,363,250
G2-e003Coalescence-mBHI-p5_S25,672,415
G2-e003Coalescence-mGAM-p3_S81,1033,783
G2-e003Coalescence-mGAM-p5_S73,1045,785
