,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,1849,13729
A5-e003Coalescence-mBHI-inoculumn-redo,2290,17788
A5-e003Coalescence-mBHI-p3,1230,8438
A5-e003Coalescence-mBHI-p7,2308,17824
A5-e003Coalescence-mGAM-p3,2360,18222
D2-e003Coalescence-Inoculumn-mBHI,2242,17314
D2-e003Coalescence-mBHI-p3,2338,17773
D2-e003Coalescence-mBHI-p5,2063,15543
D2-e003Coalescence-mGAM-p5,2359,18216
E5-e003Coalescence-mBHI-p3_S12,2300,17338
E5-e003Coalescence-mBHI-p5_S4,2272,17141
E5-e003Coalescence-mBHI-p7_S100,2309,17705
E5-e003Coalescence-mGAM-p3_S60,2354,18118
E5-e003Coalescence-mGAM-p5_S52,2361,18137
E5-e003Coalescence-mGAM-p7_S148,2363,18204
H2-e003Coalescence-mBHI-p3_S45,2296,17412
H2-e003Coalescence-mBHI-p7_S133,2317,17925
H2-e003Coalescence-mGAM-p3_S93,2360,18157
H2-e003Coalescence-mGAM-p5_S85,2244,16596
H2-e003Coalescence-mGAM-p7_S181,2363,18249
