,sample,boot_med,boot_low,boot_high,actual_med
0,A11-e003Coalescence-mBHI-p3,0.5489999999999999,0.546,0.551,0.5489999999999999
1,A11-e003Coalescence-mBHI-p5,0.706,0.704,0.714,0.706
2,A11-e003Coalescence-mBHI-p7,0.636,0.625,0.643,0.636
3,A11-e003Coalescence-mGAM-p3,0.102,0.101,0.10399999999999998,0.102
4,A11-e003Coalescence-mGAM-p7,0.005612795236624596,0.005375689881544721,0.005864046754177625,0.005734411078260754
5,A5-e003Coalescence-Inoculumn-mGAM,0.474,0.472,0.476,0.474
6,D2-e003Coalescence-Inoculumn-mGAM,0.484,0.481,0.486,0.484
7,D8-e003Coalescence-mBHI-p5,0.526,0.522,0.529,0.526
8,D8-e003Coalescence-mGAM-p5,0.047,0.046,0.04800000000000004,0.047
9,E111-e003Coalescence-mBHI-p3_S108,0.552,0.545,0.556,0.552
10,E111-e003Coalescence-mBHI-p5_S8,0.667,0.659,0.667,0.667
11,E111-e003Coalescence-mBHI-p7_S104,0.514,0.511,0.518,0.514
12,E111-e003Coalescence-mGAM-p5_S56,0.02400000000000002,0.024,0.025000000000000022,0.02400000000000002
13,H8-e003Coalescence-mBHI-p5_S41,0.692,0.6890000000000001,0.695,0.692
14,H8-e003Coalescence-mBHI-p7_S137,0.688,0.6839999999999999,0.69,0.688
15,H8-e003Coalescence-mGAM-p5_S89,0.09499999999999997,0.093,0.096,0.09499999999999997
16,H8-e003Coalescence-mGAM-p7_S185,0.053,0.052000000000000046,0.054,0.053
