,sample,boot_med,boot_low,boot_high,actual_med
0,B11-e003Coalescence-mBHI-p3,0.0036886391278868258,0.0035522071373350387,0.0038231598945025107,0.003736967000655563
1,B11-e003Coalescence-mGAM-p3,0.942,0.941,0.942,0.942
2,B11-e003Coalescence-mGAM-p7,0.933,0.932,0.934,0.933
3,B5-e003Coalescence-Inoculumn-mGAM,0.78,0.779,0.782,0.78
4,D3-e003Coalescence-Inoculumn-mGAM,0.758,0.757,0.76,0.758
5,D9-e003Coalescence-mBHI-p3,0.0036156385654938818,0.0033242414640587566,0.003926383020261292,0.03046087017357651
6,D9-e003Coalescence-mBHI-p5,0.0019461340565342516,0.0018345492118465722,0.002054549694096092,0.002123478118995538
7,D9-e003Coalescence-mBHI-p7,0.0001723349955784642,0.00014203196290090965,0.00020418483696297383,0.0002816698658437561
8,D9-e003Coalescence-mGAM-p3,0.946,0.946,0.947,0.946
9,D9-e003Coalescence-mGAM-p5,0.939,0.938,0.939,0.939
10,D9-e003Coalescence-mGAM-p7,0.955,0.955,0.956,0.955
11,F111-e003Coalescence-mBHI-p3_S120,0.006263120732511244,0.006043716362711617,0.006473244487559118,0.006569073214265558
12,F111-e003Coalescence-mBHI-p5_S20,0.00010025938890890377,6.311104370290443e-05,0.00013742568277735117,0.0020876184142100437
13,F111-e003Coalescence-mBHI-p7_S116,0.182,0.179,0.182,0.182
14,F111-e003Coalescence-mGAM-p3_S168,0.927,0.925,0.929,0.927
15,F111-e003Coalescence-mGAM-p5_S68,0.994478876347345,0.9943386908486304,0.9946167840353302,0.9925885083123047
16,F111-e003Coalescence-mGAM-p7_S164,0.9945986178343894,0.9944514239029163,0.9947585028642696,0.9918322401598878
17,H9-e003Coalescence-mBHI-p5_S42,0.0034112705153328234,0.0032870977929376666,0.0035360283449945465,0.0035151631707377395
18,H9-e003Coalescence-mBHI-p7_S138,0.00027713589804782796,0.0002286251725740724,0.00032569845122959863,0.0008387624603986461
19,H9-e003Coalescence-mGAM-p3_S190,0.9900986450138939,0.9898499683372078,0.9903509244302003,0.9879434648095925
20,H9-e003Coalescence-mGAM-p5_S90,0.955,0.954,0.955,0.955
21,H9-e003Coalescence-mGAM-p7_S186,0.946,0.946,0.947,0.946
