,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p3,12101,27115
A11-e003Coalescence-mBHI-p5,11698,25914
A11-e003Coalescence-mBHI-p7,10849,23930
A11-e003Coalescence-mGAM-p3,12098,27125
A11-e003Coalescence-mGAM-p7,11827,26484
A5-e003Coalescence-Inoculumn-mGAM,12099,27135
D2-e003Coalescence-Inoculumn-mGAM,12087,27117
D8-e003Coalescence-mBHI-p5,11944,26746
D8-e003Coalescence-mGAM-p5,12080,27041
E111-e003Coalescence-mBHI-p3_S108,11591,25446
E111-e003Coalescence-mBHI-p5_S8,11761,25874
E111-e003Coalescence-mBHI-p7_S104,12095,27036
E111-e003Coalescence-mGAM-p5_S56,12056,26810
H8-e003Coalescence-mBHI-p5_S41,12066,26842
H8-e003Coalescence-mBHI-p7_S137,12087,26939
H8-e003Coalescence-mGAM-p5_S89,12051,26758
H8-e003Coalescence-mGAM-p7_S185,12099,27108
