,sample,boot_med,boot_low,boot_high,actual_med
0,B10-e003Coalescence-mBHI-p3,0.9761488599579027,0.9754819614801915,0.9768046653058902,0.975675708660981
1,B10-e003Coalescence-mBHI-p5,0.9820591013700151,0.9812509286887435,0.9828029621964788,0.9739425269464597
2,B10-e003Coalescence-mGAM-p3,0.771,0.77,0.772,0.771
3,B10-e003Coalescence-mGAM-p7,0.9475,0.932,0.9774678755831914,0.9455
4,B4-e003Coalescence-Inoculumn-mGAM,0.575,0.574,0.577,0.576
5,C3-e003Coalescence-Inoculumn-mGAM,0.5880000000000001,0.587,0.59,0.5880000000000001
6,C9-e003Coalescence-mBHI-p3,0.9801706260922779,0.9796025232422234,0.980752678834981,0.9799274304942923
7,C9-e003Coalescence-mBHI-p5,0.9822059790713946,0.9814302311926937,0.982921090467688,0.9770415288420908
8,C9-e003Coalescence-mBHI-p7,0.9807822166865866,0.9798343691282544,0.9816979157978688,0.9265726143238855
9,C9-e003Coalescence-mGAM-p3,0.818,0.817,0.819,0.818
10,C9-e003Coalescence-mGAM-p5,0.695,0.694,0.697,0.695
11,C9-e003Coalescence-mGAM-p7,0.683,0.682,0.684,0.683
12,F100-e003Coalescence-mBHI-p7_S115,0.9670928530795794,0.9659701713510318,0.9681474419909084,0.9605407354953822
13,F100-e003Coalescence-mGAM-p3_S167,0.9964239102013142,0.9962362202374435,0.996632964939733,0.995355425048743
14,F100-e003Coalescence-mGAM-p5_S67,0.9897176597565941,0.9893107746666391,0.9901687524876118,0.988131814878653
15,F100-e003Coalescence-mGAM-p7_S163,0.99,0.99,0.991,0.99
16,G9-e003Coalescence-mBHI-p3_S130,0.9832120402244249,0.9823942572420513,0.9840235674675876,0.9592410691270101
17,G9-e003Coalescence-mBHI-p5_S30,0.9812201286054509,0.9803396264441243,0.9819777079862967,0.9643975104837814
18,G9-e003Coalescence-mGAM-p3_S178,0.912,0.911,0.912,0.912
19,G9-e003Coalescence-mGAM-p5_S78,0.953,0.952,0.953,0.953
20,G9-e003Coalescence-mGAM-p7_S174,0.953,0.952,0.953,0.953
