,sample,boot_med,boot_low,boot_high,actual_med
0,C5-e003Coalescence-mBHI-inoculumn-redo,0.528,0.525,0.531,0.528
1,C5-e003Coalescence-mBHI-p5,0.44999999999999996,0.444,0.455,0.44999999999999996
2,C5-e003Coalescence-mBHI-p7,0.432,0.429,0.435,0.432
3,C5-e003Coalescence-mGAM-p3,0.126,0.125,0.127,0.126
4,C5-e003Coalescence-mGAM-p7,0.577,0.5740000000000001,0.5800000000000001,0.577
5,D4-e003Coalescence-Inoculumn-mBHI,0.536,0.533,0.538,0.536
6,D4-e003Coalescence-mBHI-p3,0.571,0.571,0.571,0.571
7,D4-e003Coalescence-mBHI-p5,0.571,0.556,0.571,0.571
8,D4-e003Coalescence-mBHI-p7,0.667,0.652,0.667,0.667
9,D4-e003Coalescence-mGAM-p3,0.203,0.20199999999999996,0.204,0.203
10,D4-e003Coalescence-mGAM-p5,0.549,0.547,0.552,0.549
11,D4-e003Coalescence-mGAM-p7,0.4915,0.489,0.494,0.491
12,G5-e003Coalescence-mBHI-p3_S36,0.8926723827448512,0.8889802486379956,0.8962015235642118,0.6724775231358573
13,G5-e003Coalescence-mBHI-p5_S28,0.5900000000000001,0.586,0.593,0.5900000000000001
14,G5-e003Coalescence-mBHI-p7_S124,0.625,0.619,0.625,0.625
15,G5-e003Coalescence-mGAM-p3_S84,0.094,0.093,0.095,0.094
16,G5-e003Coalescence-mGAM-p5_S76,0.266,0.264,0.267,0.266
17,G5-e003Coalescence-mGAM-p7_S172,0.629,0.625,0.63,0.629
18,H4-e003Coalescence-mBHI-p3_S47,0.696,0.692,0.7,0.696
19,H4-e003Coalescence-mBHI-p5_S39,0.9372332678202226,0.935001071291855,0.9394167231933234,0.9141590403996529
20,H4-e003Coalescence-mBHI-p7_S135,0.444,0.44399999999999995,0.45499999999999996,0.444
21,H4-e003Coalescence-mGAM-p3_S95,0.30400000000000005,0.30000000000000004,0.31,0.30400000000000005
22,H4-e003Coalescence-mGAM-p5_S87,0.8,0.7924875,0.8,0.8
23,H4-e003Coalescence-mGAM-p7_S183,0.69,0.686,0.692,0.69
