,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mGAM-p3,2497,2641
B11-e003Coalescence-mGAM-p7,2291,2427
B5-e003Coalescence-Inoculumn-mGAM,2469,2601
D3-e003Coalescence-Inoculumn-mGAM,2492,2636
D9-e003Coalescence-mGAM-p3,2480,2624
D9-e003Coalescence-mGAM-p5,2492,2640
D9-e003Coalescence-mGAM-p7,2445,2592
F111-e003Coalescence-mGAM-p3_S168,1702,1862
F111-e003Coalescence-mGAM-p5_S68,1561,1661
F111-e003Coalescence-mGAM-p7_S164,1418,1585
H9-e003Coalescence-mBHI-p5_S42,1488,1617
H9-e003Coalescence-mGAM-p5_S90,2269,2359
H9-e003Coalescence-mGAM-p7_S186,2344,2532
