,sample,boot_med,boot_low,boot_high,actual_med
0,A5-e003Coalescence-Inoculumn-mBHI,0.573,0.571,0.575,0.573
1,A5-e003Coalescence-mBHI-inoculumn-redo,0.575,0.574,0.577,0.575
2,A5-e003Coalescence-mBHI-p3,0.18999999999999995,0.188,0.192,0.18999999999999995
3,A5-e003Coalescence-mBHI-p7,0.206,0.205,0.207,0.20599999999999996
4,A5-e003Coalescence-mGAM-p3,0.20699999999999996,0.204,0.208,0.20699999999999996
5,D2-e003Coalescence-Inoculumn-mBHI,0.55,0.548,0.552,0.55
6,D2-e003Coalescence-mBHI-p3,0.209,0.208,0.21,0.209
7,D2-e003Coalescence-mBHI-p5,0.157,0.156,0.15800000000000003,0.15700000000000003
8,D2-e003Coalescence-mBHI-p7,0.04538084997866942,0.04391667975453027,0.04696562691571329,0.09506917647003714
9,D2-e003Coalescence-mGAM-p5,0.327,0.32499999999999996,0.329,0.327
10,E5-e003Coalescence-mBHI-p3_S12,0.164,0.16200000000000003,0.165,0.164
11,E5-e003Coalescence-mBHI-p5_S4,0.141,0.14,0.142,0.141
12,E5-e003Coalescence-mBHI-p7_S100,0.247,0.245,0.248,0.247
13,E5-e003Coalescence-mGAM-p3_S60,0.235,0.233,0.238,0.235
14,E5-e003Coalescence-mGAM-p5_S52,0.34,0.333,0.342,0.34
15,E5-e003Coalescence-mGAM-p7_S148,0.43700000000000006,0.436,0.439,0.43700000000000006
16,H2-e003Coalescence-mBHI-p3_S45,0.16700000000000004,0.167,0.16800000000000004,0.16700000000000004
17,H2-e003Coalescence-mBHI-p7_S133,0.164,0.16200000000000003,0.165,0.164
18,H2-e003Coalescence-mGAM-p3_S93,0.2,0.19699999999999995,0.2,0.2
19,H2-e003Coalescence-mGAM-p5_S85,0.222,0.21699999999999997,0.231,0.222
20,H2-e003Coalescence-mGAM-p7_S181,0.268,0.267,0.269,0.268
