,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B4-e003Coalescence-Inoculumn-mBHI,16,10
B4-e003Coalescence-mBHI-p3,24,12
B4-e003Coalescence-mBHI-p5,20,11
B4-e003Coalescence-mGAM-p5,24,12
C3-e003Coalescence-mBHI-inoculumn-redo,14,11
C3-e003Coalescence-mBHI-p5,24,13
C3-e003Coalescence-mBHI-p7,23,12
C3-e003Coalescence-mGAM-p3,24,13
C3-e003Coalescence-mGAM-p5,24,13
C3-e003Coalescence-mGAM-p7,24,13
F4-e003Coalescence-mBHI-p3_S23,24,13
F4-e003Coalescence-mBHI-p5_S15,24,13
F4-e003Coalescence-mBHI-p7_S111,24,13
F4-e003Coalescence-mGAM-p3_S71,24,13
F4-e003Coalescence-mGAM-p5_S63,24,13
F4-e003Coalescence-mGAM-p7_S159,24,13
G3-e003Coalescence-mBHI-p3_S34,24,13
G3-e003Coalescence-mBHI-p5_S26,24,13
G3-e003Coalescence-mBHI-p7_S122,24,13
G3-e003Coalescence-mGAM-p3_S82,1,0
G3-e003Coalescence-mGAM-p5_S74,23,13
