,sample,boot_med,boot_low,boot_high,actual_med
0,B5-e003Coalescence-Inoculumn-mBHI,0.439,0.43799999999999994,0.44099999999999995,0.439
1,B5-e003Coalescence-mBHI-p3,0.722,0.72,0.724,0.722
2,B5-e003Coalescence-mBHI-p5,0.637,0.635,0.639,0.637
3,B5-e003Coalescence-mBHI-p7,0.498,0.496,0.5,0.498
4,B5-e003Coalescence-mGAM-p3,0.947,0.944,0.949,0.947
5,B5-e003Coalescence-mGAM-p5,0.9826962225630868,0.9822720812110333,0.9830994734553041,0.9819153001463065
6,B5-e003Coalescence-mGAM-p7,0.960557207780625,0.9596998880102866,0.9614023719767565,0.9579332426895601
7,D3-e003Coalescence-Inoculumn-mBHI,0.44099999999999995,0.43999999999999995,0.44299999999999995,0.44099999999999995
8,D3-e003Coalescence-mBHI-p5,0.614,0.6119749999999999,0.616,0.614
9,D3-e003Coalescence-mBHI-p7,0.453,0.451,0.455,0.453
10,D3-e003Coalescence-mGAM-p3,0.9,0.898,0.903,0.9
11,D3-e003Coalescence-mGAM-p5,0.961,0.96,0.961,0.961
12,F5-e003Coalescence-mBHI-p3_S24,0.714,0.712,0.7150000000000001,0.714
13,F5-e003Coalescence-mBHI-p5_S16,0.611,0.609,0.614,0.611
14,F5-e003Coalescence-mBHI-p7_S112,0.491,0.489,0.494,0.491
15,F5-e003Coalescence-mGAM-p3_S72,0.9761693352506873,0.9755127903228168,0.9768085966334722,0.9715628204380905
16,F5-e003Coalescence-mGAM-p5_S64,0.968,0.967,0.969,0.968
17,F5-e003Coalescence-mGAM-p7_S160,0.894,0.892,0.896,0.894
18,H3-e003Coalescence-mBHI-p3_S46,0.653,0.651,0.655,0.653
19,H3-e003Coalescence-mBHI-p5_S38,0.69,0.688,0.692,0.69
20,H3-e003Coalescence-mBHI-p7_S134,0.528,0.526,0.53,0.528
21,H3-e003Coalescence-mGAM-p3_S94,0.948,0.946,0.951,0.948
22,H3-e003Coalescence-mGAM-p5_S86,0.9928139755225289,0.9926036711554402,0.992986329074425,0.9924310732708344
23,H3-e003Coalescence-mGAM-p7_S182,0.9299999999999999,0.929,0.9319999999999999,0.9299999999999999
